group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_kids_if_parent,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
all_native,all,75+,9290,22458380.65,0.006864156966722355,0.010289328229014589,1.4989937262358035,0.0832680596675166,0.02084421033268042,0.0060020805640766456,0.048430457963584306
mexican_observed_total,male,18-24,1111,2489344.9800000004,0.038588825884630897,0.056722061881515504,1.4699089848210876,0.8094665529242956,0.11511844372811678,0.03659150528827065,0.5011788603120809
mexican_observed_total,male,25-34,1447,3202390.7300000004,0.2948957387220515,0.5736508705169777,1.9452667339410477,6.83489189028473,0.422168918156967,0.2935712438812861,3.561216944317097
mexican_observed_total,male,35-44,1241,2962277.18,0.4726561239620392,0.9967358861401348,2.1087971478820537,8.586766448371316,0.6105273477480591,0.4458538785354313,4.1188387846946855
mexican_observed_total,male,45-54,1045,2546649.1900000004,0.3592684550320807,0.6299198084680049,1.7533401545419747,3.8158548684909355,0.23339171030462974,0.2976488332105137,1.8187600075375907
mexican_observed_total,male,55-64,839,1863755.76,0.1324845268352115,0.18034925348802142,1.3612854104264238,0.9727403927647688,0.042946330049169104,0.08411332823996209,0.4858057044985336
mexican_observed_total,male,65-74,503,1002637.1200000001,0.0266433582670468,0.03921093605630718,1.4716964604572498,0.27308477268425885,0.04334521347065227,0.01798674679030435,0.1392022768915637
mexican_observed_total,male,75+,240,450111.60000000003,0.021339974353027116,0.035956949343229544,1.6849574769113524,0.3508993325210903,0.0563356287640665,0.016286894183575807,0.18335859373542027
mexican_observed_total,female,18-24,1050,2533905.7,0.10485740649306721,0.1556288104959865,1.4841947336002068,2.273786719845178,0.7285789877658037,0.10390576492250679,1.4157841035678635
mexican_observed_total,female,25-34,1343,3098790.2,0.4754477795883051,0.9818323776808122,2.065068804256464,11.068841007693905,3.14836130887467,0.4710964879132508,5.511507713558665
mexican_observed_total,female,35-44,1332,2731227.65,0.6935317932944915,1.4029322931027006,2.022881008004458,11.197219371296276,2.699320757828444,0.6388907640122932,5.4563996120938505
mexican_observed_total,female,45-54,1125,2374637.6399999997,0.4238264116793837,0.6355376772348307,1.4995235306751067,3.454285981081308,0.8646830301232825,0.3360989805585664,1.7759806376184621
mexican_observed_total,female,55-64,875,1807653.75,0.07053261167964274,0.0958605429828583,1.3590953276798305,0.4996939983666673,0.1546301718456867,0.039279640805104404,0.25821152972464995
mexican_observed_total,female,65-74,563,1047519.2700000001,0.007486516214637271,0.00863264310163955,1.1530921531648362,0.09125019723980826,0.0,0.007486516214637271,0.07398491103652918
mexican_observed_total,female,75+,345,662150.7,0.014077807363187866,0.023317622408312793,1.6563390737456858,0.16313710761009542,0.03757422592772311,0.009239815045124925,0.08238249993543766
mexican_observed_total,all,18-24,2161,5023250.68,0.0720170469374226,0.10661413178766545,1.4804013260958215,1.5481215502468217,0.4245696872129822,0.07054720390741082,0.9625381646292835
mexican_observed_total,all,25-34,2790,6301180.93,0.38368749078277936,0.7743860768651187,2.0182729316644035,8.917060324754077,1.7628538401610379,0.3808744799841829,4.520329528134975
mexican_observed_total,all,35-44,2573,5693504.83,0.5786122535000994,1.1915921111109342,2.0593966061085665,9.839025191447847,1.6125411313649485,0.5384554824378711,4.760479254744041
mexican_observed_total,all,45-54,2170,4921286.83,0.3904192005813244,0.632630563417089,1.620387938080704,3.6413893030494218,0.5380047478354355,0.3162019414340863,1.798117946724109
mexican_observed_total,all,55-64,1714,3671409.51,0.10198190612629318,0.13875042503771257,1.3605396320587078,0.7398314550860332,0.09793494270270059,0.062039031434551146,0.373747525647173
mexican_observed_total,all,65-74,1066,2050156.3900000001,0.016855245857609915,0.023587078642327376,1.399390957663078,0.1801771180978052,0.021198148693427232,0.012621695655129996,0.10587972266837652
mexican_observed_total,all,75+,585,1112262.2999999998,0.017016669539190534,0.028432519919087438,1.6708627886088658,0.2391209429646227,0.04516661222806887,0.012091635219498138,0.12324562290747429
