age,hispanic_origin,sex,deaths
100+ years,Not Hispanic or Latino,Female,
100+ years,Not Hispanic or Latino,Male,
100+ years,Not Stated,Female,0.0
100+ years,Not Stated,Male,0.0
Not Stated,Hispanic or Latino,Female,0.0
Not Stated,Hispanic or Latino,Male,
Not Stated,Not Hispanic or Latino,Female,
Not Stated,Not Hispanic or Latino,Male,0.0
Not Stated,Not Stated,Female,
Not Stated,Not Stated,Male,
