police_key,prisons_key,court_criminal_share,ice_interior,mexican_hispanic_scaling,cbp_border,national_bn,target_bn,target_share,change_bn,band_low,band_high,mexico_born_bn
offending,custody_bjs_raw,0.750000,high,raw,zero,519.153000,61.684519,0.118818,-0.740924,164.379077,196.643177,
offending,custody_bjs_adj,0.500000,central,adj,per_head,519.153000,70.335523,0.135481,7.910079,173.030080,205.294180,
offending,custody_bjs_adj,0.500000,central,adj,zero,519.153000,67.228033,0.129496,4.802589,169.922590,202.186690,
offending,custody_bjs_adj,0.500000,central,raw,per_head,519.153000,66.434242,0.127967,4.008799,169.128799,201.392900,
offending,custody_bjs_adj,0.500000,central,raw,zero,519.153000,63.326752,0.121981,0.901309,166.021309,198.285410,
offending,custody_bjs_adj,0.500000,low,adj,per_head,519.153000,70.249036,0.135315,7.823593,172.943594,205.207694,
offending,custody_bjs_adj,0.500000,low,adj,zero,519.153000,67.141546,0.129329,4.716103,169.836104,202.100204,
offending,custody_bjs_adj,0.500000,low,raw,per_head,519.153000,66.347756,0.127800,3.922313,169.042313,201.306413,
offending,custody_bjs_adj,0.500000,low,raw,zero,519.153000,63.240266,0.121814,0.814823,165.934823,198.198923,
offending,custody_bjs_adj,0.500000,high,adj,per_head,519.153000,70.474397,0.135749,8.048954,173.168955,205.433055,
offending,custody_bjs_adj,0.500000,high,adj,zero,519.153000,67.366907,0.129763,4.941464,170.061465,202.325565,
offending,custody_bjs_adj,0.500000,high,raw,per_head,519.153000,66.573117,0.128234,4.147674,169.267674,201.531775,
offending,custody_bjs_adj,0.500000,high,raw,zero,519.153000,63.465627,0.122248,1.040184,166.160184,198.424284,
offending,custody_bjs_adj,0.600000,central,adj,per_head,519.153000,70.503452,0.135805,8.078008,173.198009,205.462109,
offending,custody_bjs_adj,0.600000,central,adj,zero,519.153000,67.395962,0.129819,4.970518,170.090519,202.354619,
offending,custody_bjs_adj,0.600000,central,raw,per_head,519.153000,66.477432,0.128050,4.051989,169.171989,201.436089,
offending,custody_bjs_adj,0.600000,central,raw,zero,519.153000,63.369942,0.122064,0.944498,166.064499,198.328599,
offending,custody_bjs_adj,0.600000,low,adj,per_head,519.153000,70.416966,0.135638,7.991522,173.111523,205.375623,
offending,custody_bjs_adj,0.600000,low,adj,zero,519.153000,67.309475,0.129652,4.884032,170.004033,202.268133,
offending,custody_bjs_adj,0.600000,low,raw,per_head,519.153000,66.390946,0.127883,3.965502,169.085503,201.349603,
offending,custody_bjs_adj,0.600000,low,raw,zero,519.153000,63.283455,0.121898,0.858012,165.978013,198.242113,
offending,custody_bjs_adj,0.600000,high,adj,per_head,519.153000,70.642327,0.136072,8.216883,173.336884,205.600984,
offending,custody_bjs_adj,0.600000,high,adj,zero,519.153000,67.534837,0.130087,5.109393,170.229394,202.493494,
offending,custody_bjs_adj,0.600000,high,raw,per_head,519.153000,66.616307,0.128317,4.190863,169.310864,201.574964,
offending,custody_bjs_adj,0.600000,high,raw,zero,519.153000,63.508817,0.122332,1.083373,166.203374,198.467474,
offending,custody_bjs_adj,0.750000,central,adj,per_head,519.153000,70.755345,0.136290,8.329902,173.449903,205.714003,
offending,custody_bjs_adj,0.750000,central,adj,zero,519.153000,67.647855,0.130304,5.222412,170.342413,202.606513,
offending,custody_bjs_adj,0.750000,central,raw,per_head,519.153000,66.542216,0.128175,4.116773,169.236774,201.500874,
offending,custody_bjs_adj,0.750000,central,raw,zero,519.153000,63.434726,0.122189,1.009283,166.129284,198.393384,
offending,custody_bjs_adj,0.750000,low,adj,per_head,519.153000,70.668859,0.136123,8.243416,173.363417,205.627517,
offending,custody_bjs_adj,0.750000,low,adj,zero,519.153000,67.561369,0.130138,5.135926,170.255926,202.520027,
offending,custody_bjs_adj,0.750000,low,raw,per_head,519.153000,66.455730,0.128008,4.030287,169.150287,201.414388,
offending,custody_bjs_adj,0.750000,low,raw,zero,519.153000,63.348240,0.122022,0.922797,166.042797,198.306898,
offending,custody_bjs_adj,0.750000,high,adj,per_head,519.153000,70.894220,0.136557,8.468777,173.588778,205.852878,
offending,custody_bjs_adj,0.750000,high,adj,zero,519.153000,67.786730,0.130572,5.361287,170.481288,202.745388,
offending,custody_bjs_adj,0.750000,high,raw,per_head,519.153000,66.681091,0.128442,4.255648,169.375648,201.639749,
offending,custody_bjs_adj,0.750000,high,raw,zero,519.153000,63.573601,0.122456,1.148158,166.268158,198.532259,
half,custody_acs_raw,0.500000,central,adj,per_head,519.153000,66.314928,0.127737,3.889485,169.009486,201.273586,
half,custody_acs_raw,0.500000,central,adj,zero,519.153000,63.207438,0.121751,0.781995,165.901996,198.166096,
half,custody_acs_raw,0.500000,central,raw,per_head,519.153000,64.052440,0.123379,1.626996,166.746997,199.011097,
half,custody_acs_raw,0.500000,central,raw,zero,519.153000,60.944950,0.117393,-1.480494,163.639507,195.903607,
half,custody_acs_raw,0.500000,low,adj,per_head,519.153000,66.228442,0.127570,3.802999,168.923000,201.187100,
half,custody_acs_raw,0.500000,low,adj,zero,519.153000,63.120952,0.121584,0.695509,165.815510,198.079610,
half,custody_acs_raw,0.500000,low,raw,per_head,519.153000,63.965953,0.123212,1.540510,166.660511,198.924611,
half,custody_acs_raw,0.500000,low,raw,zero,519.153000,60.858463,0.117226,-1.566980,163.553021,195.817121,
half,custody_acs_raw,0.500000,high,adj,per_head,519.153000,66.453803,0.128004,4.028360,169.148361,201.412461,
half,custody_acs_raw,0.500000,high,adj,zero,519.153000,63.346313,0.122019,0.920870,166.040871,198.304971,
half,custody_acs_raw,0.500000,high,raw,per_head,519.153000,64.191314,0.123646,1.765871,166.885872,199.149972,
half,custody_acs_raw,0.500000,high,raw,zero,519.153000,61.083824,0.117661,-1.341619,163.778382,196.042482,
half,custody_acs_raw,0.600000,central,adj,per_head,519.153000,66.482858,0.128060,4.057414,169.177415,201.441515,
half,custody_acs_raw,0.600000,central,adj,zero,519.153000,63.375367,0.122075,0.949924,166.069925,198.334025,
half,custody_acs_raw,0.600000,central,raw,per_head,519.153000,64.095629,0.123462,1.670186,166.790187,199.054287,
half,custody_acs_raw,0.600000,central,raw,zero,519.153000,60.988139,0.117476,-1.437304,163.682697,195.946797,
half,custody_acs_raw,0.600000,low,adj,per_head,519.153000,66.396371,0.127894,3.970928,169.090929,201.355029,
half,custody_acs_raw,0.600000,low,adj,zero,519.153000,63.288881,0.121908,0.863438,165.983439,198.247539,
half,custody_acs_raw,0.600000,low,raw,per_head,519.153000,64.009143,0.123295,1.583700,166.703700,198.967801,
half,custody_acs_raw,0.600000,low,raw,zero,519.153000,60.901653,0.117310,-1.523790,163.596210,195.860311,
half,custody_acs_raw,0.600000,high,adj,per_head,519.153000,66.621732,0.128328,4.196289,169.316290,201.580390,
half,custody_acs_raw,0.600000,high,adj,zero,519.153000,63.514242,0.122342,1.088799,166.208800,198.472900,
half,custody_acs_raw,0.600000,high,raw,per_head,519.153000,64.234504,0.123729,1.809061,166.929062,199.193162,
half,custody_acs_raw,0.600000,high,raw,zero,519.153000,61.127014,0.117744,-1.298429,163.821571,196.085672,
half,custody_acs_raw,0.750000,central,adj,per_head,519.153000,66.734751,0.128545,4.309308,169.429309,201.693409,
half,custody_acs_raw,0.750000,central,adj,zero,519.153000,63.627261,0.122560,1.201818,166.321818,198.585919,
half,custody_acs_raw,0.750000,central,raw,per_head,519.153000,64.160414,0.123587,1.734971,166.854971,199.119071,
half,custody_acs_raw,0.750000,central,raw,zero,519.153000,61.052924,0.117601,-1.372519,163.747481,196.011581,
half,custody_acs_raw,0.750000,low,adj,per_head,519.153000,66.648265,0.128379,4.222822,169.342822,201.606923,
half,custody_acs_raw,0.750000,low,adj,zero,519.153000,63.540775,0.122393,1.115332,166.235332,198.499433,
half,custody_acs_raw,0.750000,low,raw,per_head,519.153000,64.073928,0.123420,1.648484,166.768485,199.032585,
half,custody_acs_raw,0.750000,low,raw,zero,519.153000,60.966438,0.117434,-1.459006,163.660995,195.925095,
half,custody_acs_raw,0.750000,high,adj,per_head,519.153000,66.873626,0.128813,4.448183,169.568183,201.832284,
half,custody_acs_raw,0.750000,high,adj,zero,519.153000,63.766136,0.122827,1.340693,166.460693,198.724794,
half,custody_acs_raw,0.750000,high,raw,per_head,519.153000,64.299289,0.123854,1.873845,166.993846,199.257946,
half,custody_acs_raw,0.750000,high,raw,zero,519.153000,61.191799,0.117869,-1.233645,163.886356,196.150456,
half,custody_acs_adj,0.500000,central,adj,per_head,519.153000,68.201106,0.131370,5.775663,170.895663,203.159763,
half,custody_acs_adj,0.500000,central,adj,zero,519.153000,65.093616,0.125384,2.668172,167.788173,200.052273,
half,custody_acs_adj,0.500000,central,raw,per_head,519.153000,65.938617,0.127012,3.513174,168.633174,200.897274,
half,custody_acs_adj,0.500000,central,raw,zero,519.153000,62.831127,0.121026,0.405684,165.525684,197.789784,
half,custody_acs_adj,0.500000,low,adj,per_head,519.153000,68.114620,0.131203,5.689176,170.809177,203.073277,
half,custody_acs_adj,0.500000,low,adj,zero,519.153000,65.007129,0.125218,2.581686,167.701687,199.965787,
half,custody_acs_adj,0.500000,low,raw,per_head,519.153000,65.852131,0.126845,3.426687,168.546688,200.810788,
half,custody_acs_adj,0.500000,low,raw,zero,519.153000,62.744641,0.120860,0.319197,165.439198,197.703298,
half,custody_acs_adj,0.500000,high,adj,per_head,519.153000,68.339981,0.131637,5.914537,171.034538,203.298638,
half,custody_acs_adj,0.500000,high,adj,zero,519.153000,65.232491,0.125652,2.807047,167.927048,200.191148,
half,custody_acs_adj,0.500000,high,raw,per_head,519.153000,66.077492,0.127279,3.652049,168.772049,201.036149,
half,custody_acs_adj,0.500000,high,raw,zero,519.153000,62.970002,0.121294,0.544558,165.664559,197.928659,
