geography,passthrough,decile,tenure,households,income_dollars,federal_share,state_local_share
TX,0.0,1,no_cash_rent,19760.9816582,183740276.8684115,7.125571085264159e-06,0.0005359633494608471
TX,0.0,1,owner,476695.3971424,2729360293.6024594,0.0001875858941137949,0.016932318535815418
TX,0.0,1,renter,433872.1592254,3620220812.8534093,9.67158450082416e-05,0.011427888026006763
TX,0.0,2,no_cash_rent,24881.7787812,579778758.6267303,2.5486416792579033e-05,0.0010901749743549172
TX,0.0,2,owner,417822.3316082,9353647287.669622,0.00023948450688497178,0.023387023229465217
TX,0.0,2,renter,486851.344561,10870542435.552069,0.00026197538419871875,0.021082607175333903
TX,0.0,3,no_cash_rent,10790.1006007,340584457.3797599,2.8968346223338523e-05,0.0005278958081159594
TX,0.0,3,owner,475514.8567209,16476811617.076122,0.0006400300925085193,0.03269363906923184
TX,0.0,3,renter,445651.8280992,15218123472.942533,0.0007397628042217768,0.022808118689200317
TX,0.0,4,no_cash_rent,17211.6990603,804114995.9864988,1.4745751217346897e-05,0.0009913723418980554
TX,0.0,4,owner,488301.2959399,22481989144.95633,0.0011495524637309847,0.038394747924528405
TX,0.0,4,renter,425633.3815624,19557874585.96123,0.0011591574828415498,0.02491325767402866
TX,0.0,5,no_cash_rent,18542.713586500002,1019140177.5955708,8.810687760865945e-05,0.0011741647339346898
TX,0.0,5,owner,506735.0382363,28929091378.5953,0.0016996288134107067,0.04433342836329973
TX,0.0,5,renter,406299.6354671,23018138300.658363,0.0017106683326993785,0.027408112383746797
TX,0.0,6,no_cash_rent,7397.7136718,498042184.2132466,7.040919741518011e-06,0.0005476335116561093
TX,0.0,6,owner,590822.4515562,41437076428.509,0.0030539227096342265,0.0564631605432573
TX,0.0,6,renter,334874.1302782,23463990514.065083,0.002044097308876649,0.02547129408459276
TX,0.0,7,no_cash_rent,9519.8353345,843171719.9599904,8.703110286059775e-05,0.0007809437427844994
TX,0.0,7,owner,704981.1980022,63245360345.87371,0.004934648947489818,0.0798231967601306
TX,0.0,7,renter,216524.3483931,19194911631.98253,0.0015908530128242366,0.019130449204836045
TX,0.0,8,owner,740037.7482283,85029091652.94498,0.007997880490860856,0.10344308403207757
TX,0.0,8,renter,191767.4173522,21794549586.343212,0.0023098188711023165,0.020164312908042697
TX,0.0,9,no_cash_rent,14363.350098699999,2240812307.5828986,0.00020221631883494943,0.0017330014146623336
TX,0.0,9,owner,793876.1527604,120745487864.9656,0.013355156383860419,0.13635551292582856
TX,0.0,9,renter,124666.1340119,18736347575.24029,0.0021067580826340465,0.020666880933088504
TX,0.0,10,no_cash_rent,4321.6197873,1097933436.682289,0.00013473133098513773,0.0009866306147522535
TX,0.0,10,owner,816465.0813642,243136013043.98615,0.031973715769296904,0.2404780909238195
TX,0.0,10,renter,112150.2751914,28707584230.47707,0.004078667349763948,0.02625509612204975
TX,0.5,1,no_cash_rent,19760.9816582,183740276.8684115,7.125571085264159e-06,0.0005341857668778834
TX,0.5,1,owner,476695.3971424,2729360293.6024594,0.0001875858941137949,0.016870220893683074
TX,0.5,1,renter,433872.1592254,3620220812.8534093,9.67158450082416e-05,0.013460926310553591
TX,0.5,2,no_cash_rent,24881.7787812,579778758.6267303,2.5486416792579033e-05,0.0010894823033849876
TX,0.5,2,owner,417822.3316082,9353647287.669622,0.00023948450688497178,0.023333418181544406
TX,0.5,2,renter,486851.344561,10870542435.552069,0.00026197538419871875,0.023317417479171293
TX,0.5,3,no_cash_rent,10790.1006007,340584457.3797599,2.8968346223338523e-05,0.0005278186052302845
TX,0.5,3,owner,475514.8567209,16476811617.076122,0.0006400300925085193,0.03253709953732348
TX,0.5,3,renter,445651.8280992,15218123472.942533,0.0007397628042217768,0.024858852128888522
TX,0.5,4,no_cash_rent,17211.6990603,804114995.9864988,1.4745751217346897e-05,0.0009911141683796787
TX,0.5,4,owner,488301.2959399,22481989144.95633,0.0011495524637309847,0.03820035788176427
TX,0.5,4,renter,425633.3815624,19557874585.96123,0.0011591574828415498,0.026999291148481677
TX,0.5,5,no_cash_rent,18542.713586500002,1019140177.5955708,8.810687760865945e-05,0.0011727138066424817
TX,0.5,5,owner,506735.0382363,28929091378.5953,0.0016996288134107067,0.04403890712602791
TX,0.5,5,renter,406299.6354671,23018138300.658363,0.0017106683326993785,0.029334909303357054
TX,0.5,6,no_cash_rent,7397.7136718,498042184.2132466,7.040919741518011e-06,0.0005442252836679257
TX,0.5,6,owner,590822.4515562,41437076428.509,0.0030539227096342265,0.05596797281001109
TX,0.5,6,renter,334874.1302782,23463990514.065083,0.002044097308876649,0.02702894992183198
TX,0.5,7,no_cash_rent,9519.8353345,843171719.9599904,8.703110286059775e-05,0.0007804744422039247
TX,0.5,7,owner,704981.1980022,63245360345.87371,0.004934648947489818,0.07905488187593586
TX,0.5,7,renter,216524.3483931,19194911631.98253,0.0015908530128242366,0.020083180017045267
TX,0.5,8,owner,740037.7482283,85029091652.94498,0.007997880490860856,0.10197261928319194
TX,0.5,8,renter,191767.4173522,21794549586.343212,0.0023098188711023165,0.02096461928203371
TX,0.5,9,no_cash_rent,14363.350098699999,2240812307.5828986,0.00020221631883494943,0.0017266351194376492
TX,0.5,9,owner,793876.1527604,120745487864.9656,0.013355156383860419,0.13389899218612605
TX,0.5,9,renter,124666.1340119,18736347575.24029,0.0021067580826340465,0.020623764502289275
TX,0.5,10,no_cash_rent,4321.6197873,1097933436.682289,0.00013473133098513773,0.0009558825580870146
TX,0.5,10,owner,816465.0813642,243136013043.98615,0.031973715769296904,0.23317682321435684
TX,0.5,10,renter,112150.2751914,28707584230.47707,0.004078667349763948,0.025954264862470933
TX,1.0,1,no_cash_rent,19760.9816582,183740276.8684115,7.125571085264159e-06,0.0005324081842949197
TX,1.0,1,owner,476695.3971424,2729360293.6024594,0.0001875858941137949,0.016808123251550726
TX,1.0,1,renter,433872.1592254,3620220812.8534093,9.67158450082416e-05,0.01549396459510042
TX,1.0,2,no_cash_rent,24881.7787812,579778758.6267303,2.5486416792579033e-05,0.001088789632415058
TX,1.0,2,owner,417822.3316082,9353647287.669622,0.00023948450688497178,0.02327981313362359
TX,1.0,2,renter,486851.344561,10870542435.552069,0.00026197538419871875,0.025552227783008682
TX,1.0,3,no_cash_rent,10790.1006007,340584457.3797599,2.8968346223338523e-05,0.0005277414023446095
TX,1.0,3,owner,475514.8567209,16476811617.076122,0.0006400300925085193,0.03238056000541511
TX,1.0,3,renter,445651.8280992,15218123472.942533,0.0007397628042217768,0.026909585568576724
TX,1.0,4,no_cash_rent,17211.6990603,804114995.9864988,1.4745751217346897e-05,0.0009908559948613024
TX,1.0,4,owner,488301.2959399,22481989144.95633,0.0011495524637309847,0.03800596783900014
TX,1.0,4,renter,425633.3815624,19557874585.96123,0.0011591574828415498,0.029085324622934696
TX,1.0,5,no_cash_rent,18542.713586500002,1019140177.5955708,8.810687760865945e-05,0.0011712628793502735
TX,1.0,5,owner,506735.0382363,28929091378.5953,0.0016996288134107067,0.04374438588875609
TX,1.0,5,renter,406299.6354671,23018138300.658363,0.0017106683326993785,0.03126170622296731
TX,1.0,6,no_cash_rent,7397.7136718,498042184.2132466,7.040919741518011e-06,0.0005408170556797423
TX,1.0,6,owner,590822.4515562,41437076428.509,0.0030539227096342265,0.05547278507676488
TX,1.0,6,renter,334874.1302782,23463990514.065083,0.002044097308876649,0.0285866057590712
TX,1.0,7,no_cash_rent,9519.8353345,843171719.9599904,8.703110286059775e-05,0.00078000514162335
TX,1.0,7,owner,704981.1980022,63245360345.87371,0.004934648947489818,0.07828656699174112
TX,1.0,7,renter,216524.3483931,19194911631.98253,0.0015908530128242366,0.021035910829254482
TX,1.0,8,owner,740037.7482283,85029091652.94498,0.007997880490860856,0.10050215453430632
TX,1.0,8,renter,191767.4173522,21794549586.343212,0.0023098188711023165,0.021764925656024718
TX,1.0,9,no_cash_rent,14363.350098699999,2240812307.5828986,0.00020221631883494943,0.0017202688242129649
TX,1.0,9,owner,793876.1527604,120745487864.9656,0.013355156383860419,0.13144247144642354
TX,1.0,9,renter,124666.1340119,18736347575.24029,0.0021067580826340465,0.020580648071490043
TX,1.0,10,no_cash_rent,4321.6197873,1097933436.682289,0.00013473133098513773,0.0009251345014217757
TX,1.0,10,owner,816465.0813642,243136013043.98615,0.031973715769296904,0.22587555550489413
TX,1.0,10,renter,112150.2751914,28707584230.47707,0.004078667349763948,0.025653433602892118
