universe,allocation,weighting,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,health_age_birth,1232,3245304.200540,2157.343400,57.651482,-988.302916,60.440401
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,health_age_birth_ins,1232,3245304.200540,1221.542029,125.182205,-1345.517274,131.023033
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,k12_charged,1232,3245304.200540,3643.540434,189.363654,142.858915,203.044915
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,k12_charged_flat090,1232,3245304.200540,4085.189096,212.317209,160.175438,227.656832
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,k12_cost_at_full_attendance,1232,3245304.200540,4539.098996,235.908010,177.972708,252.952036
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,modeled_tax_total,1232,3245304.200540,26338.891819,1413.532060,9002.225350,1438.447462
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,payroll,1232,3245304.200540,6389.563927,201.438974,1688.561137,205.234849
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,property_tax_owner,1232,3245304.200540,2262.832716,119.502676,646.205611,117.909189
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,property_tax_renter_proxy,1232,3245304.200540,442.549892,28.205008,95.986778,27.945972
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,sales_tax_itep,1232,3245304.200540,2533.476839,72.698171,338.203000,74.557302
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,sales_tax_share35,1232,3245304.200540,1774.879880,68.309321,491.620427,69.476891
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,selected_cash_total,1232,3245304.200540,685.535514,149.880039,-1999.080287,155.514598
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,selected_noncash_total,1232,3245304.200540,66.239859,8.707105,-176.820822,10.664971
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,snap,1232,3245304.200540,13.026071,6.145220,-120.488862,8.402924
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,social_security,1232,3245304.200540,474.416458,123.886257,-1330.032809,132.638469
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,state_after_credits,1232,3245304.200540,3734.197963,276.789686,1168.321337,279.888442
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,state_local_total,1232,3245304.200540,7771.910559,375.338159,2306.147375,379.703275
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,cash_noncash_tax_balance,362,974649.319403,14412.339885,1252.711647,3.349898,1239.861978
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,children_5_17,362,974649.319403,0.271133,0.041412,0.018466,0.041389
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,employer_payroll,362,974649.319403,4693.472303,278.528093,402.407942,277.891734
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,extended_balance_after_health,362,974649.319403,15090.987301,1527.607586,137.374231,1526.157037
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,extended_balance_after_health_ins,362,974649.319403,15898.042087,1523.028708,365.842003,1524.525442
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,extended_balance_base,362,974649.319403,16754.792311,1541.078036,-1344.467076,1536.246206
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,extended_balance_flat090,362,974649.319403,16227.333023,1554.819091,-1447.594223,1551.622444
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,extended_balance_renter,362,974649.319403,17562.859044,1545.084397,-882.963457,1536.616376
