group,metric,allocation,weighting,n_adults_2025,n_adults_2026,weighted_adults_2025,weighted_adults_2026,estimate_asec2025,se_asec2025,estimate_asec2026,se_asec2026,estimate_asec2026_oasdi2025cap,se_asec2026_oasdi2025cap,change_2026_minus_2025,diff_from_ref_asec2025,se_diff_from_ref_asec2025,diff_from_ref_asec2026,se_diff_from_ref_asec2026,pooled_estimate,pooled_se_independent,pooled_diff_from_ref,pooled_se_diff_independent
mexican_second_gen,property_tax_owner,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,764.7769939250528,28.942479418444375,792.5249696854323,31.193695625257256,792.5249696854323,31.193695625257256,27.747975760379518,-547.9788488750202,32.75441720613197,-605.5898253308396,38.685074578602034,778.6509818052425,21.276241219070332,-576.7843371029298,25.34455977949388
mexican_second_gen,k12_charged,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,2111.9663577378396,85.94922832147415,1981.4470195981821,73.68326067331363,1981.4470195981821,73.68326067331363,-130.51933813965752,460.4203508083592,90.17016419969345,293.9195759182587,77.21439239419433,2046.7066886680109,56.604974941493396,377.16996336330897,59.3563831963427
mexican_second_gen,extended_balance_base,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,7699.522403768391,374.8074680899769,8088.698000043273,502.2804477325886,8096.688312439278,502.9141145862581,389.1755962748821,-8286.07124429754,443.0605618293321,-8727.450958242745,594.4814693337165,7894.110201905833,313.35534394297025,-8506.761101270142,370.7124488163629
mexican_third_plus_selfid,modeled_tax_total,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,9148.880880730794,440.2673424740895,8899.381416172708,471.193581520108,8899.381416172708,471.193581520108,-249.4994645580864,-5234.434681368777,437.5204897829827,-5964.876374580257,528.3338978260715,9024.13114845175,322.4355455416415,-5599.655527974517,342.9872033225259
mexican_third_plus_selfid,selected_cash_total,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,2048.8722260050404,134.0807818561626,2130.2386743927746,138.63541427366602,2130.2386743927746,138.63541427366602,81.36644838773418,-404.44714084554516,145.86194643817205,-236.95434983676068,148.62923549409214,2089.5554501989072,96.43318172961895,-320.7007453411529,104.12295263568268
mexican_third_plus_selfid,selected_noncash_total,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,230.3761524169058,16.430182603041406,231.34336637480288,15.662007024529416,231.34336637480288,15.662007024529416,0.9672139578970871,86.21048454546761,16.885794734378223,95.12425130508822,15.889645057662348,230.85975939585433,11.349552462605004,90.66736792527792,11.593218749230612
mexican_third_plus_selfid,cash_noncash_tax_balance,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,6869.632502308848,468.3730771081258,6537.799375405167,496.75836468814634,6537.799375405167,496.75836468814634,-331.83312690368166,-4916.198025068692,456.1598840844971,-5823.046276048554,562.5596840677842,6703.715938857007,341.37304091249496,-5369.622150558624,362.130928666148
mexican_third_plus_selfid,employer_payroll,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,2851.550993519581,61.673566751684106,2805.00228832019,63.21099806081535,2815.835006211559,63.72807991531813,-46.54870519939095,-637.272416056343,63.28219760769371,-851.7478744535924,70.25809250683683,2828.2766409198857,44.15670705487117,-744.5101452549677,47.27799725231188
mexican_third_plus_selfid,sales_tax_share35,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,892.8517783606513,21.987856317213133,891.8648230834904,23.3326670756508,891.8648230834904,23.3326670756508,-0.9869552771609733,-156.878096881342,21.948209635520193,-196.10096963851765,25.86398844316788,892.3583007220709,16.03027743279548,-176.48953325992983,16.96076210251962
mexican_third_plus_selfid,property_tax_owner,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,808.0315038345815,28.072452117513915,854.5265824917383,35.54616436398095,854.5265824917383,35.54616436398095,46.495078657156796,-504.7243389654915,31.03621606304682,-543.5882125245337,39.826443016741344,831.2790431631599,22.647253524882775,-524.1562757450126,25.24575345913581
