benchmark,rule,end,convention,rate_path,window_start,financing,stock_entering_2024_bn,legacy_interest_2024_bn,stock_end_2024_brief_bn,flow_2024_bn,flow_2024_part_year_interest_bn,sum_flows_nominal_bn,rate_2024,stock_share_of_debt_end_fy2023,interest_per_member_usd,interest_per_other_resident_usd,interest_share_of_fy2024_net_interest,interest_share_of_account_interest_allocation,interest_share_of_per_head_net_interest
main,programme,low,low,effective,2005,all_borrowed,289.810482,9.369858,299.18034,16.522239,0.26709,304.473772,0.032331,0.011046,229.111083,31.314863,0.010649,0.069645,0.088561
main,programme,low,low,effective,2005,half_borrowed,144.905241,4.684929,149.59017,8.261119,0.133545,152.236886,0.032331,0.005523,114.555541,15.657432,0.005325,0.034822,0.044281
main,programme,low,low,effective,2010,all_borrowed,422.032456,13.644725,435.677181,16.522239,0.26709,392.383045,0.032331,0.016086,333.639806,45.601831,0.015508,0.101419,0.128966
main,programme,low,low,effective,2010,half_borrowed,211.016228,6.822363,217.83859,8.261119,0.133545,196.191523,0.032331,0.008043,166.819903,22.800915,0.007754,0.050709,0.064483
main,programme,low,low,effective,2015,all_borrowed,352.530067,11.397644,363.927711,16.522239,0.26709,338.852411,0.032331,0.013437,278.694355,38.091896,0.012954,0.084717,0.107727
main,programme,low,low,effective,2015,half_borrowed,176.265033,5.698822,181.963856,8.261119,0.133545,169.426205,0.032331,0.006719,139.347178,19.045948,0.006477,0.042358,0.053864
main,programme,low,low,constant_3_22,2005,all_borrowed,287.74672,9.267719,297.014439,16.522239,0.266073,304.473772,0.032208,0.010968,226.613584,30.973505,0.010533,0.068885,0.087596
main,programme,low,low,constant_3_22,2005,half_borrowed,143.87336,4.63386,148.507219,8.261119,0.133037,152.236886,0.032208,0.005484,113.306792,15.486753,0.005266,0.034443,0.043798
main,programme,low,low,constant_3_22,2010,all_borrowed,439.431246,14.15316,453.584407,16.522239,0.266073,392.383045,0.032208,0.016749,346.072025,47.301064,0.016085,0.105198,0.133772
main,programme,low,low,constant_3_22,2010,half_borrowed,219.715623,7.07658,226.792203,8.261119,0.133037,196.191523,0.032208,0.008375,173.036012,23.650532,0.008043,0.052599,0.066886
main,programme,low,low,constant_3_22,2015,all_borrowed,357.9851,11.52995,369.515051,16.522239,0.266073,338.852411,0.032208,0.013645,281.929493,38.534074,0.013104,0.0857,0.108978
main,programme,low,low,constant_3_22,2015,half_borrowed,178.99255,5.764975,184.757525,8.261119,0.133037,169.426205,0.032208,0.006823,140.964746,19.267037,0.006552,0.04285,0.054489
main,programme,low,low,treasury_10y,2005,all_borrowed,291.355277,12.375315,303.730592,16.522239,0.350891,304.473772,0.042475,0.011105,302.600294,41.359356,0.014065,0.091984,0.116968
main,programme,low,low,treasury_10y,2005,half_borrowed,145.677638,6.187658,151.865296,8.261119,0.175446,152.236886,0.042475,0.005553,151.300147,20.679678,0.007032,0.045992,0.058484
main,programme,low,low,treasury_10y,2010,all_borrowed,429.139705,18.227709,447.367414,16.522239,0.350891,392.383045,0.042475,0.016357,445.702589,60.918552,0.020716,0.135483,0.172283
main,programme,low,low,treasury_10y,2010,half_borrowed,214.569853,9.113854,223.683707,8.261119,0.175446,196.191523,0.042475,0.008179,222.851294,30.459276,0.010358,0.067742,0.086142
main,programme,low,low,treasury_10y,2015,all_borrowed,357.172723,15.170911,372.343634,16.522239,0.350891,338.852411,0.042475,0.013614,370.958001,50.702475,0.017242,0.112763,0.143391
main,programme,low,low,treasury_10y,2015,half_borrowed,178.586362,7.585456,186.171817,8.261119,0.175446,169.426205,0.042475,0.006807,185.479001,25.351238,0.008621,0.056381,0.071696
main,programme,low,low,gross_public_securities,2005,all_borrowed,287.479114,10.026545,297.505659,16.522239,0.288127,304.473772,0.034877,0.010958,245.168342,33.509566,0.011395,0.074526,0.094768
main,programme,low,low,gross_public_securities,2005,half_borrowed,143.739557,5.013273,148.75283,8.261119,0.144063,152.236886,0.034877,0.005479,122.584171,16.754783,0.005698,0.037263,0.047384
main,programme,low,low,gross_public_securities,2010,all_borrowed,425.89911,14.854285,440.753395,16.522239,0.288127,392.383045,0.034877,0.016234,363.215878,49.644283,0.016882,0.110409,0.140399
main,programme,low,low,gross_public_securities,2010,half_borrowed,212.949555,7.427143,220.376697,8.261119,0.144063,196.191523,0.034877,0.008117,181.607939,24.822142,0.008441,0.055205,0.070199
main,programme,low,low,gross_public_securities,2015,all_borrowed,353.845487,12.341237,366.186724,16.522239,0.288127,338.852411,0.034877,0.013487,301.767006,41.245462,0.014026,0.09173,0.116646
main,programme,low,low,gross_public_securities,2015,half_borrowed,176.922744,6.170618,183.093362,8.261119,0.144063,169.426205,0.034877,0.006744,150.883503,20.622731,0.007013,0.045865,0.058323
