STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
41,337,549,17,9127,inst65_mcd,0.6138433515482696,0.060151199737043935,0.03692341404623644
42,0,891,17,43023,inst65_mcd,0.0,0.02070985286939544,0.0
44,0,0,0,5712,inst65_mcd,,0.0,0.0
45,0,105,3,9979,inst65_mcd,0.0,0.010522096402445134,0.0
46,0,0,0,4645,inst65_mcd,,0.0,0.0
47,16,16,1,13761,inst65_mcd,1.0,0.0011627061986774216,0.0011627061986774216
48,10279,12565,320,51494,inst65_mcd,0.8180660565061679,0.24400901075853498,0.19961548918320582
49,0,0,0,1859,inst65_mcd,,0.0,0.0
50,0,0,0,2665,inst65_mcd,,0.0,0.0
51,16,614,10,19441,inst65_mcd,0.026058631921824105,0.03158273751350239,0.0008230029319479451
53,171,342,13,13145,inst65_mcd,0.5,0.02601749714720426,0.01300874857360213
54,0,181,4,6419,inst65_mcd,0.0,0.028197538557407698,0.0
55,100,317,7,14861,inst65_mcd,0.31545741324921134,0.021331000605612004,0.006729022273063724
56,451,451,5,1464,inst65_mcd,1.0,0.30806010928961747,0.30806010928961747
1,2889,4836,26,123465,comm_adl,0.597394540942928,0.03916899526181509,0.02339934394362775
2,462,1363,8,18503,comm_adl,0.338958180484226,0.07366373020591256,0.024968923958277035
4,39259,46099,485,153197,comm_adl,0.8516236794724398,0.30091320326116044,0.25626480936310764
5,3296,5124,44,97798,comm_adl,0.6432474629195941,0.05239370948281151,0.03370212069776478
6,345448,423104,4068,1122944,comm_adl,0.8164612010285888,0.37678103271400887,0.3076270944944717
8,14884,22624,244,102976,comm_adl,0.6578854314002829,0.2197016780609074,0.14453853325046612
9,842,18063,139,77803,comm_adl,0.04661462658473122,0.23216328419212626,0.010822204799300798
10,1091,2338,19,24062,comm_adl,0.46663815226689476,0.09716565539024187,0.045341201895104315
11,0,1241,8,18976,comm_adl,0.0,0.06539839797639123,0.0
12,8967,142616,1299,459409,comm_adl,0.0628751332248836,0.31043362232781685,0.019518555361344683
13,5218,12313,112,194117,comm_adl,0.4237797449849752,0.06343081749666438,0.026880695662924937
15,130,1594,20,27647,comm_adl,0.08155583437892096,0.05765544182008898,0.0047021376641226895
16,5063,6148,52,41438,comm_adl,0.8235198438516591,0.1483662338915971,0.12218253776726676
17,26195,36578,265,237180,comm_adl,0.7161408496910712,0.15422042330719285,0.11044354498692976
18,5680,10344,85,169029,comm_adl,0.5491105955143079,0.06119659940010294,0.033603701140041055
19,2265,2944,30,60516,comm_adl,0.7693614130434783,0.04864829136096239,0.03742811818362086
20,2555,4336,34,49139,comm_adl,0.5892527675276753,0.08823948391298155,0.05199536010093816
21,3039,4467,35,153377,comm_adl,0.6803223640026864,0.029124314597364663,0.019813922556837074
22,955,4277,58,143180,comm_adl,0.22328735094692542,0.02987149043162453,0.006669925967313871
23,367,1144,23,40725,comm_adl,0.3208041958041958,0.02809085328422345,0.009011663597298956
24,1428,5710,55,112682,comm_adl,0.2500875656742557,0.050673576968814894,0.012672831508137946
