KOEN,ALDER,HERKOMST,TID,INDHOLD
Men,50-79 years,"Immigrants, total",2019,3947
Men,50-79 years,"Immigrants, total",2020,4660
Men,50-79 years,"Immigrants, total",2021,4775
Men,50-79 years,"Immigrants, total",2022,4753
Men,50-79 years,"Immigrants, total",2023,5068
Men,50-79 years,"Immigrants, total",2024,5104
Men,50-79 years,Immigrants from western countries,2008,537
Men,50-79 years,Immigrants from western countries,2009,588
Men,50-79 years,Immigrants from western countries,2010,720
Men,50-79 years,Immigrants from western countries,2011,724
Men,50-79 years,Immigrants from western countries,2012,776
Men,50-79 years,Immigrants from western countries,2013,799
Men,50-79 years,Immigrants from western countries,2014,819
Men,50-79 years,Immigrants from western countries,2015,916
Men,50-79 years,Immigrants from western countries,2016,879
Men,50-79 years,Immigrants from western countries,2017,893
Men,50-79 years,Immigrants from western countries,2018,920
Men,50-79 years,Immigrants from western countries,2019,1028
Men,50-79 years,Immigrants from western countries,2020,1182
Men,50-79 years,Immigrants from western countries,2021,1189
Men,50-79 years,Immigrants from western countries,2022,1263
Men,50-79 years,Immigrants from western countries,2023,1357
Men,50-79 years,Immigrants from western countries,2024,1348
Men,50-79 years,Immigrants from non-western countries,2008,1096
Men,50-79 years,Immigrants from non-western countries,2009,1260
Men,50-79 years,Immigrants from non-western countries,2010,1472
Men,50-79 years,Immigrants from non-western countries,2011,1616
Men,50-79 years,Immigrants from non-western countries,2012,1895
Men,50-79 years,Immigrants from non-western countries,2013,1916
Men,50-79 years,Immigrants from non-western countries,2014,2226
Men,50-79 years,Immigrants from non-western countries,2015,2341
Men,50-79 years,Immigrants from non-western countries,2016,2395
Men,50-79 years,Immigrants from non-western countries,2017,2479
Men,50-79 years,Immigrants from non-western countries,2018,2648
Men,50-79 years,Immigrants from non-western countries,2019,2919
Men,50-79 years,Immigrants from non-western countries,2020,3478
Men,50-79 years,Immigrants from non-western countries,2021,3586
Men,50-79 years,Immigrants from non-western countries,2022,3490
Men,50-79 years,Immigrants from non-western countries,2023,3711
Men,50-79 years,Immigrants from non-western countries,2024,3756
Men,50-79 years,"Descendants, total",2008,42
Men,50-79 years,"Descendants, total",2009,40
Men,50-79 years,"Descendants, total",2010,49
Men,50-79 years,"Descendants, total",2011,54
Men,50-79 years,"Descendants, total",2012,69
Men,50-79 years,"Descendants, total",2013,57
Men,50-79 years,"Descendants, total",2014,64
Men,50-79 years,"Descendants, total",2015,54
Men,50-79 years,"Descendants, total",2016,46
Men,50-79 years,"Descendants, total",2017,64
Men,50-79 years,"Descendants, total",2018,55
Men,50-79 years,"Descendants, total",2019,52
Men,50-79 years,"Descendants, total",2020,86
Men,50-79 years,"Descendants, total",2021,75
Men,50-79 years,"Descendants, total",2022,88
Men,50-79 years,"Descendants, total",2023,142
Men,50-79 years,"Descendants, total",2024,163
Men,50-79 years,Descendants from western countries,2008,38
Men,50-79 years,Descendants from western countries,2009,35
Men,50-79 years,Descendants from western countries,2010,45
Men,50-79 years,Descendants from western countries,2011,47
Men,50-79 years,Descendants from western countries,2012,63
Men,50-79 years,Descendants from western countries,2013,53
Men,50-79 years,Descendants from western countries,2014,60
Men,50-79 years,Descendants from western countries,2015,52
Men,50-79 years,Descendants from western countries,2016,43
Men,50-79 years,Descendants from western countries,2017,59
Men,50-79 years,Descendants from western countries,2018,50
Men,50-79 years,Descendants from western countries,2019,46
Men,50-79 years,Descendants from western countries,2020,75
Men,50-79 years,Descendants from western countries,2021,59
Men,50-79 years,Descendants from western countries,2022,58
Men,50-79 years,Descendants from western countries,2023,81
Men,50-79 years,Descendants from western countries,2024,73
Men,50-79 years,Descendants from non-western countries,2008,4
Men,50-79 years,Descendants from non-western countries,2009,5
Men,50-79 years,Descendants from non-western countries,2010,4
Men,50-79 years,Descendants from non-western countries,2011,7
Men,50-79 years,Descendants from non-western countries,2012,6
Men,50-79 years,Descendants from non-western countries,2013,4
Men,50-79 years,Descendants from non-western countries,2014,4
Men,50-79 years,Descendants from non-western countries,2015,2
Men,50-79 years,Descendants from non-western countries,2016,3
Men,50-79 years,Descendants from non-western countries,2017,5
Men,50-79 years,Descendants from non-western countries,2018,5
Men,50-79 years,Descendants from non-western countries,2019,6
Men,50-79 years,Descendants from non-western countries,2020,11
Men,50-79 years,Descendants from non-western countries,2021,16
Men,50-79 years,Descendants from non-western countries,2022,30
Men,50-79 years,Descendants from non-western countries,2023,61
Men,50-79 years,Descendants from non-western countries,2024,90
Women,"Age, total",Total,2008,28176
Women,"Age, total",Total,2009,30104
Women,"Age, total",Total,2010,32342
Women,"Age, total",Total,2011,33916
Women,"Age, total",Total,2012,34307
Women,"Age, total",Total,2013,36289
Women,"Age, total",Total,2014,36847
Women,"Age, total",Total,2015,36388
Women,"Age, total",Total,2016,35396
Women,"Age, total",Total,2017,32868
Women,"Age, total",Total,2018,31568
Women,"Age, total",Total,2019,34818
Women,"Age, total",Total,2020,41143
Women,"Age, total",Total,2021,41140
Women,"Age, total",Total,2022,38931
Women,"Age, total",Total,2023,37636
Women,"Age, total",Total,2024,38289
Women,"Age, total",Persons of Danish origin,2008,25107
Women,"Age, total",Persons of Danish origin,2009,26384
Women,"Age, total",Persons of Danish origin,2010,28426
Women,"Age, total",Persons of Danish origin,2011,29617
Women,"Age, total",Persons of Danish origin,2012,29669
Women,"Age, total",Persons of Danish origin,2013,31403
Women,"Age, total",Persons of Danish origin,2014,31505
Women,"Age, total",Persons of Danish origin,2015,30840
Women,"Age, total",Persons of Danish origin,2016,30072
Women,"Age, total",Persons of Danish origin,2017,27425
Women,"Age, total",Persons of Danish origin,2018,25659
Women,"Age, total",Persons of Danish origin,2019,28219
Women,"Age, total",Persons of Danish origin,2020,32874
Women,"Age, total",Persons of Danish origin,2021,32458
Women,"Age, total",Persons of Danish origin,2022,30490
Women,"Age, total",Persons of Danish origin,2023,28931
Women,"Age, total",Persons of Danish origin,2024,29389
Women,"Age, total","Immigrants, total",2008,2585
Women,"Age, total","Immigrants, total",2009,3121
Women,"Age, total","Immigrants, total",2010,3197
Women,"Age, total","Immigrants, total",2011,3539
Women,"Age, total","Immigrants, total",2012,3723
Women,"Age, total","Immigrants, total",2013,3876
Women,"Age, total","Immigrants, total",2014,4140
Women,"Age, total","Immigrants, total",2015,4244
Women,"Age, total","Immigrants, total",2016,4124
Women,"Age, total","Immigrants, total",2017,4131
