design,window,outcome,treat,geo,natl_shift,estimator,n,coef,se,lo,hi,first_stage_F
1,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,first-stage,25,0.05993407432941508,0.10056269771145378,-0.13716519137322283,0.257033340032053,0.3552006678412784
1,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,reduced-form,25,-0.020409491163868684,0.1418085945261235,-0.2983492291333146,0.2575302468055772,0.3552006678412784
1,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,IV,25,-0.340532349789747,2.1284481732537257,-4.512214112327118,3.8311494127476244,0.3552006678412784
1,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,Z-ON-BASELINE-LEVEL (exogeneity test),25,-0.017514060139681376,0.26144742509035374,-0.5299415971675084,0.4949134768881457,0.3552006678412784
1-levelctl,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,OLS+ctl,25,0.3388804503235593,0.3688087402522199,-0.3839713977543794,1.0617322984014979,
1-levelctl,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,first-stage,25,0.06358894304283708,0.06448378879577375,-0.06279696058356693,0.18997484666924108,0.9724384421876099
1-levelctl,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,reduced-form+ctl,25,-0.027591827644630876,0.1096421791273809,-0.24248654992078672,0.18730289463152494,0.9724384421876099
1-levelctl,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,IV+ctl,25,-0.43390920377532183,1.834096505642808,-4.02867229900599,3.160853891455346,0.9724384421876099
1,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,OLS,332,0.018823794269977528,0.03066802874005309,-0.041284437537365826,0.07893202607732087,
1,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,first-stage,332,-0.3556504612900725,0.090044936692759,-0.5321352941980693,-0.17916562838207567,15.60012788231447
1,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,reduced-form,332,-0.024422339409554683,0.05602845131044613,-0.13423608608758508,0.08539140726847572,15.60012788231447
1,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,IV,332,0.06866950016307016,0.1625483692659941,-0.24991944934399574,0.38725844967013606,15.60012788231447
1,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,Z-ON-BASELINE-LEVEL (exogeneity test),332,0.4149943476485679,0.1262479188618683,0.16755297355617105,0.6624357217409648,15.60012788231447
1,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,PLACEBO reduced-form on prior dy,332,-0.14708108530969968,0.036760618648944796,-0.21913057391104296,-0.07503159670835642,15.60012788231447
1-levelctl,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,OLS+ctl,332,-0.049932866572771475,0.026217980851425,-0.10131916478892525,0.0014534316433823039,
1-levelctl,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,first-stage,332,-0.2839066491651956,0.09579584562173904,-0.4716630564523631,-0.09615024187802806,8.783301220231127
1-levelctl,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,reduced-form+ctl,332,0.08828636175115992,0.04086135197557908,0.00819958351941033,0.1683731399829095,8.783301220231127
1-levelctl,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,IV+ctl,332,-0.3109696867289323,0.14494154375401133,-0.595049892350431,-0.026889481107433666,8.783301220231127
1-levelctl,2005-2008,ssi_rate,all foreign-born,fixed-2013-PUMS,2271093.0,PLACEBO reduced-form on prior dy,332,-0.14708108530969968,0.036760618648944796,-0.21913057391104296,-0.07503159670835642,8.783301220231127
1,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,OLS,332,-0.023565787893788884,0.02935924952242596,-0.08110885957086855,0.033977283783290776,
1,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,first-stage,332,-0.3556504612900725,0.090044936692759,-0.5321352941980693,-0.17916562838207567,15.60012788231447
1,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,reduced-form,332,-0.13138987591206366,0.05895827144990898,-0.24694596454462137,-0.015833787279505948,15.60012788231447
1,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,IV,332,0.36943541542295477,0.21909044528448918,-0.05997396669148736,0.7988447975373969,15.60012788231447
1,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,Z-ON-BASELINE-LEVEL (exogeneity test),332,0.26953429755016134,0.15493979780927314,-0.03414212592793198,0.5732107210282547,15.60012788231447
1,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,PLACEBO reduced-form on prior dy,332,-0.5409326569007104,0.07838630327381854,-0.6945669881986288,-0.38729832560279187,15.60012788231447
1-levelctl,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,OLS+ctl,332,-0.04231707353512567,0.030726133758388906,-0.10253918908572826,0.017905042015476914,
1-levelctl,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,first-stage,332,-0.31232798278449314,0.09329315651094167,-0.4951792095499973,-0.12947675601898903,11.20784762028639
1-levelctl,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,reduced-form+ctl,332,-0.10524962157502055,0.06497817487317767,-0.23260450410759428,0.02210526095755319,11.20784762028639
1-levelctl,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,IV+ctl,332,0.3369842837541802,0.25098259069543416,-0.15493255475542844,0.8289011222637889,11.20784762028639
1-levelctl,2005-2008,pa_rate,all foreign-born,fixed-2013-PUMS,2271093.0,PLACEBO reduced-form on prior dy,332,-0.5409326569007104,0.07838630327381854,-0.6945669881986288,-0.38729832560279187,11.20784762028639
1,2005-2008,nc_epop,all foreign-born,fixed-2013-PUMS,2271093.0,OLS,332,0.3026667104569233,0.10953318984378789,0.08798560325131058,0.517347817662536,
1,2005-2008,nc_epop,all foreign-born,fixed-2013-PUMS,2271093.0,first-stage,332,-0.3556504612900725,0.090044936692759,-0.5321352941980693,-0.17916562838207567,15.60012788231447
1,2005-2008,nc_epop,all foreign-born,fixed-2013-PUMS,2271093.0,reduced-form,332,0.6491265833873338,0.3069132770316827,0.047587614028071434,1.2506655527465962,15.60012788231447
1,2005-2008,nc_epop,all foreign-born,fixed-2013-PUMS,2271093.0,IV,332,-1.8251813340343133,1.1068528926541836,-3.9945731398204916,0.34421047175186503,15.60012788231447
