spec,age_group,nativity,component,ledger_cost_bn,delta_cost_bn,se_bn,ci_lo_bn,ci_hi_bn,implied_ratio
pooled_cpi_all_items,all ages,foreign_born,medical+M,45.51495154918786,-3.2872756271318626,3.132341407799826,-9.426551973703013,2.852000719439287,0.9277759172482186
pooled_year_normalized,0-17,both,medical,17.765167580702354,5.7309457110517155,4.110416493809995,-2.3253225782752818,13.787214000378714,1.3225945201483509
pooled_year_normalized,0-17,both,medical_transport_payers,17.765167580702354,5.723306326551517,4.10453208130864,-2.3214287262026443,13.768041379305679,1.3221644997466016
pooled_year_normalized,0-17,both,M,9.138000853840099,3.2432482042861692,2.227277990608797,-1.122136440865814,7.608632849438152,1.354918789805458
pooled_year_normalized,0-17,both,medical+M,26.903168434542454,8.974193915337885,6.332146629935576,-3.4365854241625233,21.384973254838297,1.3335738664824113
pooled_year_normalized,18-64,both,medical,41.20664847955583,-4.267740631817116,2.334197745176824,-8.842684145158294,0.30720288152406217,0.8964307753896922
pooled_year_normalized,18-64,both,medical_transport_payers,41.20664847955583,-4.467854354422455,2.351369301505606,-9.076453499726545,0.14074479088163566,0.8915744298729094
pooled_year_normalized,18-64,both,M,16.300277115190685,-0.48754609096915624,1.138231390113199,-2.718438621663987,1.7433464397256742,0.9700897053759412
pooled_year_normalized,18-64,both,medical+M,57.50692559474652,-4.755286722786272,3.425807117050093,-11.469745290185447,1.9591718446129036,0.917309321032097
pooled_year_normalized,65+,both,medical,33.90586660943555,-4.210414107656288,2.237112608630488,-8.595074249932495,0.17424603461991786,0.8758204839252041
pooled_year_normalized,65+,both,medical_transport_payers,33.90586660943555,-4.244155003957382,2.2366741758047035,-8.627955833685409,0.1396458257706461,0.8748253494639688
pooled_year_normalized,65+,both,M,9.71210305891032,-1.0426264549145012,0.7195299607213895,-2.4528792637259444,0.36762635389694215,0.892646685420214
pooled_year_normalized,65+,both,medical+M,43.617969668345864,-5.253040562570789,2.9493412798706267,-11.033643249234485,0.527562124092906,0.8795670545302113
pooled_year_normalized,all ages,both,medical,92.87768266969373,-2.747209028421692,6.313482325223658,-15.121407002890258,9.626988946046875,0.9704212147691954
pooled_year_normalized,all ages,both,medical_transport_payers,92.87768266969373,-2.988703031828308,6.3234142546597205,-15.38236723028855,9.404961166631933,0.9678210852605227
pooled_year_normalized,all ages,both,M,35.1503810279411,1.713075658402504,3.1593263385467267,-4.479090180557878,7.905241497362886,1.048735621302107
pooled_year_normalized,all ages,both,medical+M,128.02806369763482,-1.034133370019188,9.422078131347924,-19.50106716698357,17.432800426945196,0.991922603996718
pooled_year_normalized,all ages,us_born,medical,58.63519720503764,0.10782136731038666,5.272209346709383,-10.225519071195452,10.441161805816225,1.0018388505957156
pooled_year_normalized,all ages,us_born,medical_transport_payers,58.63519720503764,0.08100378641272736,5.271847997681915,-10.251628421013425,10.41363599383888,1.0013814874047318
pooled_year_normalized,all ages,us_born,M,23.877914943409316,2.030346584431572,2.8486818813434076,-3.552967306413311,7.613660475276455,1.0850303131258945
pooled_year_normalized,all ages,us_born,medical+M,82.51311214844696,2.1381679517419587,8.08923902724515,-13.716449203994356,17.992785107478273,1.0259130687968143
pooled_year_normalized,all ages,foreign_born,medical,34.242485464656085,-2.8550303957320557,2.2987749635059673,-7.360546532766128,1.6504857413020173,0.9166231552122898
pooled_year_normalized,all ages,foreign_born,medical_transport_payers,34.242485464656085,-3.069706818241043,2.2982525591716776,-7.57419906159454,1.4347854251124543,0.9103538549674063
pooled_year_normalized,all ages,foreign_born,M,11.272466084531787,-0.3172709260290661,0.8061667778756375,-1.8973287761980173,1.2627869241398852,0.9718543463648626
pooled_year_normalized,all ages,foreign_born,medical+M,45.51495154918786,-3.172301321761122,3.0882672371183912,-9.225193881148188,2.880591237625944,0.9303019949755889
