arm,year,measure,group,n,wpop,rate,se,neff
citizens_18plus_pooled,pooled,registered_census_convention,7 All US-born,378284,1043551083.869900,0.713570,0.000850,283036.885200
citizens_18plus_pooled,pooled,registered_census_convention,8 Indian 2nd gen (self-ID),960,3535773.250400,0.566314,0.017290,821.585693
citizens_18plus_pooled,pooled,registered_census_convention,9 US-born Asian (any),8238,24105690.326600,0.541123,0.006384,6091.781110
citizens_18plus_pooled,pooled,turnout_census_convention,1 India-born,1748,6255852.762000,0.651005,0.012114,1548.310790
citizens_18plus_pooled,pooled,turnout_census_convention,2 China-born,1364,4953061.568200,0.425145,0.014334,1189.534962
citizens_18plus_pooled,pooled,turnout_census_convention,3 Mexico-born,5242,18835958.823300,0.428628,0.007320,4570.417741
citizens_18plus_pooled,pooled,turnout_census_convention,4 Other foreign-born,23476,80571328.148100,0.535803,0.003578,19425.449926
citizens_18plus_pooled,pooled,turnout_census_convention,5 Indian 2nd gen,833,2941429.343600,0.569720,0.018913,685.296490
citizens_18plus_pooled,pooled,turnout_census_convention,6 US-born NH white,290492,748832416.300700,0.646703,0.001018,220347.326489
citizens_18plus_pooled,pooled,turnout_census_convention,7 All US-born,378284,1043551083.869900,0.606819,0.000918,283036.885200
citizens_18plus_pooled,pooled,turnout_census_convention,8 Indian 2nd gen (self-ID),960,3535773.250400,0.479910,0.017430,821.585693
citizens_18plus_pooled,pooled,turnout_census_convention,9 US-born Asian (any),8238,24105690.326600,0.453858,0.006379,6091.781110
citizens_18plus_pooled,pooled,turnout_reported_only,1 India-born,1497,5381348.179600,0.756798,0.011784,1325.407934
citizens_18plus_pooled,pooled,turnout_reported_only,2 China-born,1150,4157418.143200,0.506509,0.015830,997.482672
citizens_18plus_pooled,pooled,turnout_reported_only,3 Mexico-born,4368,15662316.962700,0.515480,0.008105,3801.884095
citizens_18plus_pooled,pooled,turnout_reported_only,4 Other foreign-born,19574,67089301.975600,0.643476,0.003762,16212.053334
citizens_18plus_pooled,pooled,turnout_reported_only,5 Indian 2nd gen,661,2312408.791600,0.724695,0.019220,540.064290
citizens_18plus_pooled,pooled,turnout_reported_only,6 US-born NH white,251220,644655464.843300,0.751211,0.000991,190185.404174
citizens_18plus_pooled,pooled,turnout_reported_only,7 All US-born,322177,880464100.240300,0.719219,0.000917,240271.645468
