arm,year,measure,group,n,wpop,rate,se,neff
naturalized_citizens_only,pooled,turnout_reported_only,5 Indian 2nd gen,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_reported_only,6 US-born NH white,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_reported_only,7 All US-born,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_reported_only,8 Indian 2nd gen (self-ID),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_reported_only,9 US-born Asian (any),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,vote_item_nonresponse,1 India-born,1748,6255852.762000,0.139790,0.008813,1548.310790
naturalized_citizens_only,pooled,vote_item_nonresponse,2 China-born,1364,4953061.568200,0.160637,0.010647,1189.534962
naturalized_citizens_only,pooled,vote_item_nonresponse,3 Mexico-born,5242,18835958.823300,0.168488,0.005537,4570.417741
naturalized_citizens_only,pooled,vote_item_nonresponse,4 Other foreign-born,23476,80571328.148100,0.167330,0.002678,19425.449926
naturalized_citizens_only,pooled,vote_item_nonresponse,5 Indian 2nd gen,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,vote_item_nonresponse,6 US-born NH white,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,vote_item_nonresponse,7 All US-born,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,vote_item_nonresponse,8 Indian 2nd gen (self-ID),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,vote_item_nonresponse,9 US-born Asian (any),0,0.000000,,,0.000000
