group,lowed,sex,measure,period,rate_pct,se_pct,years
mex_fb_minus_oth_nb,some_college_plus,women,moved_any,2024,0.22881318031191,0.44637090068915997,1
mex_fb_minus_oth_nb,some_college_plus,women,moved_interstate,2006_2010,-1.153718345696002,0.09477982822173994,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_interstate,2019_2024,-1.372607727366034,0.07829338684908924,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_interstate,2024,-0.9128327273549799,0.18670137285412,1
mex_fb_minus_oth_nb,some_college_plus,women,moved_within_state,2006_2010,2.7136033527580623,0.256109007404442,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_within_state,2019_2024,-1.129068692505156,0.1920754144050615,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_within_state,2024,-0.50255789175709,0.39296913746289,1
mex_nb,all,all,long_distance,2006_2010,2.285127375687358,0.03917844156707503,5
mex_nb,all,all,long_distance,2019_2024,2.0097235774620597,0.030407598410872656,5
mex_nb,all,all,long_distance,2024,1.84816207040358,0.06176936535215,1
mex_nb,all,all,moved_abroad,2006_2010,0.337567216261612,0.013681895975380257,5
mex_nb,all,all,moved_abroad,2019_2024,0.301028325583184,0.010797394033114503,5
mex_nb,all,all,moved_abroad,2024,0.27707991574666,0.02209690568325,1
mex_nb,all,all,moved_any,2006_2010,19.60276950405876,0.11353756195299292,5
mex_nb,all,all,moved_any,2019_2024,13.293941232933149,0.07406318765017202,5
mex_nb,all,all,moved_any,2024,12.75502225552688,0.17358361805759,1
mex_nb,all,all,moved_interstate,2006_2010,1.9475601594257403,0.03787317841816328,5
mex_nb,all,all,moved_interstate,2019_2024,1.7086952518788678,0.028599434673671896,5
mex_nb,all,all,moved_interstate,2024,1.5710821546569098,0.05760481803514,1
mex_nb,all,all,moved_within_state,2006_2010,17.314790900619464,0.11054694822495911,5
mex_nb,all,all,moved_within_state,2019_2024,11.277496442085688,0.07036190385608215,5
mex_nb,all,all,moved_within_state,2024,10.90268230635885,0.1544474229953,1
mex_nb,hs_or_less,all,long_distance,2006_2010,2.1094799306441905,0.0487969313188125,5
mex_nb,hs_or_less,all,long_distance,2019_2024,1.6710680637695616,0.03817720915635173,5
