year,origin,natl_stock
2023,hong kong,242372
2023,taiwan,392012
2023,japan,337877
2023,korea,1017250
2023,other eastern asia,26756
2023,afghanistan,218612
2023,bangladesh,333026
2023,india,2910042
2023,iran,419885
2023,pakistan,428795
2023,other south central asia,32162
2023,cambodia,151167
2023,indonesia,91521
2023,laos,161116
2023,philippines,2051900
2023,thailand,252628
2023,vietnam,1365841
2023,other south eastern asia,784
2023,armenia,104153
2023,iraq,215693
2023,israel,133393
2023,lebanon,146143
2023,syria,110697
2023,turkey,156956
2023,other western asia,23109
2023,ethiopia,278182
2023,other eastern africa,84149
2023,egypt,225665
2023,other northern africa,28832
2023,south africa,133359
2023,other southern africa,6093
2023,ghana,241477
2023,nigeria,476008
2023,other western africa,92979
2023,"africa, n.e.c.",90696
2023,australia,97250
2023,other australian and new zealand subregion,33684
2023,"oceania, n.e.c.",69397
2023,barbados,52052
2023,cuba,1450808
2023,dominican republic,1265231
2023,haiti,777845
2023,jamaica,817294
2023,trinidad and tobago,237946
2023,other caribbean,56136
2023,costa rica,104798
2023,el salvador,1494869
2023,guatemala,1250053
2023,honduras,934617
2023,mexico,10918205
2023,nicaragua,377152
2023,panama,103174
2023,other central america,7720
2023,argentina,216190
2023,bolivia,90820
2023,brazil,707052
2023,chile,137644
2023,colombia,1049821
2023,ecuador,539546
2023,guyana,278215
2023,peru,529682
2023,venezuela,769664
2023,other south america,41057
2023,canada,828396
2023,other northern america,7473
