group,sex,age_band,by,region,n_records,share_of_group,share_se,rate,se,white_rate,white_se,ratio,ratio_se,ratio_age_standardised,ratio_age_standardised_se,white_age_cells_missing
usb_mexican_ancestry,men,25_49,residence_region,west_north_central,1359,0.0246078,0.000776678,0.0794587,0.00839967,0.0688827,0.0011191,1.15354,0.123147,1.2299,0.130999,0
usb_mexican_ancestry,men,25_49,residence_region,south_atlantic,3156,0.0447106,0.000973375,0.151298,0.00798316,0.107477,0.000982043,1.40772,0.0757919,1.47109,0.08014,0
usb_mexican_ancestry,men,25_49,residence_region,east_south_central,609,0.00893459,0.000411874,0.130394,0.0164094,0.0844127,0.00150612,1.54472,0.202365,1.63708,0.213898,0
usb_mexican_ancestry,men,25_49,residence_region,west_south_central_ex_texas,836,0.0118497,0.000513872,0.0674162,0.010472,0.0917946,0.00185871,0.734424,0.114249,0.786189,0.12343,0
usb_mexican_ancestry,men,25_49,residence_region,mountain,7933,0.127852,0.0015393,0.071039,0.00326287,0.0909455,0.0013188,0.781116,0.0372038,0.809936,0.0384652,0
usb_mexican_ancestry,men,25_49,residence_region,pacific_ex_california,2122,0.0310932,0.000803579,0.102582,0.00779846,0.106783,0.00182073,0.960655,0.0749275,0.969492,0.075876,0
usb_mexican_ancestry,men,25_49,residence_region,california,25850,0.371844,0.00252278,0.0405971,0.00155836,0.0743492,0.00137737,0.546033,0.0230884,0.552398,0.0237121,0
usb_mexican_ancestry,men,25_49,residence_region,texas,17607,0.283193,0.00231627,0.0652631,0.00233347,0.10672,0.00157682,0.611538,0.0231644,0.628472,0.0236342,0
usb_mexican_ancestry,women,18_49,birth_region,all,97045,1,0,0.0114577,0.000463208,0.0128538,0.000115058,0.891388,0.0364583,1.00689,0.0414011,0
usb_mexican_ancestry,women,18_49,birth_region,new_england,411,0.00515234,0.000276576,0.000307309,0.000353718,0.0112249,0.00052836,0.0273774,0.0316858,0.0270346,0.0313841,0
usb_mexican_ancestry,women,18_49,birth_region,middle_atlantic,1610,0.0174521,0.000578022,0.0112644,0.00289866,0.0105549,0.000363068,1.06722,0.277837,1.48137,0.381242,0
