group,sex,age_band,universe,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se,share_in_group_quarters
mexico_born,women,18_24,all,now_active_duty,5905,260834,0.00292906,0.00103986,0.700195,0.247838,0.415358
mexico_born,women,18_24,all,reserve_guard_only,5905,260834,0.00234121,0.00105471,0.762153,0.339887,0
mexico_born,women,18_24,household,ever_active_duty,5549,254828,0.00283066,0.00081645,0.526786,0.149834,0
mexico_born,women,18_24,household,now_active_duty,5549,254828,0.00175281,0.00079519,0.677045,0.306949,0
mexico_born,women,18_24,household,reserve_guard_only,5549,254828,0.00239638,0.00108023,0.766383,0.340469,0
mexico_born,women,18_49,all,ever_active_duty,65041,2823780,0.0038609,0.000313441,0.300371,0.024305,0.0386767
mexico_born,women,18_49,all,now_active_duty,65041,2823780,0.000661643,0.000155294,0.258013,0.0607183,0.210526
mexico_born,women,18_49,all,reserve_guard_only,65041,2823780,0.00107161,0.000166946,0.319465,0.050006,0.0118969
mexico_born,women,18_49,household,ever_active_duty,64214,2809779,0.00373007,0.000301922,0.2936,0.0235044,0
mexico_born,women,18_49,household,now_active_duty,64214,2809779,0.000524952,0.000130595,0.244353,0.0610749,0
mexico_born,women,18_49,household,reserve_guard_only,64214,2809779,0.00106414,0.000167316,0.316254,0.0497342,0
mexico_born,women,25_49,all,ever_active_duty,59136,2562946,0.00383751,0.000326415,0.264595,0.0225237,0.00772724
mexico_born,women,25_49,all,now_active_duty,59136,2562946,0.000430884,0.00011748,0.202449,0.0558455,0.0688198
mexico_born,women,25_49,all,reserve_guard_only,59136,2562946,0.000942405,0.000157105,0.274713,0.0466432,0.0149048
mexico_born,women,25_49,household,ever_active_duty,58665,2554950,0.00381977,0.000330591,0.264513,0.0228305,0
mexico_born,women,25_49,household,now_active_duty,58665,2554950,0.000402487,0.000111556,0.196912,0.0549559,0
mexico_born,women,25_49,household,reserve_guard_only,58665,2554950,0.000931264,0.00015712,0.272205,0.0466446,0
mexico_born,women,25_34,all,ever_active_duty,16329,718114,0.00382948,0.000603589,0.33041,0.0523073,0.0276364
mexico_born,women,25_34,all,now_active_duty,16329,718114,0.00115116,0.000389659,0.359891,0.122172,0.0919355
mexico_born,women,25_34,all,reserve_guard_only,16329,718114,0.00137583,0.000343619,0.369704,0.0943537,0.0175439
mexico_born,women,25_34,household,ever_active_duty,16099,714430,0.00374284,0.000594743,0.32835,0.0522806,0
mexico_born,women,25_34,household,now_active_duty,16099,714430,0.00105072,0.000368934,0.350328,0.122566,0
mexico_born,women,25_34,household,reserve_guard_only,16099,714430,0.00135866,0.000338671,0.366879,0.0932287,0
mexico_born,women,18_plus_born_1956_on,all,ever_active_duty,111006,4537216,0.00356445,0.000226889,0.238468,0.0150712,0.0281339
mexico_born,women,18_plus_born_1956_on,all,now_active_duty,111006,4537216,0.00041178,9.67537e-05,0.257844,0.0605829,0.210526
mexico_born,women,18_plus_born_1956_on,all,reserve_guard_only,111006,4537216,0.00100201,0.000126853,0.308325,0.038903,0.00791847
mexico_born,women,18_plus_born_1956_on,household,ever_active_duty,109876,4519024,0.00347811,0.000221244,0.233356,0.014636,0
mexico_born,women,18_plus_born_1956_on,household,now_active_duty,109876,4519024,0.000326398,8.12582e-05,0.244743,0.0610125,0
mexico_born,women,18_plus_born_1956_on,household,reserve_guard_only,109876,4519024,0.000998077,0.000127321,0.306308,0.0387408,0
mexico_born_naturalized,men,18_24,all,ever_active_duty,1156,46645,0.0276341,0.0057987,0.77607,0.161151,0.282907
mexico_born_naturalized,men,18_24,all,now_active_duty,1156,46645,0.0202807,0.00524094,0.847645,0.21663,0.3358
mexico_born_naturalized,men,18_24,all,reserve_guard_only,1156,46645,0.0142351,0.00468454,1.40408,0.463643,0.122992
mexico_born_naturalized,men,18_24,household,ever_active_duty,1050,44777,0.020643,0.00606283,0.802753,0.2352,0
mexico_born_naturalized,men,18_24,household,now_active_duty,1050,44777,0.0140325,0.00529041,1.06291,0.399197,0
mexico_born_naturalized,men,18_24,household,reserve_guard_only,1050,44777,0.0130052,0.00461597,1.30042,0.460728,0
mexico_born_naturalized,men,18_49,all,ever_active_duty,16331,704874,0.0369073,0.00173366,0.525994,0.0249672,0.0212185
mexico_born_naturalized,men,18_49,all,now_active_duty,16331,704874,0.00688114,0.000666792,0.442866,0.0431919,0.0828122
