cbsa,d_native_birth_rate,d_fb_share,d_log_rent,d_log_income,d_ba,d_black,d_hisp,d_own,d_age,d_w2034,fb_share_2010,pop,name,native_women_15_50,bartik_raw,bartik,k,zori_growth
37900,-18.828926725199942,1.8463265076927815,0.3120781031463027,0.295399893900802,7.024040999230465,-0.777522057653254,1.6749621952925287,1.1880447333165876,1.6000000000000014,-2.0959992879402805,2.813483597034158,361989.0,"Peoria, IL Metro Area",75256.0,0.0,0.0,"('peoria', 'il')",0.33895094172658413
37980,2.0907415004104095,2.504766541241395,0.43226330126288826,0.4022986116789884,9.160530573873032,-0.9616257884177557,3.0149746200280383,-1.4492258020437419,0.5,-2.402593744542763,9.53639154628758,6246160.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1259680.0,-5219512.711315045,-87.40731090275305,"('philadelphia', 'pa')",0.34449211262088586
38060,-6.891497088096827,-0.21243803803213623,0.6897438874282376,0.5311593138713686,8.296248642558208,0.7268706085122236,1.7012398594452307,2.6231604109838145,2.3000000000000043,-0.5149314391833215,14.427672027038293,5070110.0,"Phoenix-Mesa-Chandler, AZ Metro Area",996834.0,-9563902.688261678,-227.10565075339764,"('phoenix', 'az')",0.6067202910814061
38300,11.784963155988592,1.1998971999759438,0.46465397949849496,0.4402836791169271,9.696658256053151,-0.2880424586164487,1.138722429146687,0.8866857599285822,0.10000000000000142,-2.132070788944027,3.1167710145345766,2422725.0,"Pittsburgh, PA Metro Area",491114.0,0.0,0.0,"('pittsburgh', 'pa')",0.3090000771162667
38340,-12.672185191561546,1.5899972901122954,0.3861007409263735,0.5617536104320475,9.100455411878812,-0.7938703709680257,2.4046331281492317,2.629817057755247,4.5,-0.2890702681919848,4.97925944000488,126818.0,"Pittsfield, MA Metro Area",22685.0,0.0,0.0,"('pittsfield', 'ma')",
38860,-4.4715909001720675,0.40599212726343126,0.621621521009696,0.48828803751701777,14.269827208497077,0.5745313162735197,1.0072150476286494,1.2521849085675427,2.200000000000003,-0.5585706619175284,4.542721429697275,566329.0,"Portland-South Portland, ME Metro Area",116506.0,0.0,0.0,"('portland', 'me')",0.5157783955507397
38900,-6.165708203375814,-0.17448964606234618,0.655539928630259,0.5813245763388615,10.869966584221231,0.188073734428428,3.185980427242516,0.2874703360751738,1.5999999999999943,-3.5601050037698343,12.496371774014376,2509925.0,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",533922.0,-6462543.271244569,-289.4761411104239,"('portland', 'or')",0.38421651104877425
38940,-6.938000254412877,4.61403637751992,0.6147092784762469,0.502168318153819,8.27176612087736,2.3804577824855304,5.214568421918399,2.9936346610424494,2.5,-2.4865371032234407,12.407723686253476,536901.0,"Port St. Lucie, FL Metro Area",77782.0,0.0,0.0,"('port st. lucie', 'fl')",0.6436478337709368
39300,-1.3019067674101237,2.42665792735432,0.4703044263603511,0.4728156917143398,7.884915610165173,0.1384904152439299,5.094098476448178,1.8867664217168425,0.8000000000000043,-0.7354856279456143,12.091554282303193,1677803.0,"Providence-Warwick, RI-MA Metro Area",325090.0,0.0,0.0,"('providence', 'ri')",0.5477519946195131
39340,-8.533556631855419,1.110013169779024,0.6690190259481215,0.6203497074768762,10.164370119448812,0.1570286236434023,3.740522192622448,-1.6867953898296264,1.3000000000000007,-1.497760218212953,6.984168915221617,733218.0,"Provo-Orem-Lehi, UT Metro Area",183548.0,0.0,0.0,"('provo', 'ut')",0.47995224719981233
39380,-0.8055037148672142,-0.2785704960325668,0.5958880623098395,0.5307326134083308,4.65379467432215,0.5759364378060332,0.9744912457429677,3.762846533890041,1.8999999999999986,-2.7725409469580384,4.102158932009004,169422.0,"Pueblo, CO Metro Area",36312.0,0.0,0.0,"('pueblo', 'co')",0.5413172696739613
39540,23.12730500738879,-1.3957751744347107,0.36718970600478684,0.3645771502062143,3.450900985874526,-1.5377237412048927,3.9035534320128438,3.289204586204619,1.0,0.7160855037147513,5.464682113446882,196613.0,"Racine-Mount Pleasant, WI Metro Area",40270.0,0.0,0.0,"('racine', 'wi')",
39580,-10.219400479428707,2.533565480524098,0.6344669069907418,0.5076671139504096,11.698972673490907,-1.4343042224450606,2.210942356804976,-1.8533958487221156,1.8000000000000043,-0.019188495320733523,11.867940982038624,1509231.0,"Raleigh-Cary, NC Metro Area",313983.0,0.0,0.0,"('raleigh', 'nc')",0.41936774730250626
39660,-13.115782398154913,0.997596771890966,0.4202403936903192,0.49421219540587735,6.536554712018347,0.08606889221082703,1.7798939231051834,4.937451028320979,1.8999999999999986,-4.834070148999615,1.0236431602025204,156686.0,"Rapid City, SD Metro Area",31964.0,0.0,0.0,"('rapid city', 'sd')",
39740,11.388695399329116,3.3757546384326416,0.440102411698863,0.37984952483994583,4.155856806259177,-0.48505398492063145,8.899378484656342,0.8116548470234903,-0.6000000000000014,0.5457587555582606,7.100400631297803,432821.0,"Reading, PA Metro Area",84839.0,0.0,0.0,"('reading', 'pa')",0.4906809912227873
39820,-1.7117168759702182,0.9565507258464141,0.42301269295226973,0.6159291773720899,3.503885089524694,0.34973587559242536,3.7333317064776814,2.2135722126252517,-1.6999999999999957,-6.537309784450663,4.348218465686358,180366.0,"Redding, CA Metro Area",36858.0,0.0,0.0,"('redding', 'ca')",0.4770332479548478
39900,-1.1136981896456675,-0.6052197025094213,0.615154679817155,0.5020374410812991,7.616211921405888,-0.37320988218924134,3.507794428732687,6.386340992979157,2.0,-3.9175535162055013,13.980133568453832,564527.0,"Reno, NV Metro Area",106142.0,0.0,0.0,"('reno', 'nv')",0.5612256659146319
40060,4.486097336093749,2.5017609397201817,0.5014797613477526,0.42153650372063467,10.263670289731582,-2.423621949512164,3.469895221421435,-1.2263704193159697,0.29999999999999716,-1.6433952180916833,7.236166641692771,1350123.0,"Richmond, VA Metro Area",285879.0,0.0,0.0,"('richmond', 'va')",0.4337948848598718
40140,-4.758982335532593,0.35583122274495693,0.5400781666034282,0.49497268225983326,5.690991360571601,-0.37513990901124483,6.360040597005579,0.5040765150436073,2.6999999999999993,-1.7553693503709695,21.964692883957763,4688053.0,"Riverside-San Bernardino-Ontario, CA Metro Area",890458.0,-10203614.131269757,-240.32406186740923,"('riverside', 'ca')",0.5702262523180124
40220,27.43047596978866,1.0878693594909947,0.4343985309631675,0.36338720787619927,3.20728584340079,-0.4992610596936622,2.1993902059990735,-2.741911672350355,0.6999999999999957,-2.9452963714458207,5.4653229435435575,313786.0,"Roanoke, VA Metro Area",62062.0,0.0,0.0,"('roanoke', 'va')",0.46284196686284657
40380,2.3906294385789266,-0.7817009285214631,0.4371571154734397,0.3782446239538473,5.547441314196234,-0.4041200707267034,2.545477073900762,-1.1374323916690656,1.7999999999999972,-1.8424323110793779,7.329353356505081,1052087.0,"Rochester, NY Metro Area",219618.0,0.0,0.0,"('rochester', 'ny')",0.40940122194298384
40420,42.31612694991977,-0.07555781231568304,0.36057471056231805,0.38732860201534614,3.1905809034732293,-0.606933072888344,5.324311774650742,-3.2168862972355043,0.5999999999999943,1.4499055164236907,8.458373772857279,334124.0,"Rockford, IL Metro Area",67905.0,0.0,0.0,"('rockford', 'il')",0.4484429752759791
40900,0.4795513117148005,2.7834940388036706,0.5827991233910801,0.5242889043443508,8.691558993921547,-0.3943174309749322,2.7663807124916175,2.5445005034211405,1.7999999999999972,-3.4837304837632317,17.01413531712674,2420608.0,"Sacramento-Roseville-Folsom, CA Metro Area",450107.0,-6304225.689432386,-292.6221697654876,"('sacramento', 'ca')",0.5206841675239814
40980,-11.132182107656512,-0.5966483886812202,0.29022984453057976,0.34582657536690853,4.474095868653372,-0.2303971556124189,1.563334531040164,2.860644159864023,1.2999999999999972,-1.8906343223830504,2.7257129422593054,187782.0,"Saginaw, MI Metro Area",40298.0,0.0,0.0,"('saginaw', 'mi')",
