domain,race_code,race_label,measure,measure_label,estimate,se,n_obs,weighted_n,cv,ci95_lo,ci95_hi
75+,1,Non-Hispanic white,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,14129.07878162539,644.6385659826623,2610,18042907.767068967,0.04562495375289456,12865.587192299372,15392.57037095141
75+,1,Non-Hispanic white,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.04109503809060656,0.005304316610551146,2610,18042907.767068967,0.12907438116631406,0.03069857753392631,0.051491498647286804
75+,1,Non-Hispanic white,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.4371797232033821,0.011598182669116717,2610,18042907.767068967,0.026529553072892818,0.4144472851719133,0.4599121612348509
75+,2,Non-Hispanic black,PAMTTOT,"Total payments, all sources",15512.465400922443,2242.731082005096,269,1842757.9608741,0.14457605699940726,11116.712480192455,19908.21832165243
75+,2,Non-Hispanic black,PAMTCARE,Medicare payments,6396.892200338659,1557.4634498310743,269,1842757.9608741,0.24347189245249753,3344.263838669753,9449.520562007565
75+,2,Non-Hispanic black,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3379.627948882255,502.9062182214004,269,1842757.9608741,0.1488052015866796,2393.9317611683105,4365.3241365962
75+,2,Non-Hispanic black,PAMTCAID,Medicaid payments,2244.3505416613407,943.2399347895903,269,1842757.9608741,0.4202729998190807,395.60026947374377,4093.100813848938
75+,2,Non-Hispanic black,PAMTOOP,Out-of-pocket payments,1746.3257207015213,224.06138764669745,269,1842757.9608741,0.12830446519260402,1307.1654009139943,2185.4860404890483
75+,2,Non-Hispanic black,PAMTALPR,All private insurance payments,846.4727321299956,524.3968205689828,269,1842757.9608741,0.6195082259170156,-181.34503618521057,1874.2905004452018
75+,2,Non-Hispanic black,PAMTOTH,Other payments (includes VA),442.4316372509382,96.27585426868205,269,1842757.9608741,0.21760617045131506,253.73096288432137,631.132311617555
75+,2,Non-Hispanic black,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,12020.870690882264,2017.8443765351446,269,1842757.9608741,0.16786174882204363,8065.895712873381,15975.845668891146
75+,2,Non-Hispanic black,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.18810094133245833,0.0334936497171715,269,1842757.9608741,0.17806210580293308,0.12245338788680218,0.25374849477811445
75+,2,Non-Hispanic black,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.6474066862932996,0.03534982659954238,269,1842757.9608741,0.0546021957263623,0.5781210261581965,0.7166923464284026
75+,3,Hispanic,PAMTTOT,"Total payments, all sources",19278.892476758214,2070.060449928144,366,1643243.59568928,0.10737444863203205,15221.573994899052,23336.210958617376
75+,3,Hispanic,PAMTCARE,Medicare payments,8395.399709653246,1239.1535263107012,366,1643243.59568928,0.14759911012764415,5966.658798084271,10824.140621222221
75+,3,Hispanic,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,5874.954604798969,1064.4931138426202,366,1643243.59568928,0.18119171728971095,3788.548101667433,7961.361107930505
75+,3,Hispanic,PAMTCAID,Medicaid payments,2958.2344034295293,754.3008571350947,366,1643243.59568928,0.2549834645491992,1479.8047234447438,4436.6640834143145
75+,3,Hispanic,PAMTOOP,Out-of-pocket payments,1245.1584705169573,199.72662798644325,366,1643243.59568928,0.16040257743540223,853.6942796635285,1636.6226613703861
