arm,outcome,regressor,window,unit,n,clusters,coef,se,coef10,se10,t,stars,mean_y0,mean_dx
R_share_2007_2022_unwtd,law_order,hisp,2007-2022,share_pp,3124,50,0.0248032,0.0465043,0.248032,0.465043,0.533352,,7.37464,2.44164
R_share_2007_2022_unwtd,welfare,hisp,2007-2022,share_pp,3124,50,-0.0199463,0.0111726,-0.199463,0.111726,-1.7853,*,2.23798,2.44164
R_share_2007_2022_unwtd,health_hosp,hisp,2007-2022,share_pp,3124,50,-0.202519,0.0640544,-2.02519,0.640544,-3.16168,***,8.69478,2.44164
R_share_2007_2022_unwtd,highways,hisp,2007-2022,share_pp,3124,50,0.0361535,0.027447,0.361535,0.27447,1.31721,,6.69773,2.44164
R_log_2007_2022,total_direct,hisp,2007-2022,dollars_pc,3124,50,-0.00224314,0.00184424,-0.0224314,0.0184424,-1.21629,,8.66585,3.23377
R_log_2007_2022,education,hisp,2007-2022,dollars_pc,3108,49,0.00652448,0.00375655,0.0652448,0.0375655,1.73683,*,7.85058,3.23873
R_log_2007_2022,police,hisp,2007-2022,dollars_pc,3114,50,-0.00873042,0.00314038,-0.0873042,0.0314038,-2.78005,***,5.70933,3.2338
R_log_2007_2022,corrections,hisp,2007-2022,dollars_pc,2326,46,0.0142095,0.0169668,0.142095,0.169668,0.83749,,4.53989,3.28803
R_log_2007_2022,judicial,hisp,2007-2022,dollars_pc,3000,50,-0.0176861,0.00891206,-0.176861,0.0891206,-1.98452,**,4.2791,3.23908
R_log_2007_2022,law_order,hisp,2007-2022,dollars_pc,3118,50,-0.00890722,0.00441353,-0.0890722,0.0441353,-2.01816,**,6.18881,3.23371
R_log_2007_2022,welfare,hisp,2007-2022,dollars_pc,2299,50,-0.00564862,0.00855883,-0.0564862,0.0855883,-0.659975,,4.32769,3.31325
R_log_2007_2022,health_hosp,hisp,2007-2022,dollars_pc,2955,50,-0.0449799,0.0197425,-0.449799,0.197425,-2.27832,**,5.36799,3.23966
R_log_2007_2022,highways,hisp,2007-2022,dollars_pc,3076,50,0.00184725,0.00549896,0.0184725,0.0549896,0.335926,,5.41958,3.236
R_log_2007_2022_unwtd,total_direct,hisp,2007-2022,dollars_pc,3124,50,0.00133488,0.00273491,0.0133488,0.0273491,0.488091,,8.49746,2.44164
R_log_2007_2022_unwtd,education,hisp,2007-2022,dollars_pc,3108,49,0.00387143,0.00174119,0.0387143,0.0174119,2.22344,**,7.78396,2.44515
R_log_2007_2022_unwtd,police,hisp,2007-2022,dollars_pc,3114,50,-0.0108346,0.00473176,-0.108346,0.0473176,-2.28976,**,5.28539,2.4333
R_log_2007_2022_unwtd,corrections,hisp,2007-2022,dollars_pc,2326,46,-0.00587465,0.00833317,-0.0587465,0.0833317,-0.704972,,4.08302,2.51384
