item,family,label,group,n,mean,se
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Hisp G2,658,0.3889414022348884,0.023484216247202525
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Hisp G3+,808,0.45278159814628643,0.022267106101964466
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Hisp all,2657,0.4005021439460019,0.012188163645567135
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,NHWhite all,14534,0.44988322861024355,0.005600457952045114
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,NHWhite G3+,12827,0.4424159726727749,0.005954091991969273
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,White G3+ liberal,3414,0.6246905513142084,0.01070613439562571
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,White G3+ moderate,4354,0.42090272783722554,0.009557816823601337
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,White G3+ conservative,4782,0.34962807170560883,0.008600842628508487
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,White G3+ no BA,8386,0.3894124955274018,0.007348927724111907
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,White G3+ BA+,4430,0.5645552848255642,0.009700614915314163
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,White G3+ no HS,982,0.3298728518635003,0.01960472966577298
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G1,583,2.268111225665542,0.031171517527529075
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G2,429,2.2990943394343986,0.03662792846485836
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G3+,485,2.3477480215792426,0.03887312989407359
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G1,1148,2.282305501615676,0.02302766896296088
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G2,658,2.3254330350164865,0.028633060325691267
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G3+,808,2.350790909153319,0.029534949811584617
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp all,2657,2.305813728307469,0.01521636134681509
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite all,14534,2.3801193892251407,0.007103029215846451
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite G3+,12827,2.372962957581123,0.007465953904916695
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ liberal,3414,2.59466825804891,0.012014343975968173
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ moderate,4354,2.360764140464427,0.011210790654123197
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ conservative,4782,2.2497539514227123,0.011728616239982686
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no BA,8386,2.3038049216106105,0.009254167114410584
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ BA+,4430,2.532219535554956,0.01122312881615344
consci_mean,A1 institutional confidence,"consci: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no HS,982,2.184355028242366,0.026865323099339113
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Mex G1,617,0.4050424504325208,0.025844690229376764
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Mex G2,444,0.3103355363202458,0.029053101720220586
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Mex G3+,490,0.2739048329058932,0.02416037080877175
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Hisp G1,1206,0.3932676465350942,0.017778991847673363
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Hisp G2,681,0.29347510315812236,0.022864869671442016
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Hisp G3+,824,0.263372884601962,0.019555443105310367
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,Hisp all,2758,0.33716866265842954,0.011953844914325659
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,NHWhite all,14974,0.2039822757868959,0.004114750051131495
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,NHWhite G3+,13184,0.20275434783120216,0.004360071862198102
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,White G3+ liberal,3462,0.23175153473803178,0.00956600874128648
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,White G3+ moderate,4508,0.21682922298489163,0.0077017003405299295
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,White G3+ conservative,4886,0.1695645663574685,0.006555618798176593
coneduc_great,A1 institutional confidence,coneduc: share 'a great deal' of confidence,White G3+ no BA,8726,0.2075086178404399,0.005410179026463987
