acs_year,state,geo,geoid,name,total,hisp,nhw,nhb,total_12,hisp_12,nhw_12,nhb_12,total_18,hisp_18,nhw_18,nhb_18,mexican,hisp_b03001,nho,nho_12,nho_18
2022,CA,place,08716,"Buck Meadows CDP, California",0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2022,CA,place,08744,"Bucks Lake CDP, California",19,0,19,0.0,19.0,0.0,19.0,0.0,19,0,19,0.0,0,0,0.0,0.0,0.0
2022,CA,place,08758,"Buellton city, California",5151,1169,3822,13.0,4336.0,889.8,3298.2,13.0,3954,809,2997,13.0,826,1169,147.0,135.0,135.0
2022,CA,place,08786,"Buena Park city, California",83542,33448,18558,1795.0,71249.4,27072.8,16527.6,1445.9,65118,23713,15383,1321.4,28230,33448,29741.0,26203.1,24700.6
2022,CA,place,08828,"Buena Vista CDP, California",713,70,582,9.0,649.8,63.2,534.0,9.0,525,44,463,9.0,70,70,52.0,43.6,9.0
2022,CA,place,08954,"Burbank city, California",106389,25757,58743,3109.0,93038.4,21708.0,53013.6,2666.9,86460,19850,49454,2504.2,15988,25757,18780.0,15649.9,14651.8
2022,CA,place,08968,"Burbank CDP, California",5234,1688,2345,70.0,4527.4,1470.8,2006.2,62.0,4139,1214,1924,50.0,1448,1688,1131.0,988.4,951.0
2022,CA,place,09066,"Burlingame city, California",30995,4223,16102,373.0,26308.4,3663.2,14091.8,354.0,23943,3285,12942,270.0,2438,4223,10297.0,8199.4,7446.0
2022,CA,place,09122,"Burney CDP, California",3186,159,2663,86.0,2503.4,124.0,2055.4,86.0,2261,124,1855,86.0,102,159,278.0,238.0,196.0
2022,CA,place,09150,"Burnt Ranch CDP, California",228,0,221,0.0,216.8,0.0,209.8,0.0,179,0,172,0.0,0,0,7.0,7.0,7.0
2022,CA,place,09310,"Butte Creek Canyon CDP, California",690,87,568,0.0,641.2,73.4,532.8,0.0,587,53,499,0.0,87,87,35.0,35.0,35.0
2022,CA,place,09318,"Butte Meadows CDP, California",0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2022,CA,place,09324,"Butte Valley CDP, California",811,12,642,0.0,714.2,12.0,636.2,0.0,698,12,632,0.0,0,12,157.0,66.0,54.0
2022,CA,place,09332,"Buttonwillow CDP, California",1148,974,163,9.0,901.4,751.4,139.0,9.0,755,607,137,9.0,956,974,2.0,2.0,2.0
