design,endpoint,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z+Z2 + baseline level,340,1.0302228036711512,0.30292464034404193,0.43649050859682903,1.6239550987454732,,1.8374973033953754,0.17524456206938033,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,level placebo: Z2 on 2000 level,340,3.652945354295764,0.4203520801919483,2.8290552771195454,4.476835431471983,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,level placebo: Z2_exmex on 2000 level,340,4.652021991004229,0.7936373640824183,3.0964927574026895,6.207551224605769,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,level placebo: Z on 2000 level,340,2.12917420623702,0.6316597995478277,0.8911209991232776,3.3672274133507623,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,level placebo: Z2 on 2000 level given lnpop0,340,2.249597344755781,0.402554283497841,1.4605909491000126,3.038603740411549,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,first stage on Z2,340,0.14962752342707752,0.06097171911352023,0.030122953964577884,0.2691320928895772,6.022351431746518,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,first stage on Z2_exmex,340,0.31668443483953646,0.08284147559478454,0.15431514267375876,0.4790537270053141,14.613619127026169,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,first stage on Z2_mex,340,0.00017112050013500663,0.1438744520188186,-0.2818228054567494,0.28216504645701945,1.4146099768450417e-06,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,first stage on Z,340,0.16312505672023936,0.0773061496343921,0.011605003436830852,0.31464511000364787,4.452595728370412,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,"first stage on Z+Z2, coefficient on Z",340,0.15000576209550115,0.11477890968389358,-0.07496090088493026,0.37497242507593254,3.0486037778915476,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,"first stage on Z+Z2, coefficient on Z2",340,0.02544480699289484,0.11629099052573526,-0.20248553443754627,0.25337514842333597,3.0486037778915476,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,OLS,340,0.565392278011827,0.2672682496133665,0.04154650876962873,1.0892380472540253,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,reduced form on Z2,340,0.015929272792286585,0.13711188037885885,-0.25281001275027676,0.2846685583348499,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,reduced form on Z2_exmex,340,0.12940890341584946,0.2026129262670747,-0.26771243206761697,0.5265302388993158,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,IV with Z2,340,0.10645950977094287,0.9246399755440357,-1.705834842295367,1.9187538618372528,,,,-2.170037719870798,4.090339075685909,bounded
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,IV with Z2 + baseline level,340,2.831042682067464,1.3765750264064622,0.13295563031079816,5.52912973382413,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_mexemp,none,IV with Z2_exmex,340,0.4086367663804453,0.652148025837213,-0.8695733642604921,1.6868468970213828,,,,-0.9156881449434395,2.08222640289092,bounded
