item,arm,label,group,total_bn,per_person,se_bn,common_age_gap_per_person_vs_white,source,external
E,stock,immigration enforcement,all_native,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized",False
E,stock_plus_flow,immigration enforcement,mexico_born,-5.260947111545586,-430.49185904014274,0.14044062081208947,-432.4535516944803,"params:enforcement,unauthorized,city_migrant",False
E,stock_plus_flow,immigration enforcement,mexican_second_gen,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized,city_migrant",False
E,stock_plus_flow,immigration enforcement,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized,city_migrant",False
E,stock_plus_flow,immigration enforcement,mexican_observed_total,-5.260947111545586,-128.64028884050285,0.14044062081208947,-147.8483933357056,"params:enforcement,unauthorized,city_migrant",False
E,stock_plus_flow,immigration enforcement,third_plus_nh_white,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized,city_migrant",False
E,stock_plus_flow,immigration enforcement,all_native,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized,city_migrant",False
E,stock_pew_secondary,immigration enforcement,mexico_born,-1.9065456714285716,-156.00848536131707,0.050895105391653934,-156.7193947393248,"params:enforcement,unauthorized (Pew, secondary)",False
E,stock_pew_secondary,immigration enforcement,mexican_second_gen,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized (Pew, secondary)",False
E,stock_pew_secondary,immigration enforcement,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized (Pew, secondary)",False
E,stock_pew_secondary,immigration enforcement,mexican_observed_total,-1.9065456714285716,-46.618713448371594,0.050895105391653934,-53.57965179373308,"params:enforcement,unauthorized (Pew, secondary)",False
E,stock_pew_secondary,immigration enforcement,third_plus_nh_white,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized (Pew, secondary)",False
E,stock_pew_secondary,immigration enforcement,all_native,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized (Pew, secondary)",False
C,wage25_capital75,"corporate income tax, federal and state",mexico_born,8.167829918309526,668.35575635045,0.5705401242629335,-2094.6086883745925,"params:omb,corporate",False
C,wage25_capital75,"corporate income tax, federal and state",mexican_second_gen,11.376453351418316,793.7124530225108,0.667443994024865,-1416.146471073871,"params:omb,corporate",False
C,wage25_capital75,"corporate income tax, federal and state",mexican_third_plus_selfid,15.005683372227615,1046.2335936298257,0.6705722251819038,-1377.4298776557248,"params:omb,corporate",False
C,wage25_capital75,"corporate income tax, federal and state",mexican_observed_total,34.54996664195546,844.8132235538018,1.1303563239234684,-1732.1310709232223,"params:omb,corporate",False
C,wage25_capital75,"corporate income tax, federal and state",third_plus_nh_white,465.84654678124593,2691.9160131911926,9.32849501114954,0.0,"params:omb,corporate",False
C,wage25_capital75,"corporate income tax, federal and state",all_native,612.5104076084186,2159.2191658360675,10.442267603263865,-360.3665046327822,"params:omb,corporate",False
C,per_capita,"corporate income tax, federal and state",mexico_born,24.978372383512784,2043.9258816301456,0.5074365836921874,1.3526038158867015e-12,"params:omb,corporate",False
C,per_capita,"corporate income tax, federal and state",mexican_second_gen,29.296034549507645,2043.9258816301485,0.5807836749770217,2.6527860025168418e-12,"params:omb,corporate",False
C,per_capita,"corporate income tax, federal and state",mexican_third_plus_selfid,29.315159446978026,2043.9258816301465,0.6297004953924962,1.8279564625593302e-12,"params:omb,corporate",False
C,per_capita,"corporate income tax, federal and state",mexican_observed_total,83.58956637999844,2043.925881630147,0.7732083731040943,1.8396327342937852e-12,"params:omb,corporate",False
C,per_capita,"corporate income tax, federal and state",third_plus_nh_white,353.7093316315846,2043.925881630145,0.7784706043438941,0.0,"params:omb,corporate",False
C,per_capita,"corporate income tax, federal and state",all_native,579.8049103523599,2043.925881630148,0.9847032365454236,1.815631454075819e-12,"params:omb,corporate",False
C,all_capital,"corporate income tax, federal and state",mexico_born,5.407393259907287,442.47522882524135,0.7306207369323823,-2459.329909510926,"params:omb,corporate",False
C,all_capital,"corporate income tax, federal and state",mexican_second_gen,8.530049927287443,595.1245650163662,0.8383532265367748,-1643.8371840681843,"params:omb,corporate",False
C,all_capital,"corporate income tax, federal and state",mexican_third_plus_selfid,11.8421038594195,825.660955895462,0.7790686311509705,-1671.389063008861,"params:omb,corporate",False
C,all_capital,"corporate income tax, federal and state",mexican_observed_total,25.779547046614226,630.3595736546972,1.3925586483223493,-2050.0129494009752,"params:omb,corporate",False
C,all_capital,"corporate income tax, federal and state",third_plus_nh_white,494.4292103171177,2857.082268481693,12.08655304075896,0.0,"params:omb,corporate",False
C,all_capital,"corporate income tax, federal and state",all_native,622.5201434851618,2194.5054455164586,13.436695943440217,-427.6049975183778,"params:omb,corporate",False
X,per_capita,excise and selective sales taxes,mexico_born,11.272104431459042,922.3717876471542,0.2289932296588151,1.8330892854028793e-14,"params:omb,corporate",False
X,per_capita,excise and selective sales taxes,mexican_second_gen,13.220555599037048,922.3717876471555,0.2620929072523856,8.787146969911013e-13,"params:omb,corporate",False
X,per_capita,excise and selective sales taxes,mexican_third_plus_selfid,13.229186179053118,922.3717876471545,0.2841678246934511,7.727998688736697e-13,"params:omb,corporate",False
X,per_capita,excise and selective sales taxes,mexican_observed_total,37.7218462095492,922.3717876471547,0.3489292815035837,4.5865841678403e-13,"params:omb,corporate",False
X,per_capita,excise and selective sales taxes,third_plus_nh_white,159.62002901215823,922.3717876471544,0.3513039926803715,0.0,"params:omb,corporate",False
X,per_capita,excise and selective sales taxes,all_native,261.65121566041074,922.3717876471558,0.4443715365402344,1.078395695307871e-12,"params:omb,corporate",False
X,consumption_proxy,excise and selective sales taxes,mexico_born,7.553091640726839,618.0530602144382,0.19493258086698678,-446.05822481525627,"params:omb,corporate",False
X,consumption_proxy,excise and selective sales taxes,mexican_second_gen,9.160463212798206,639.1072422009341,0.21904851204524367,-237.65853900387737,"params:omb,corporate",False
X,consumption_proxy,excise and selective sales taxes,mexican_third_plus_selfid,11.0858454141908,772.9327347783274,0.30566584918164474,-167.0349656818572,"params:omb,corporate",False
X,consumption_proxy,excise and selective sales taxes,mexican_observed_total,27.799400267715846,679.7488749095425,0.40316574744202627,-313.21839890413395,"params:omb,corporate",False
X,consumption_proxy,excise and selective sales taxes,third_plus_nh_white,177.1960854096133,1023.9358498731609,1.3890496822430676,0.0,"params:omb,corporate",False
X,consumption_proxy,excise and selective sales taxes,all_native,265.9690860346306,937.5931265040975,1.7070742511412407,-54.48153575527846,"params:omb,corporate",False
R,central,rest of the federal budget by function,mexico_born,-32.23047121082995,-2637.349354613401,0.9119786694052293,1308.1759501363504,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central,rest of the federal budget by function,mexican_second_gen,-39.52828444539228,-2757.809542374858,0.951217392216645,513.0294503569354,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central,rest of the federal budget by function,mexican_third_plus_selfid,-43.38049659921208,-3024.596196294555,1.5858755208991144,171.75817170155864,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central,rest of the federal budget by function,mexican_observed_total,-115.13925225543431,-2815.3764622558965,1.864341304365653,840.2450636307974,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central,rest of the federal budget by function,third_plus_nh_white,-682.2424747367795,-3942.3699828036597,10.329246819780517,0.0,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central,rest of the federal budget by function,all_native,-1040.8670435721504,-3669.2602144401862,11.744845237689566,25.180158944428165,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_per_capita,rest of the federal budget by function,mexico_born,-54.739177542553236,-4479.187835001673,1.1120284708641621,-3.974578427855624e-12,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_per_capita,rest of the federal budget by function,mexican_second_gen,-64.20117419487148,-4479.187835001676,1.2727659036490395,-5.070994228856471e-12,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_per_capita,rest of the federal budget by function,mexican_third_plus_selfid,-64.24308569903361,-4479.187835001672,1.3799653030505605,-3.500838760800449e-12,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_per_capita,rest of the federal budget by function,mexican_observed_total,-183.18343743645835,-4479.187835001674,1.6944574995875687,-4.134909841608818e-12,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_per_capita,rest of the federal budget by function,third_plus_nh_white,-775.1408941048161,-4479.18783500167,1.705989484365432,0.0,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_per_capita,rest of the federal budget by function,all_native,-1270.6209772407342,-4479.187835001676,2.1579406561960734,-4.434067434802823e-12,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central_housing_by_reported_subsidy,rest of the federal budget by function,mexico_born,-31.73227455474789,-2596.5830058748484,0.9412213746494147,1154.044061286212,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central_housing_by_reported_subsidy,rest of the federal budget by function,mexican_second_gen,-39.34402013391772,-2744.953788991336,1.0574618916454332,388.28237304299046,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central_housing_by_reported_subsidy,rest of the federal budget by function,mexican_third_plus_selfid,-44.48894285507195,-3101.879828159008,1.7538540650441528,-27.618560977773356,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central_housing_by_reported_subsidy,rest of the federal budget by function,mexican_observed_total,-115.56523754373757,-2825.7926229522996,2.0461530363664475,702.800290927113,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central_housing_by_reported_subsidy,rest of the federal budget by function,third_plus_nh_white,-661.4145081753156,-3822.014605917409,10.398612717081381,0.0,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,central_housing_by_reported_subsidy,rest of the federal budget by function,all_native,-1038.4917023034434,-3660.886671184294,12.19168397489299,-82.70164748353525,cache:omb_hist03z1_fy2027.xlsx + params:omb,False
R,all_zero,rest of the federal budget by function,mexico_born,0.0,0.0,0.0,0.0,convention,False
R,all_zero,rest of the federal budget by function,mexican_second_gen,0.0,0.0,0.0,0.0,convention,False
R,all_zero,rest of the federal budget by function,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,convention,False
R,all_zero,rest of the federal budget by function,mexican_observed_total,0.0,0.0,0.0,0.0,convention,False
R,all_zero,rest of the federal budget by function,third_plus_nh_white,0.0,0.0,0.0,0.0,convention,False
R,all_zero,rest of the federal budget by function,all_native,0.0,0.0,0.0,0.0,convention,False
F,zero,"federal defense, net interest, general government",mexico_born,0.0,0.0,0.0,0.0,convention,False
F,zero,"federal defense, net interest, general government",mexican_second_gen,0.0,0.0,0.0,0.0,convention,False
F,zero,"federal defense, net interest, general government",mexican_third_plus_selfid,0.0,0.0,0.0,0.0,convention,False
F,zero,"federal defense, net interest, general government",mexican_observed_total,0.0,0.0,0.0,0.0,convention,False
F,zero,"federal defense, net interest, general government",third_plus_nh_white,0.0,0.0,0.0,0.0,convention,False
F,zero,"federal defense, net interest, general government",all_native,0.0,0.0,0.0,0.0,convention,False
F,per_capita,"federal defense, net interest, general government",mexico_born,-64.27176215606897,-5259.218499579908,1.3056832893515335,-2.7223646891635652e-12,cache:omb_hist03z1_fy2027.xlsx,False
F,per_capita,"federal defense, net interest, general government",mexican_second_gen,-75.38152349449174,-5259.21849957991,1.494412432048179,-3.2423932783772716e-12,cache:omb_hist03z1_fy2027.xlsx,False
F,per_capita,"federal defense, net interest, general government",mexican_third_plus_selfid,-75.43073370092972,-5259.218499579909,1.6202801306677441,-2.467522747305181e-12,cache:omb_hist03z1_fy2027.xlsx,False
F,per_capita,"federal defense, net interest, general government",mexican_observed_total,-215.08401935149044,-5259.21849957991,1.9895397462338096,-3.0168081049268594e-12,cache:omb_hist03z1_fy2027.xlsx,False
F,per_capita,"federal defense, net interest, general government",third_plus_nh_white,-910.1282375793551,-5259.218499579905,2.0030799749348835,0.0,cache:omb_hist03z1_fy2027.xlsx,False
F,per_capita,"federal defense, net interest, general government",all_native,-1491.8939762338134,-5259.218499579913,2.5337364357388665,-5.519174342815685e-12,cache:omb_hist03z1_fy2027.xlsx,False
F,proportional_to_federal_tax,"federal defense, net interest, general government",mexico_born,-31.164072461548066,-2550.088264485929,1.2763397260431517,3844.965449106943,cache:omb_hist03z1_fy2027.xlsx,False
F,proportional_to_federal_tax,"federal defense, net interest, general government",mexican_second_gen,-37.41172839304117,-2610.1416493700667,1.2249108958102235,2770.670909780749,cache:omb_hist03z1_fy2027.xlsx,False
F,proportional_to_federal_tax,"federal defense, net interest, general government",mexican_third_plus_selfid,-51.81130099032397,-3612.41286258702,2.2541396925056008,2163.7658062512137,cache:omb_hist03z1_fy2027.xlsx,False
F,proportional_to_federal_tax,"federal defense, net interest, general government",mexican_observed_total,-120.3871018449132,-2943.6964914575874,3.080993910572848,3106.2691273714518,cache:omb_hist03z1_fy2027.xlsx,False
F,proportional_to_federal_tax,"federal defense, net interest, general government",third_plus_nh_white,-1049.7741124156578,-6066.168705061325,14.743701251514242,0.0,cache:omb_hist03z1_fy2027.xlsx,False
F,proportional_to_federal_tax,"federal defense, net interest, general government",all_native,-1516.825745503077,-5347.107869908479,18.07723095128715,587.4238385653975,cache:omb_hist03z1_fy2027.xlsx,False
S,half_inside_meps,state-funded coverage for undocumented residents,mexico_born,-1.485180505004549,-121.5290903051395,0.13038703945419705,-115.71358388276441,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
