F_arm,E_arm,C_arm,R_arm,union_absolute_bn,union_per_person,se_bn
per_capita,zero,wage25_capital75,central_housing_by_reported_subsidy,-476.01736718942516,-11639.541381048677,9.8507060312849
per_capita,zero,wage25_capital75,all_per_capita,-543.6355670821459,-13292.936593098053,10.456171307262503
per_capita,zero,wage25_capital75,all_zero,-360.45212964568765,-8813.748758096379,9.486764982653776
per_capita,zero,per_capita,central,-426.551782163079,-10430.012562275931,9.113954170012047
per_capita,zero,per_capita,central_housing_by_reported_subsidy,-426.9777674513822,-10440.428722972332,9.129052990176834
per_capita,zero,per_capita,all_per_capita,-494.59596734410303,-12093.823935021708,9.701130158421153
per_capita,zero,per_capita,all_zero,-311.4125299076446,-7614.636100020034,8.756591354228794
per_capita,zero,all_capital,central,-484.36180149646316,-11843.578870251378,9.794829045929415
per_capita,zero,all_capital,central_housing_by_reported_subsidy,-484.78778678476635,-11853.99503094778,9.813522993351256
per_capita,zero,all_capital,all_per_capita,-552.4059866774871,-13507.390242997157,10.428703552504128
per_capita,zero,all_capital,all_zero,-369.2225492410288,-9028.202407995483,9.44714180736809
proportional_to_federal_tax,stock,wage25_capital75,central,-383.61124255469025,-9380.0336704396,7.092573935855742
proportional_to_federal_tax,stock,wage25_capital75,central_housing_by_reported_subsidy,-384.03722784299345,-9390.449831136002,7.121430577750092
proportional_to_federal_tax,stock,wage25_capital75,all_per_capita,-451.6554277357142,-11043.845043185376,7.660357655447042
proportional_to_federal_tax,stock,wage25_capital75,all_zero,-268.47199029925594,-6564.657208183703,6.635278492269526
proportional_to_federal_tax,stock,per_capita,central,-334.5716428166472,-8180.921012363254,6.450323860385937
proportional_to_federal_tax,stock,per_capita,central_housing_by_reported_subsidy,-334.9976281049505,-8191.337173059657,6.476792898749374
proportional_to_federal_tax,stock,per_capita,all_per_capita,-402.61582799767126,-9844.732385109031,6.956461812594622
proportional_to_federal_tax,stock,per_capita,all_zero,-219.4323905612129,-5365.544550107357,5.969671395959364
proportional_to_federal_tax,stock,all_capital,central,-392.3816621500315,-9594.487320338705,7.072610441591431
proportional_to_federal_tax,stock,all_capital,central_housing_by_reported_subsidy,-392.8076474383347,-9604.903481035108,7.103175094674833
proportional_to_federal_tax,stock,all_capital,all_per_capita,-460.42584733105554,-11258.298693084484,7.6536865309609246
proportional_to_federal_tax,stock,all_capital,all_zero,-277.2424098945972,-6779.110858082808,6.614242049399488
proportional_to_federal_tax,stock_plus_flow,wage25_capital75,central,-386.1554115060903,-9442.243501070456,7.102761167849342
proportional_to_federal_tax,stock_plus_flow,wage25_capital75,central_housing_by_reported_subsidy,-386.58139679439347,-9452.659661766857,7.130764167786744
proportional_to_federal_tax,stock_plus_flow,wage25_capital75,all_per_capita,-454.19959668711425,-11106.054873816232,7.673290102784173
proportional_to_federal_tax,stock_plus_flow,wage25_capital75,all_zero,-271.01615925065596,-6626.867038814558,6.644911619425465
proportional_to_federal_tax,stock_plus_flow,per_capita,central,-337.11581176804725,-8243.13084299411,6.4579787892192675
proportional_to_federal_tax,stock_plus_flow,per_capita,central_housing_by_reported_subsidy,-337.5417970563505,-8253.547003690512,6.483523067158858
