cut,group,n_group,outcome_id,outcome,variable,estimate,jrr_se,n_base,small_cell_flag,replicates_used
origin,Foreign born: Europe,30,proud_american,Completely or mostly agree: proud to be an American,qc17b,99.11,0.95,30,n<50,100
origin,Foreign born: Europe,30,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,68.89,17.42,29,n<50,100
origin,Foreign born: Europe,30,lot_in_common,A lot in common with most Americans,qc13,88.6,6.55,30,n<50,100
origin,Foreign born: Europe,30,employed_full_time,Employed full time,employ,89.93,5.35,30,n<50,100
origin,Foreign born: Europe,30,employed_part_time,Employed part time,employ,7.46,4.62,30,n<50,100
origin,Foreign born: Europe,30,not_employed,Not employed,employ,2.62,1.75,30,n<50,100
origin,Foreign born: Europe,30,looking_for_work_of_not_employed,Looking for work (base: not employed),employ1,33.9,35.93,3,n<50,100
origin,Foreign born: MENA (Middle East/North Africa),185,age_18_29,Aged 18-29,agerec,39.92,6.18,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,age_30_49,Aged 30-49,agerec,38.72,5.23,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,age_50_plus,Aged 50 or older,agerec,21.36,3.88,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,female,Female,sex,36.34,8.07,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,race_black,"Black, non-Hispanic",racethn,5.1,2.07,180,,100
origin,Foreign born: MENA (Middle East/North Africa),185,income_lt_30k,"Family income under $30,000",income,41.58,6.19,162,,100
origin,Foreign born: MENA (Middle East/North Africa),185,income_30_75k,"Family income $30,000-$75,000",income,35.6,5.3,162,,100
origin,Foreign born: MENA (Middle East/North Africa),185,income_75_100k,"Family income $75,000-$100,000",income,5.99,2.32,162,,100
origin,Foreign born: MENA (Middle East/North Africa),185,income_ge_100k,"Family income $100,000 or more",income,16.83,4.47,162,,100
origin,Foreign born: MENA (Middle East/North Africa),185,income_refused,Income not reported (of all respondents),income,13.12,3.67,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,edu_lt_hs,Did not finish high school,educrec,6.42,3.12,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,edu_hs,High school graduate,educrec,35.66,6.14,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,edu_some_college,Some college or associate degree,educrec,24.76,6.12,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,edu_ba_plus,Four-year college degree or more,educrec,33.16,7.31,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,edu_postgrad,Postgraduate or professional schooling,educrec,10.96,3.18,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,citizen_yes_of_foreign_born,U.S. citizen (item asked of the foreign born only),citizen,65.71,5.67,184,,100
origin,Foreign born: MENA (Middle East/North Africa),185,citizen_or_us_born,"U.S. citizen, counting the U.S. born as citizens",citizen+respondent_birthregion2,65.71,5.67,184,,100
origin,Foreign born: MENA (Middle East/North Africa),185,party_republican,Identifies as Republican,party,2.75,1.41,171,,100
origin,Foreign born: MENA (Middle East/North Africa),185,party_democrat,Identifies as Democrat,party,29.77,5.57,171,,100
origin,Foreign born: MENA (Middle East/North Africa),185,party_independent,Identifies as independent,party,48.43,5.1,171,,100
origin,Foreign born: MENA (Middle East/North Africa),185,party_rep_or_lean,Republican or leans Republican,party+partyln,3.94,1.67,171,,100
origin,Foreign born: MENA (Middle East/North Africa),185,party_dem_or_lean,Democrat or leans Democratic,party+partyln,63.24,8.62,171,,100
origin,Foreign born: MENA (Middle East/North Africa),185,fert_none,No children ever born,fertREC,40.5,6.57,179,,100
origin,Foreign born: MENA (Middle East/North Africa),185,fert_3plus,Three or more children ever born,fertREC,29.93,6.0,179,,100
origin,Foreign born: MENA (Middle East/North Africa),185,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.55,0.22,179,,100
origin,Foreign born: MENA (Middle East/North Africa),185,satisfied_country,Satisfied with the way things are going in the country,qa2,45.55,5.99,169,,100
origin,Foreign born: MENA (Middle East/North Africa),185,homeowner,Owns their home,qa6,29.13,4.24,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,9.46,3.93,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,civilians_rarely_never,Killing civilians rarely or never justified,qf3,86.48,5.84,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,4.06,2.64,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,45.73,6.29,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,59.67,4.87,180,,100
origin,Foreign born: MENA (Middle East/North Africa),185,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,36.08,6.12,178,,100
origin,Foreign born: MENA (Middle East/North Africa),185,exp_suspicion,Past year: people acted suspicious of them,qd1a,25.32,4.48,184,,100
origin,Foreign born: MENA (Middle East/North Africa),185,exp_offensive_names,Past year: called offensive names,qd1c,21.88,4.63,185,,100
origin,Foreign born: MENA (Middle East/North Africa),185,exp_threatened,Past year: physically threatened or attacked,qd1f,7.95,3.95,185,,100
