allocation,weighting,group,metric,source,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
equal_all_members,person,mexican_third_plus_selfid,after_uncompensated_care,cps_asec_2025,2477,5526182.2353818305,9093.671027323422,565.8867962363639,-6374.089429668455,551.2806374512852
equal_all_members,person,mexican_third_plus_selfid,after_other_public_transfers,cps_asec_2025,2477,5526182.2353818305,9021.334867674048,569.1152800573867,-6433.3168738974055,554.9272111861314
equal_all_members,person,mexican_third_plus_selfid,institutional_care_base,acs_pums_2023,2477,5526182.2353818305,1057.4274625542353,,-47.71267135292942,
equal_all_members,person,mexican_third_plus_selfid,institutional_care_generic_hispanic_adjusted,acs_pums_2023,2477,5526182.2353818305,1293.1314068801896,,187.99127297302493,
equal_all_members,person,mexican_third_plus_selfid,institutional_care_prison_45k,acs_pums_2023,2477,5526182.2353818305,848.0546571260546,,-145.35326158569103,
equal_all_members,person,mexican_third_plus_selfid,institutional_care_prison_70k,acs_pums_2023,2477,5526182.2353818305,1253.455386194042,,43.704559873209746,
equal_all_members,person,mexican_third_plus_selfid,institutional_care_nursing_medicaid_share_062,acs_pums_2023,2477,5526182.2353818305,1012.460791528838,,136.83711792752126,
equal_all_members,person,mexican_third_plus_selfid,institutional_care_nursing_062_and_hispanic_adj,acs_pums_2023,2477,5526182.2353818305,1238.4801451088529,,362.8564715075362,
equal_all_members,person,mexican_third_plus_selfid,full_residual_balance_cps_plus_acs,combined,2477,5526182.2353818305,7963.907405119813,,-6385.604202544475,
equal_all_members,person,mexico_born,edu_assistance_government,cps_asec_2025,4318,9446562.93512691,68.33062174639807,14.296642803373482,12.498217782058063,16.222445249583874
equal_all_members,person,mexico_born,higher_ed_subsidy_nces,cps_asec_2025,4318,9446562.93512691,274.73950415934445,18.24950445637081,136.31457551445112,19.076639261473957
equal_all_members,person,mexico_born,aptc_measured,cps_asec_2025,4318,9446562.93512691,194.53311871481196,22.167155068630947,-13.46784985323751,22.9214441648036
equal_all_members,person,mexico_born,uncompensated_care,cps_asec_2025,4318,9446562.93512691,497.06015533771694,13.988620695968699,382.6540923479675,14.24455211255737
equal_all_members,person,mexico_born,other_public_transfers,cps_asec_2025,4318,9446562.93512691,9.827788754135977,3.8466714176863603,-3.2809266662882184,4.615993993413611
equal_all_members,person,mexico_born,edu_assistance_government_proportional,cps_asec_2025,4318,9446562.93512691,67.11028790217085,14.230070622533665,18.23818693626699,15.459597580633119
equal_all_members,person,mexico_born,higher_ed_subsidy_brief074,cps_asec_2025,4318,9446562.93512691,263.13508506662384,17.478683752613005,130.55693440799223,18.27088212236821
equal_all_members,person,mexico_born,aptc_fallback_share,cps_asec_2025,4318,9446562.93512691,262.0683299286685,24.51708994043598,-41.62171235707376,25.094170456978212
equal_all_members,person,mexico_born,uncompensated_care_2024_prices,cps_asec_2025,4318,9446562.93512691,596.4721864052591,16.786344835162556,459.18491081755974,17.093462535068983
equal_all_members,person,mexico_born,uncompensated_care_ever_uninsured,cps_asec_2025,4318,9446562.93512691,468.4223872575357,14.494487778262105,380.34598237631275,14.754958354201705
equal_all_members,person,mexico_born,housing_subsidy_capped_resource,cps_asec_2025,4318,9446562.93512691,61.61975777417013,9.844636019733695,20.763187964385388,11.099673598628902
equal_all_members,person,mexico_born,college_fte_18_24,cps_asec_2025,4318,9446562.93512691,30.43635648315804,2.0217275450600445,15.10128303864851,2.113359688987719
equal_all_members,person,mexico_born,extended_balance,cps_asec_2025,4318,9446562.93512691,4461.9959967622835,290.22720958577867,-11522.428824396626,402.47692231340926
equal_all_members,person,mexico_born,residual_balance_cps_only,cps_asec_2025,4318,9446562.93512691,3417.5048080498764,290.5383714275344,-12037.146933521577,401.4752943977647
equal_all_members,person,mexico_born,after_edu_assistance_government,cps_asec_2025,4318,9446562.93512691,4393.665375015886,290.55032871146153,-11534.927042178684,401.4638226293224
equal_all_members,person,mexico_born,after_higher_ed_subsidy_nces,cps_asec_2025,4318,9446562.93512691,4118.925870856541,290.5119988499532,-11671.241617693135,400.9081185947237
equal_all_members,person,mexico_born,after_aptc_measured,cps_asec_2025,4318,9446562.93512691,3924.392752141729,291.2453569114796,-11657.773767839899,401.85526918671155
equal_all_members,person,mexico_born,after_uncompensated_care,cps_asec_2025,4318,9446562.93512691,3427.332596804012,290.6117248142973,-12040.427860187865,401.8061993494923
equal_all_members,person,mexico_born,after_other_public_transfers,cps_asec_2025,4318,9446562.93512691,3417.5048080498764,290.5383714275344,-12037.146933521577,401.4752943977647
equal_all_members,person,mexico_born,institutional_care_base,acs_pums_2023,4318,9446562.93512691,385.9948874917129,,-719.1452464154518,
equal_all_members,person,mexico_born,institutional_care_generic_hispanic_adjusted,acs_pums_2023,4318,9446562.93512691,385.9948874917129,,-719.1452464154518,
equal_all_members,person,mexico_born,institutional_care_prison_45k,acs_pums_2023,4318,9446562.93512691,319.50281782484893,,-673.9051008868967,
equal_all_members,person,mexico_born,institutional_care_prison_70k,acs_pums_2023,4318,9446562.93512691,448.248924393271,,-761.5019019275612,
equal_all_members,person,mexico_born,institutional_care_nursing_medicaid_share_062,acs_pums_2023,4318,9446562.93512691,352.64615361107104,,-522.9775199902456,
equal_all_members,person,mexico_born,institutional_care_nursing_062_and_hispanic_adj,acs_pums_2023,4318,9446562.93512691,352.64615361107104,,-522.9775199902456,
equal_all_members,person,mexico_born,full_residual_balance_cps_plus_acs,combined,4318,9446562.93512691,3031.5099205581637,,-11318.001687106123,
equal_adults_18plus,person,third_plus_nh_white,edu_assistance_government,cps_asec_2025,36287,87647853.34583464,66.27051131361515,7.901784367032936,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,higher_ed_subsidy_nces,cps_asec_2025,36287,87647853.34583464,157.4373580655826,5.690045916629455,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,aptc_measured,cps_asec_2025,36287,87647853.34583464,257.59029053564393,10.749415504825306,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,uncompensated_care,cps_asec_2025,36287,87647853.34583464,146.03654879598744,3.4592336786404188,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,other_public_transfers,cps_asec_2025,36287,87647853.34583464,15.102391824786917,3.142304374363112,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,edu_assistance_government_proportional,cps_asec_2025,36287,87647853.34583464,58.97234063539927,6.429592835372997,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,higher_ed_subsidy_brief074,cps_asec_2025,36287,87647853.34583464,150.7875350289066,5.449710338841207,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,aptc_fallback_share,cps_asec_2025,36287,87647853.34583464,373.6322557394182,12.33904075927429,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,uncompensated_care_2024_prices,cps_asec_2025,36287,87647853.34583464,175.24385855518491,4.151080414368486,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,uncompensated_care_ever_uninsured,cps_asec_2025,36287,87647853.34583464,112.00034699334783,3.3003450520619864,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,housing_subsidy_capped_resource,cps_asec_2025,36287,87647853.34583464,52.77510886183314,5.307976805039776,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,college_fte_18_24,cps_asec_2025,36287,87647853.34583464,17.44131980041532,0.6303580784786866,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,extended_balance,cps_asec_2025,36287,87647853.34583464,18099.259376653194,333.26352234335644,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,residual_balance_cps_only,cps_asec_2025,36287,87647853.34583464,17456.82227611758,334.02060886055875,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,after_edu_assistance_government,cps_asec_2025,36287,87647853.34583464,18032.98886533958,334.0462597550254,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,after_higher_ed_subsidy_nces,cps_asec_2025,36287,87647853.34583464,17875.551507273998,333.5641692338229,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,after_aptc_measured,cps_asec_2025,36287,87647853.34583464,17617.961216738353,333.87767935958584,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,after_uncompensated_care,cps_asec_2025,36287,87647853.34583464,17471.924667942367,334.3639956400718,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,after_other_public_transfers,cps_asec_2025,36287,87647853.34583464,17456.82227611758,334.02060886055875,0.0,0.0
equal_adults_18plus,person,third_plus_nh_white,institutional_care_base,acs_pums_2023,36287,87647853.34583464,1105.1401339071647,,0.0,
equal_adults_18plus,person,third_plus_nh_white,institutional_care_generic_hispanic_adjusted,acs_pums_2023,36287,87647853.34583464,1105.1401339071647,,0.0,
