group,stratum_kind,stratum,generation,n_wave1,n_wave3,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,BAplus_n,BAplus_pct,noHS_n,noHS_pct,flag_small_cell
Nicaraguan,"parental education (child report, V36/V41)",Some college+,both,235,166,155,6.5,152,2.0,163,26.4,163,1.8,
Nicaraguan,"parental education (child report, V36/V41)",ALL (no stratum),both,344,227,215,7.0,212,3.3,224,22.3,224,4.9,
Nicaraguan,wave-I family income (P56),<$15k,both,43,33,33,3.0,32,3.1,32,18.8,32,0.0,YES(<40)
Nicaraguan,wave-I family income (P56),$15-35k,both,106,80,73,8.2,71,2.8,78,25.6,78,6.4,
Nicaraguan,wave-I family income (P56),$35k+,both,54,35,33,3.0,33,0.0,35,25.7,35,2.9,YES(<40)
Nicaraguan,wave-I family income (P56),ALL (no stratum),both,344,227,215,7.0,212,3.3,224,22.3,224,4.9,
Haitian+West Indian,"parental education (child report, V36/V41)",<HS,both,66,31,30,0.0,30,0.0,31,25.8,31,6.5,YES(<40)
Haitian+West Indian,"parental education (child report, V36/V41)",HS grad,both,105,56,51,7.8,51,3.9,55,16.4,55,5.5,
Haitian+West Indian,"parental education (child report, V36/V41)",Some college+,both,223,139,132,12.1,131,6.1,138,39.1,138,2.9,
Haitian+West Indian,"parental education (child report, V36/V41)",ALL (no stratum),both,450,256,236,9.7,236,5.1,254,29.1,254,4.3,
Haitian+West Indian,wave-I family income (P56),<$15k,both,73,49,43,11.6,44,4.5,49,22.4,49,2.0,
Haitian+West Indian,wave-I family income (P56),$15-35k,both,61,37,36,11.1,36,5.6,35,34.3,35,2.9,YES(<40)
Haitian+West Indian,wave-I family income (P56),$35k+,both,64,49,46,13.0,46,10.9,49,38.8,49,2.0,
Haitian+West Indian,wave-I family income (P56),ALL (no stratum),both,450,256,236,9.7,236,5.1,254,29.1,254,4.3,
