cbsa,dX,Z,w,pop,counties_x,rent_2000,rent_2010,value_2000,value_2010,renters_2000,owners_2000,units_2000,dlog_rent,dlog_value,log_rent_2000,log_value_2000,pred_2000s_all,pred_2000s_mex,pred_1990s_all,ancestry_2010_all,counties_y,elasticity,WRLURI,Z2
25860,0.05146098362633289,0.8902450634313137,341851.0,341851.0,4,481.4582934123044,594.8549133749134,85886.45639701375,118369.57938878564,34443.0,99523.0,144874.0,0.21149792330006356,0.32078560912959553,6.17681960944364,11.360781428452105,3658.4072996800583,750.4401881254319,7253.667759625705,169032.48,4,2.4136906,-0.57666487,1.070175983010159
25940,2.423406085536146,1.2321837584072675,141615.0,141615.0,2,667.5389879868948,964.6784868834243,153549.5944797755,271831.8917847587,13735.0,38839.0,68437.0,0.36819707407226065,0.5711602244005114,6.503597797537798,11.941778884900163,4879.439046200044,535.5967614250262,3597.426593661114,101963.945,2,,,3.445566533347487
26140,0.1661336026816258,1.990064430907497,118085.0,118085.0,1,478.0,749.0,71100.0,141800.0,7587.0,45047.0,62204.0,0.4491282510257628,0.6903302772888313,6.169610732491456,11.171842615791332,1075.0075508219395,253.04138111916663,1339.08455913457,97008.52,1,,,0.9103675749010793
26380,1.3651044461090571,0.4120882758624992,194477.0,194477.0,2,434.1698481698482,643.5806924551708,71673.24121806788,116845.74303974143,15873.0,52181.0,74973.0,0.3936116026044809,0.48873715616072566,6.0734358127709855,11.179872752160552,1040.7212315323598,88.15317880121096,935.809246334096,97607.914,2,,,0.5351384644623065
26420,3.1527316422555245,4.879397383803038,4693161.0,4693161.0,9,590.8545287561054,832.5747259956293,86478.63220891949,138722.48973339496,646767.0,1001381.0,1788107.0,0.34295313591111043,0.47257810384098065,6.381569842870926,11.367652635917423,329701.7264200786,76250.44083981033,335862.51548829715,3483073.0,9,2.3022218,-0.39815277,7.025152693889654
26580,0.11806652940897633,0.2742890530447902,362346.0,362346.0,7,415.6677016161134,563.398983776534,69801.36974959983,97956.54588534984,37683.0,108706.0,161331.0,0.30410190484397415,0.33887033750687046,6.0298861468631495,11.153408912477685,1409.4405230887835,619.415886879149,1529.4343077252047,153987.27,7,1.810303,-1.2046235,0.3889764266995588
26620,1.8149963634289272,0.9276522494645822,342376.0,342376.0,2,486.94190068139585,653.5148340483179,94797.765357303,148738.48373136722,38744.0,95899.0,147185.0,0.29422041667514076,0.45044378433250465,6.188144815516846,11.459501115784937,8009.854465057647,2151.3518057749757,8052.793284515457,167445.34,2,2.848342,-1.2436147,2.33949063750311
26820,1.2496240361688598,1.1160190277440478,104576.0,104576.0,3,474.9969150450878,665.3656043853944,90033.76166941242,152237.634601044,8428.0,27315.0,38061.0,0.33702836124067037,0.525257955917672,6.16330830937163,11.407940008629,1606.2110648668352,268.0889220699321,1683.974435682747,88358.96,3,,,1.5359270433625642
26900,3.2769097720466718,0.7079423716900433,1658462.0,1658462.0,11,571.1167027863027,737.3560477992147,111149.86313217877,143644.70826987232,206259.0,441667.0,701812.0,0.2554773078012271,0.25646353805486655,6.347593571936019,11.618634688012175,49121.55647570018,14568.902937950314,31172.405524455666,1001692.1,11,4.0038266,-0.7448606,2.9618741023731734
26980,3.2382975730407724,0.9346786104503754,131676.0,131676.0,2,550.8042312983255,724.9349487502247,115980.61503783609,166490.24208168924,21081.0,31055.0,54374.0,0.2747024760465919,0.3615136361882634,6.311379448920718,11.661178344380986,6813.0227799760005,2623.5906208760725,6249.726306285129,112781.28,2,4.4204044,-0.83003175,5.174080910702027
