flow,annual_flow_bn,deficit_share,rate_name,rate,years,debt_bn,principal_bn,interest_component_bn,interest_in_year_N_bn
union_gap_vs_white,-361.1330759723237,0.107,effective_fy2024,0.03220790586972007,30,-1905.5591278282234,-1159.237173871159,-746.3219539570644,-58.253298859453906
union_gap_vs_white,-361.1330759723237,0.107,r3,0.03,10,-442.9785018209797,-386.4123912903864,-56.566110530593335,-11.776813476464302
union_gap_vs_white,-361.1330759723237,0.107,r3,0.03,20,-1038.3045661155147,-772.8247825807728,-265.47978353474196,-29.11640758213036
union_gap_vs_white,-361.1330759723237,0.107,r3,0.03,30,-1838.373014971412,-1159.237173871159,-679.135841100253,-52.41937211191377
union_gap_vs_white,-361.1330759723237,0.107,r4,0.04,10,-463.9308563470977,-386.4123912903864,-77.5184650567113,-16.357292969925346
union_gap_vs_white,-361.1330759723237,0.107,r4,0.04,20,-1150.6618550521625,-772.8247825807728,-377.8370724713898,-42.770023689350914
union_gap_vs_white,-361.1330759723237,0.107,r4,0.04,30,-2167.1914911616022,-1159.237173871159,-1007.9543172904432,-81.8673173858678
union_gap_vs_white,-361.1330759723237,0.107,r5,0.05,10,-486.0253532054928,-386.4123912903864,-99.61296191510644,-21.304005432212104
union_gap_vs_white,-361.1330759723237,0.107,r5,0.05,20,-1277.7094395195286,-772.8247825807728,-504.8846569387558,-59.00324763764239
union_gap_vs_white,-361.1330759723237,0.107,r5,0.05,30,-2567.2793938216705,-1159.237173871159,-1408.0422199505115,-120.41134069964914
union_gap_vs_white,-361.1330759723237,0.509,effective_fy2024,0.03220790586972007,10,-2128.8059779764903,-1838.1673566991276,-290.63862127736274,-60.689353450597444
union_gap_vs_white,-361.1330759723237,0.509,effective_fy2024,0.03220790586972007,20,-5051.665157498249,-3676.334713398255,-1375.3304440999937,-151.89110921041603
union_gap_vs_white,-361.1330759723237,0.509,effective_fy2024,0.03220790586972007,30,-9064.762580042669,-5514.502070097383,-3550.260509945286,-277.1114870977761
union_gap_vs_white,-361.1330759723237,0.509,r3,0.03,10,-2107.252873148399,-1838.1673566991276,-269.0855164492714,-56.02241177121804
union_gap_vs_white,-361.1330759723237,0.509,r3,0.03,20,-4939.224524792495,-3676.334713398255,-1262.8898113942396,-138.50702298415285
union_gap_vs_white,-361.1330759723237,0.509,r3,0.03,30,-8745.157613275222,-5514.502070097383,-3230.655543177839,-249.35944303704778
union_gap_vs_white,-361.1330759723237,0.509,r4,0.04,10,-2206.9234194455394,-1838.1673566991276,-368.75606274641177,-77.8117955298318
union_gap_vs_white,-361.1330759723237,0.509,r4,0.04,20,-5473.70919833225,-3676.334713398255,-1797.3744849339946,-203.4574024100899
union_gap_vs_white,-361.1330759723237,0.509,r4,0.04,30,-10309.350177581826,-5514.502070097383,-4794.848107484443,-389.44359391968896
union_gap_vs_white,-361.1330759723237,0.509,r5,0.05,10,-2312.02714749155,-1838.1673566991276,-473.85979079242225,-101.3433529438875
union_gap_vs_white,-361.1330759723237,0.509,r5,0.05,20,-6078.075745004112,-3676.334713398255,-2401.7410316058567,-280.6790004444857
union_gap_vs_white,-361.1330759723237,0.509,r5,0.05,30,-12212.572069675049,-5514.502070097383,-6698.069999577666,-572.7978730478637
union_gap_vs_all_native,-255.806242829503,1.0,effective_fy2024,0.03220790586972007,10,-2962.526001533635,-2558.06242829503,-404.463573238605,-84.45757362282524
union_gap_vs_all_native,-255.806242829503,1.0,effective_fy2024,0.03220790586972007,20,-7030.086130421108,-5116.12485659006,-1913.961273831048,-211.37734725142332
union_gap_vs_all_native,-255.806242829503,1.0,effective_fy2024,0.03220790586972007,30,-12614.86256564904,-7674.18728488509,-4940.6752807639505,-385.6387074932764
union_gap_vs_all_native,-255.806242829503,1.0,r3,0.03,10,-2932.5318949182,-2558.06242829503,-374.4694666231703,-77.96288307054456
union_gap_vs_all_native,-255.806242829503,1.0,r3,0.03,20,-6873.609541447827,-5116.12485659006,-1757.4846848577672,-192.75155238694143
union_gap_vs_all_native,-255.806242829503,1.0,r3,0.03,30,-12170.088342885976,-7674.18728488509,-4495.901058000886,-347.0179252443633
union_gap_vs_all_native,-255.806242829503,1.0,r4,0.04,10,-3071.2371541325756,-2558.06242829503,-513.1747258375458,-108.2858042808874
union_gap_vs_all_native,-255.806242829503,1.0,r4,0.04,20,-7617.418399166202,-5116.12485659006,-2501.2935425761425,-283.13892908987305
union_gap_vs_all_native,-255.806242829503,1.0,r4,0.04,30,-14346.877205330191,-7674.18728488509,-6672.689920445101,-541.964267788488
union_gap_vs_all_native,-255.806242829503,1.0,r5,0.05,10,-3217.503432232,-2558.06242829503,-659.44100393697,-141.03319949535697
union_gap_vs_all_native,-255.806242829503,1.0,r5,0.05,20,-8458.477484632682,-5116.12485659006,-3342.352628042622,-390.6033924668181
union_gap_vs_all_native,-255.806242829503,1.0,r5,0.05,30,-16995.471957668153,-7674.18728488509,-9321.284672783062,-797.1269388018404
