model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
B_catholic_ref,Catholic,No religion,empgap_unadj,-0.018033747457219258,0.021005238740884873,918,500,True
B_catholic_ref,Catholic,Orthodox,empgap_unadj,-0.07404728899337502,0.02278851778444452,810,500,True
B_catholic_ref,Catholic,Other,empgap_unadj,-0.09082691754172048,0.040874615230315506,192,500,True
B_catholic_ref,Catholic,Protestant,empgap_unadj,-0.013464069072295852,0.018781553485602016,1241,500,True
B_catholic_ref,Catholic,Buddhist,empgap_adj,-0.04778396194301077,0.03768741163172036,287,500,True
B_catholic_ref,Catholic,Hindu,empgap_adj,-0.0834805715622874,0.028731740420788368,585,500,True
B_catholic_ref,Catholic,Jewish,empgap_adj,-0.11080536594575506,0.05562316539055595,98,500,True
B_catholic_ref,Catholic,Muslim,empgap_adj,-0.05479528132522141,0.025366134679699597,606,500,True
B_catholic_ref,Catholic,No religion,empgap_adj,-0.01027167152569909,0.020909757413695558,918,500,True
B_catholic_ref,Catholic,Orthodox,empgap_adj,-0.08817592824521768,0.023338908379255795,810,500,True
B_catholic_ref,Catholic,Other,empgap_adj,-0.07964503839527927,0.03711203278896687,192,500,True
B_catholic_ref,Catholic,Protestant,empgap_adj,-0.0301155940661771,0.01773796326961322,1241,500,True
B_catholic_ref,Catholic,Buddhist,empgap_adj_origin,0.028372146055733377,0.03975149911779532,287,500,True
B_catholic_ref,Catholic,Hindu,empgap_adj_origin,-0.010700978218738819,0.03751060046835288,585,500,True
B_catholic_ref,Catholic,Jewish,empgap_adj_origin,-0.08346135148166578,0.05782909271942293,98,500,True
B_catholic_ref,Catholic,Muslim,empgap_adj_origin,-0.027818583543580716,0.028092431181214312,606,500,True
B_catholic_ref,Catholic,No religion,empgap_adj_origin,0.014415872557846834,0.024118143759203205,918,500,True
B_catholic_ref,Catholic,Orthodox,empgap_adj_origin,-0.0600977592359587,0.026743447151769913,810,500,True
B_catholic_ref,Catholic,Other,empgap_adj_origin,-0.03559570236541233,0.039235998593566225,192,500,True
B_catholic_ref,Catholic,Protestant,empgap_adj_origin,-0.0063728262225109245,0.019163717974766112,1241,500,True
