approach,f_beta,f_vot,f_tau,f_nhts,f_pi_source,f_fill_in,note,is_central,umr_eq_a4_hours_per_other_car_commuter,others_passenger_hours_m,others_truck_person_hours_m,time_bn,fuel_bn,total_bn,usd_per_other_commuter,hours_per_other_commuter,usd_per_other_car_commuter,usd_per_other_resident,f_variant,f_theta,f_sigma,f_hours,areas_at_free_flow_cap,uncapped_others_passenger_hours_m,f_elasticity,f_share,f_residual,f_elasticity_value
"A1 BPR, trips fixed",low,low,central,2017 national,nhts,trips fixed,,False,19.773300091089773,2148.500144626423,133.56705094510224,35.39504506770157,2.950873887575921,38.3459189552775,435.0841929759149,24.377521180901876,493.7246744277211,184.53088397252432,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 national,nhts,DT 0.48,,False,11.520877427336227,1245.5776866712372,80.00936474766625,20.596730845348695,1.7416383525912187,22.33836919793991,253.45777594270172,14.13269462198081,287.61871823601734,107.49824562577444,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 national,nhts,DT 0.44,,False,10.737018014095609,1160.2949843238798,74.79736684219743,19.194433476935416,1.6251280587299293,20.819561535665343,236.2249328128484,13.165051734901207,268.0632390871304,100.18933432205418,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 national,nhts,DT 0.32,,False,8.21960373216983,886.9548292622643,57.87615742627698,14.693480162118123,1.2490646328404589,15.94254479495858,180.8888514104129,10.063653098149361,205.26898175580112,76.7198169697374,,,,,,,,,,
"A1 BPR, trips fixed",low,low,central,2017 national,acs,trips fixed,,False,18.996262707282604,2122.68566257099,130.82793809201257,34.93597840009572,2.9124538341458197,37.84843223424153,429.4395607846612,24.08462239536805,487.31926086436215,182.13684395735538,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 national,acs,DT 0.48,,False,10.936495212759084,1225.7258953495377,77.99287045448813,20.246379604416624,1.711293493908568,21.957673098325195,249.13828485257747,13.907450297639505,282.71704778557404,105.66623351860008,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 national,acs,DT 0.44,,False,10.180940057605557,1141.3678437626547,72.87935516213392,18.86053660400646,1.596128756459849,20.45666536046631,232.10740495532946,12.950298772896918,263.3907523966908,98.44298024255416,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 national,acs,DT 0.32,,False,7.7660784210138365,871.4248036128154,56.311210010034344,14.41977488683665,1.225092917163361,15.644867804000016,177.5113198006018,9.88744481156569,201.4362277248689,75.28731516051148,,,,,,,,,,
"A1 BPR, trips fixed",low,low,high,2017 southwest,nhts,trips fixed,,False,18.98638719673402,2091.255347771086,124.4060649744125,34.28508406865046,2.8566191618460848,37.141703230496546,421.4208034664266,23.728004702474987,478.21973849564347,178.73587375392424,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 southwest,nhts,DT 0.48,,False,10.8940673537228,1198.6602856406362,73.56005532824224,19.71856233536838,1.665328387669948,21.38389072303833,242.62797949292118,13.600355845910952,275.32928595461436,102.90503827790113,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 southwest,nhts,DT 0.44,,False,10.13834337098544,1115.4044280107978,68.68619059305969,18.355975256558498,1.5521242326592766,19.908099489217783,225.88321354490435,12.655710141379972,256.3276668438262,95.80313360706971,,,,,,,,,,
