account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year
complete,0.0,cash_to_accrual,terminal83,mexican_third_plus_selfid,0,-710031.3731635469,83.0,-457282.49592989567,-5509.427661805972
complete,0.0,cash_to_accrual,terminal83,mexican_third_plus_selfid,25,-529193.9011685728,58.0,-313609.74734388955,-5407.064609377406
complete,0.0,cash_to_accrual,terminal83,third_plus_nh_white,0,-252748.87723365126,83.0,0.0,0.0
complete,0.0,cash_to_accrual,terminal83,third_plus_nh_white,25,-215584.15382468328,58.0,0.0,0.0
complete,0.0,cash_to_accrual,terminal83,all_native,0,-402011.17137384246,83.0,-149262.2941401912,-1798.3408932553157
complete,0.0,cash_to_accrual,terminal83,all_native,25,-296551.58686388686,58.0,-80967.43303920358,-1395.9902248138549
complete,0.0,cash_to_accrual,terminal83,mexican_observed_total,0,-851109.3216089234,83.0,-598360.4443752721,-7209.161980424966
complete,0.0,cash_to_accrual,terminal83,mexican_observed_total,25,-623003.6435236691,58.0,-407419.4896989858,-7024.473960327342
complete,0.0,cash_to_accrual,common_white,mexico_born,0,-906826.9814009812,78.93040675292968,-666641.5250272215,-8445.940575397803
complete,0.0,cash_to_accrual,common_white,mexico_born,25,-657736.0720081262,54.764830068072335,-452003.6102419265,-8253.538076902438
complete,0.0,cash_to_accrual,common_white,mexican_second_gen,0,-771643.0848448409,78.93040675292968,-531457.6284710813,-6733.2432497740165
complete,0.0,cash_to_accrual,common_white,mexican_second_gen,25,-509543.98300316464,54.764830068072335,-303811.52123696497,-5547.566218307063
complete,0.0,cash_to_accrual,common_white,mexican_third_plus_selfid,0,-672556.4205314979,78.93040675292968,-432370.96415773826,-5477.8757888725795
complete,0.0,cash_to_accrual,common_white,mexican_third_plus_selfid,25,-498962.3475029294,54.764830068072335,-293229.8857367297,-5354.346674174773
complete,0.0,cash_to_accrual,common_white,third_plus_nh_white,0,-240185.4563737597,78.93040675292968,0.0,0.0
complete,0.0,cash_to_accrual,common_white,third_plus_nh_white,25,-205732.46176619967,54.764830068072335,0.0,0.0
complete,0.0,cash_to_accrual,common_white,all_native,0,-382953.4391601541,78.93040675292968,-142767.9827863944,-1808.783061682312
complete,0.0,cash_to_accrual,common_white,all_native,25,-281585.29294287687,54.764830068072335,-75852.8311766772,-1385.0646680066861
complete,0.0,cash_to_accrual,common_white,mexican_observed_total,0,-806854.5144262002,78.93040675292968,-566669.0580524405,-7179.350536305292
complete,0.0,cash_to_accrual,common_white,mexican_observed_total,25,-587383.4695615325,54.764830068072335,-381651.0077953328,-6968.9070032892105
complete,0.0,cash_to_accrual,group_specific,mexico_born,0,-944349.2629813567,81.81386755859376,-704163.806607597,-8921.324944033186
complete,0.0,cash_to_accrual,group_specific,mexico_born,25,-696639.4033149435,57.76235330662396,-490906.94154874387,-8963.90878851536
complete,0.0,cash_to_accrual,group_specific,mexican_second_gen,0,-798845.6911829073,81.81386755859376,-558660.2348091477,-7077.8836419516065
complete,0.0,cash_to_accrual,group_specific,mexican_second_gen,25,-537829.8523799675,57.76235330662396,-332097.3906137678,-6064.063198972275
complete,0.0,cash_to_accrual,group_specific,mexican_third_plus_selfid,0,-708731.9156127055,81.81386755859376,-468546.45923894586,-5936.19719591214
complete,0.0,cash_to_accrual,group_specific,mexican_third_plus_selfid,25,-536280.9390967134,57.76235330662396,-330548.47733051376,-6035.780206377782
complete,0.0,cash_to_accrual,group_specific,third_plus_nh_white,0,-240185.4563737597,78.93040675292968,0.0,0.0
complete,0.0,cash_to_accrual,group_specific,third_plus_nh_white,25,-205732.46176619967,54.764830068072335,0.0,0.0
complete,0.0,cash_to_accrual,group_specific,all_native,0,-382953.4391601541,78.93040675292968,-142767.9827863944,-1808.783061682312
complete,0.0,cash_to_accrual,group_specific,all_native,25,-281585.29294287687,54.764830068072335,-75852.8311766772,-1385.0646680066861
complete,0.0,cash_to_accrual,group_specific,mexican_observed_total,0,-842138.9765830615,81.81386755859376,-601953.5202093018,-7626.383100920216
complete,0.0,cash_to_accrual,group_specific,mexican_observed_total,25,-623924.5349452329,57.76235330662396,-418192.07317903324,-7636.142989199878
complete,0.0,cash_to_accrual,paradox_fades,mexico_born,0,-944349.2629813567,81.81386755859376,-704163.806607597,-8921.324944033186
complete,0.0,cash_to_accrual,paradox_fades,mexico_born,25,-696639.4033149435,57.76235330662396,-490906.94154874387,-8963.90878851536
complete,0.0,cash_to_accrual,paradox_fades,mexican_second_gen,0,-771643.0848448409,78.93040675292968,-531457.6284710813,-6733.2432497740165
complete,0.0,cash_to_accrual,paradox_fades,mexican_second_gen,25,-509543.98300316464,54.764830068072335,-303811.52123696497,-5547.566218307063
complete,0.0,cash_to_accrual,paradox_fades,mexican_third_plus_selfid,0,-672556.4205314979,78.93040675292968,-432370.96415773826,-5477.8757888725795
complete,0.0,cash_to_accrual,paradox_fades,mexican_third_plus_selfid,25,-498962.3475029294,54.764830068072335,-293229.8857367297,-5354.346674174773
complete,0.0,cash_to_accrual,paradox_fades,third_plus_nh_white,0,-240185.4563737597,78.93040675292968,0.0,0.0
complete,0.0,cash_to_accrual,paradox_fades,third_plus_nh_white,25,-205732.46176619967,54.764830068072335,0.0,0.0
