outcome,outcome_label,taxonomy,period,group,n_obs,adjusted_gap,se_adjusted_gap,raw_gap,se_raw_gap
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,US outlying|2nd_father_foreign,732.0,-0.0488366300296183,0.0179968454462681,-0.036180114912551575,0.017938749893094904
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,US outlying|2nd_mother_foreign,449.0,-0.04225323417564601,0.0238431989406535,-0.037456914084113335,0.024073435384782477
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,US outlying|2nd_both_foreign,3537.0,-0.12780455736738863,0.008313733083689375,-0.10077648744718848,0.008487325684204461
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,3rd+_NH_white,585870.0,0.0,0.0,0.0,0.0
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,3rd+_Mexican_selfid,20827.0,-0.05592710533410762,0.0037917969719595914,-0.040351888128435265,0.003773614079086847
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,3rd+_other,113915.0,-0.09083560457252034,0.0018376675124468693,-0.08970962755461864,0.001858615571161621
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Mexico|1st_foreign_born,60678.0,-0.10328124406684171,0.002193614266804747,-0.07276588528839623,0.0022097060742037756
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Mexico|2nd_father_foreign,3477.0,-0.031825600990731284,0.00868105867458997,-0.026845496192410168,0.00860144019748875
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Mexico|2nd_mother_foreign,2372.0,-0.03579838266260999,0.011001211535573761,-0.019778775132685555,0.011090966615266835
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Mexico|2nd_both_foreign,9762.0,-0.031999187349567686,0.004997977894494883,-0.008062548186866025,0.005053929310186947
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Central America|1st_foreign_born,15993.0,-0.03418955150234288,0.0043752447442393485,-0.006334387068988256,0.004436275185825729
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Central America|2nd_father_foreign,298.0,-0.014342695336325486,0.027526992970179874,0.011839380456848847,0.027046082985197402
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Central America|2nd_mother_foreign,351.0,0.0059093090733230574,0.024720054980884476,0.029905251434335867,0.025607388324608793
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Central America|2nd_both_foreign,1077.0,0.001743007366098933,0.01576606384264977,0.028326964404167376,0.015408638157104403
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Caribbean|1st_foreign_born,14929.0,-0.03654688538565218,0.004252500428055055,-0.03429595123920537,0.004145004434715252
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Caribbean|2nd_father_foreign,623.0,-0.020506153455627018,0.02234565140307201,0.0005973570574024922,0.02207335752247924
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Caribbean|2nd_mother_foreign,471.0,-0.03171430830526495,0.0255990746093582,-0.014107999780172742,0.02540101192433591
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Caribbean|2nd_both_foreign,2549.0,-0.03913116559818645,0.010353009352525382,-0.007978266145211133,0.01027205149483982
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,South America|1st_foreign_born,12624.0,-0.008320228563961423,0.004597380535138047,0.008114794487441013,0.004621226832753192
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,South America|2nd_father_foreign,324.0,0.03457069517438164,0.024757294904889662,0.04532414450540967,0.02502499455886624
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,South America|2nd_mother_foreign,421.0,0.0272075938476335,0.019357907529896023,0.05370304646730162,0.01966441374601723
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,South America|2nd_both_foreign,1206.0,-0.01687241428276589,0.015901120356389936,0.018788362396277014,0.015561917899933787
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Europe|1st_foreign_born,18966.0,-0.012398913779938358,0.003951215114747841,-0.013967666862100603,0.00405435837964697
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Europe|2nd_father_foreign,6575.0,0.03520447448623673,0.006029129435013385,0.011697483661169072,0.006152766444024971
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Europe|2nd_mother_foreign,6955.0,0.018441216133683932,0.006139520821851758,0.019332246811902598,0.006405570694413817
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Europe|2nd_both_foreign,5897.0,0.004876732728371577,0.006753454662310344,0.006523428113091367,0.006972287395902878
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Asia|1st_foreign_born,51297.0,-0.03248936458462599,0.0023797008597298604,-0.024128042383658954,0.002432242219480985
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Asia|2nd_father_foreign,1750.0,-0.0018614268596519282,0.012376703722779393,-0.00016524632446845988,0.012691198068287526
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Asia|2nd_mother_foreign,2414.0,-0.0011983595802399463,0.01146116069990965,0.02311139194762757,0.011655860258622511
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Asia|2nd_both_foreign,6031.0,-0.010964539309462137,0.006454196425467977,0.013809643998946464,0.006423329534473192
employed,employed (EMPSTAT 10 or 12),region_gen_detail,2005-2014,Africa|1st_foreign_born,7417.0,-0.03831266899962064,0.006313301692165353,-0.014225211195325937,0.006403440641909978
