year_range,origin,offence,persons,population,rate_per_100k,ratio_to_danish_origin
2010-2022,Canada,sexual_total,2.0,28270.0,7.074637424831977,0.4578548857066318
2010-2022,Chile,sexual_total,7.0,21018.0,33.30478637358455,2.155412107062646
2010-2022,China,sexual_total,2.0,138718.0,1.4417739586787583,0.0933084215381312
2010-2022,Croatia,sexual_total,2.0,20110.0,9.945300845350571,0.6436378726467669
2010-2022,Czechoslovakia,sexual_total,1.0,9558.0,10.462439840970914,0.6771059645807952
2010-2022,Denmark,sexual_total,7862.0,50881125.0,15.451702374898353,1.0
2010-2022,Egypt,sexual_total,10.0,26043.0,38.39803402065814,2.4850358289994396
2010-2022,Estonia,sexual_total,0.0,16750.0,0.0,0.0
2010-2022,Ethiopia,sexual_total,6.0,17647.0,34.00011333371111,2.200412129924602
2010-2022,Finland,sexual_total,4.0,44148.0,9.06043308870164,0.5863711886801886
2010-2022,France,sexual_total,4.0,74102.0,5.397964967207363,0.3493443528899755
2010-2022,Germany,sexual_total,54.0,371268.0,14.544749345486279,0.9413040060307245
2010-2022,Ghana,sexual_total,10.0,26452.0,37.80432481475881,2.446612282422214
2010-2022,Greece,sexual_total,2.0,30830.0,6.487187804086928,0.41983644563498157
2010-2022,Hungary,sexual_total,10.0,55693.0,17.955577900274722,1.1620452856666443
2010-2022,Iceland,sexual_total,9.0,93977.0,9.576811347457356,0.6197900474070163
2010-2022,India,sexual_total,18.0,113682.0,15.833641209690187,1.0247182365751688
2010-2022,Indonesia,sexual_total,3.0,12610.0,23.79064234734338,1.539677750070557
2010-2022,Iran,sexual_total,90.0,213056.0,42.24241513968158,2.7338356716154046
2010-2022,Iraq,sexual_total,174.0,306074.0,56.84899730130622,3.679141360738266
2010-2022,Ireland,sexual_total,2.0,20627.0,9.696029475929606,0.627505580982522
2010-2022,Israel,sexual_total,1.0,17535.0,5.70287995437696,0.36907777641649503
2010-2022,Italy,sexual_total,12.0,89921.0,13.34504731931362,0.8636619445241812
2010-2022,Japan,sexual_total,0.0,19530.0,0.0,0.0
2010-2022,Jordan,sexual_total,8.0,23279.0,34.365737359852226,2.2240745081707085
2010-2022,Kenya,sexual_total,2.0,15336.0,13.041210224308815,0.8439982797943715
2010-2022,Kuwait,sexual_total,16.0,19019.0,84.12639991587359,5.444474522919809
2010-2022,Latvia,sexual_total,5.0,53580.0,9.33184023889511,0.6039360591137776
2010-2022,Lebanon,sexual_total,113.0,253367.0,44.599336140854966,2.8863703855251326
2010-2022,Lithuania,sexual_total,8.0,125141.0,6.392788934082355,0.41372715956965284
2010-2022,Morocco,sexual_total,35.0,110282.0,31.73682015197403,2.053936801392915
2010-2022,Myanmar,sexual_total,10.0,19997.0,50.00750112516877,3.2363748609607645
2010-2022,Netherlands,sexual_total,10.0,82420.0,12.132977432661976,0.7852194624439749
2010-2022,Nigeria,sexual_total,6.0,16077.0,37.32039559619332,2.415293453802292
2010-2022,Norway,sexual_total,9.0,197405.0,4.559155036599884,0.2950584295492473
2010-2022,Pakistan,sexual_total,73.0,251508.0,29.024921672471653,1.8784287302623242
2010-2022,Philippines,sexual_total,9.0,134098.0,6.711509493057316,0.4343540491667972
2010-2022,Poland,sexual_total,53.0,453474.0,11.687549892606853,0.7563923772951741
2010-2022,Portugal,sexual_total,7.0,25510.0,27.440219521756177,1.7758703122792119
2010-2022,Republic of North Macedonia,sexual_total,14.0,49065.0,28.53357790685825,1.8466300485577372
2010-2022,Romania,sexual_total,45.0,253188.0,17.773354187402248,1.1502521700311463
2010-2022,Russia,sexual_total,8.0,70261.0,11.386117476267062,0.7368843380496425
2010-2022,Serbia and Montenegro,sexual_total,1.0,9360.0,10.683760683760683,0.691429359985389
2010-2022,Somalia,sexual_total,113.0,166086.0,68.03704105102176,4.403206805325833
2010-2022,South Africa,sexual_total,3.0,13220.0,22.6928895612708,1.4686336178812194
2010-2022,Soviet Union,sexual_total,2.0,13944.0,14.343086632243258,0.928252841288474
2010-2022,Spain,sexual_total,6.0,67916.0,8.834442546675305,0.5717455806699371
2010-2022,Sri Lanka,sexual_total,36.0,119742.0,30.064638973793652,1.9457169342476044
2010-2022,Sweden,sexual_total,15.0,184533.0,8.128627399977239,0.5260667855719497
2010-2022,Switzerland,sexual_total,0.0,19216.0,0.0,0.0
2010-2022,Syria,sexual_total,183.0,207323.0,88.26806480708845,5.712513913708431
2010-2022,Tanzania,sexual_total,4.0,9920.0,40.32258064516129,2.6095882296222745
2010-2022,Thailand,sexual_total,30.0,137191.0,21.867323658257465,1.4152048187118487
2010-2022,Tunisia,sexual_total,9.0,14608.0,61.61007667031764,3.987267886443673
2010-2022,Turkey,sexual_total,184.0,665706.0,27.63982899357975,1.7887885957783713
2010-2022,USA,sexual_total,3.0,104529.0,2.870016933099905,0.18574114770436645
2010-2022,Uganda,sexual_total,17.0,18756.0,90.63766261462999,5.86586904248641
2010-2022,Ukraine,sexual_total,2.0,108702.0,1.8398925502750638,0.1190737761855944
2010-2022,United Kingdom,sexual_total,13.0,178847.0,7.268782814360879,0.47041954588571316
2010-2022,Vietnam,sexual_total,25.0,154638.0,16.166789534267128,1.046278859249221
2010-2022,Yugoslavia,sexual_total,36.0,172345.0,20.888334445443732,1.3518468022900385
2010-2022,"Yugoslavia, Federal Republic",sexual_total,5.0,18275.0,27.359781121751027,1.7706645169530073
2008-2024,Afghanistan,violence_total,975.0,208190.0,468.32220567750613,3.9040061459684123
2008-2024,Algeria,violence_total,105.0,19673.0,533.7264270828039,4.449225824307541
2008-2024,Argentina,violence_total,16.0,35620.0,44.918585064570465,0.37444825386102937
2008-2024,Australia,violence_total,8.0,34640.0,23.094688221709006,0.19252088340834103
2008-2024,Austria,violence_total,10.0,24094.0,41.504108906781774,0.34598465392135663
2008-2024,Belgium,violence_total,13.0,20315.0,63.99212404627122,0.5334482169360333
2008-2024,Bosnia and Herzegovina,violence_total,782.0,317869.0,246.0132947849586,2.0508047732671235
2008-2024,Brazil,violence_total,79.0,55919.0,141.27577388722975,1.1776966431354499
2008-2024,Bulgaria,violence_total,107.0,116073.0,92.18336736364185,0.7684547697734916
2008-2024,Canada,violence_total,18.0,37106.0,48.509674985177604,0.4043841333705088
2008-2024,Chile,violence_total,77.0,27745.0,277.5274824292665,2.3135119025833477
2008-2024,China,violence_total,100.0,181683.0,55.04092292619563,0.45882962366215696
2008-2024,Croatia,violence_total,53.0,27624.0,191.8621488560672,1.5993924679040032
2008-2024,Czechoslovakia,violence_total,22.0,12384.0,177.6485788113695,1.4809059555457498
2008-2024,Denmark,violence_total,79688.0,66429146.0,119.95939252327585,1.0
2008-2024,Egypt,violence_total,157.0,34085.0,460.61317294997804,3.8397424600212506
2008-2024,Estonia,violence_total,15.0,21267.0,70.53180984624065,0.5879640465214534
2008-2024,Ethiopia,violence_total,113.0,22840.0,494.7460595446585,4.124279467726234
2008-2024,Finland,violence_total,50.0,57773.0,86.54561819535077,0.7214576230748937
2008-2024,France,violence_total,75.0,98216.0,76.362303494339,0.6365679409348655
2008-2024,Germany,violence_total,268.0,489326.0,54.76921316259508,0.4565646091611222
2008-2024,Ghana,violence_total,123.0,34870.0,352.73874390593636,2.9404845797088717
2008-2024,Greece,violence_total,24.0,41353.0,58.03690179672575,0.48380456566137403
