cbsa,NAME,pop_b03001,mexican_share,all,tagged,mexican,cbp_restaurants,osm_coverage,tagged_coverage
39380,"Pueblo, CO Metro Area",168726,0.257637,208.0,164.0,34.0,243.0,0.855967,0.674897
39460,"Punta Gorda, FL Metro Area",195083,0.011744,170.0,141.0,11.0,232.0,0.732759,0.607759
39480,"Putnam, CT Micro Area",95829,0.005677,93.0,80.0,6.0,118.0,0.788136,0.677966
39700,"Raymondville, TX Micro Area",20218,0.837818,3.0,3.0,0.0,21.0,0.142857,0.142857
39780,"Red Bluff, CA Micro Area",65520,0.252274,46.0,42.0,4.0,77.0,0.597403,0.545455
39820,"Redding, CA Metro Area",181554,0.081227,263.0,230.0,36.0,269.0,0.977695,0.855019
39860,"Red Wing, MN Micro Area",47844,0.023932,43.0,35.0,3.0,65.0,0.661538,0.538462
39900,"Reno, NV Metro Area",556539,0.188727,672.0,548.0,115.0,874.0,0.768879,0.627002
39940,"Rexburg, ID Micro Area",67279,0.070676,77.0,59.0,12.0,73.0,1.054795,0.808219
39980,"Richmond, IN Micro Area",66377,0.026636,90.0,75.0,8.0,105.0,0.857143,0.714286
40080,"Richmond-Berea, KY Micro Area",124287,0.017041,137.0,118.0,14.0,152.0,0.901316,0.776316
40090,"Rifle, CO Micro Area",79153,0.200106,147.0,105.0,19.0,227.0,0.647577,0.462555
40100,"Rio Grande City-Roma, TX Micro Area",65809,0.924433,24.0,23.0,2.0,55.0,0.436364,0.418182
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4637725,0.449558,4253.0,3713.0,772.0,6490.0,0.655316,0.572111
40300,"Rochelle, IL Micro Area",51536,0.097912,38.0,26.0,3.0,65.0,0.584615,0.4
40340,"Rochester, MN Metro Area",227252,0.031987,290.0,228.0,22.0,324.0,0.895062,0.703704
40380,"Rochester, NY Metro Area",1058875,0.007601,1129.0,914.0,76.0,1654.0,0.682588,0.5526
40420,"Rockford, IL Metro Area",336605,0.135785,416.0,323.0,45.0,517.0,0.804642,0.624758
40660,"Rome, GA Metro Area",98985,0.069132,79.0,74.0,8.0,141.0,0.560284,0.524823
40740,"Roswell, NM Micro Area",64446,0.488797,92.0,85.0,14.0,86.0,1.069767,0.988372
40760,"Ruidoso, NM Micro Area",20227,0.289069,34.0,22.0,7.0,52.0,0.653846,0.423077
40770,"Russellville, AL Micro Area",31978,0.097849,40.0,34.0,7.0,35.0,1.142857,0.971429
40780,"Russellville, AR Micro Area",84025,0.08169,113.0,107.0,24.0,113.0,1.0,0.946903
40820,"Ruston, LA Micro Area",48160,0.027076,94.0,84.0,16.0,70.0,1.342857,1.2
40900,"Sacramento-Roseville-Folsom, CA Metro Area",2406563,0.179217,2660.0,2214.0,362.0,3842.0,0.692348,0.576262
40940,"Safford, AZ Micro Area",38860,0.273495,34.0,30.0,8.0,44.0,0.772727,0.681818
40980,"Saginaw, MI Metro Area",189210,0.075038,188.0,167.0,19.0,284.0,0.661972,0.588028
41060,"St. Cloud, MN Metro Area",200816,0.024654,179.0,136.0,17.0,276.0,0.648551,0.492754
41100,"St. George, UT Metro Area",189827,0.077297,336.0,292.0,49.0,302.0,1.112583,0.966887
41460,"Salina, KS Micro Area",59583,0.091754,70.0,59.0,8.0,101.0,0.693069,0.584158
41500,"Salinas, CA Metro Area",435834,0.557928,542.0,436.0,95.0,685.0,0.791241,0.636496
41540,"Salisbury, MD Metro Area",128802,0.027127,143.0,117.0,11.0,177.0,0.80791,0.661017
41620,"Salt Lake City-Murray, UT Metro Area",1261337,0.137096,2173.0,1941.0,311.0,1909.0,1.138292,1.016763
41660,"San Angelo, TX Metro Area",120830,0.359298,105.0,87.0,18.0,194.0,0.541237,0.448454
41700,"San Antonio-New Braunfels, TX Metro Area",2612802,0.45487,2518.0,2152.0,430.0,3879.0,0.649136,0.554782
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3282782,0.296126,4253.0,3554.0,687.0,5736.0,0.741457,0.619596
41760,"Sandpoint, ID Micro Area",49456,0.021979,50.0,31.0,4.0,77.0,0.649351,0.402597
41860,"San Francisco-Oakland-Fremont, CA Metro Area",4653593,0.144757,7552.0,6287.0,791.0,9276.0,0.814144,0.677771
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1969353,0.212462,3493.0,3018.0,420.0,3390.0,1.030383,0.890265
42020,"San Luis Obispo-Paso Robles, CA Metro Area",281486,0.208216,585.0,436.0,85.0,645.0,0.906977,0.675969
42100,"Santa Cruz-Watsonville, CA Metro Area",266021,0.304645,431.0,334.0,76.0,441.0,0.977324,0.75737
42140,"Santa Fe, NM Metro Area",155175,0.253907,370.0,303.0,83.0,307.0,1.205212,0.986971
42200,"Santa Maria-Santa Barbara, CA Metro Area",443975,0.425736,700.0,639.0,130.0,824.0,0.849515,0.775485
42220,"Santa Rosa-Petaluma, CA Metro Area",485642,0.236952,569.0,441.0,79.0,865.0,0.657803,0.509827
42300,"Sault Ste. Marie, MI Micro Area",36448,0.012511,37.0,26.0,2.0,55.0,0.672727,0.472727
42340,"Savannah, GA Metro Area",412089,0.029346,522.0,403.0,40.0,875.0,0.596571,0.460571
42460,"Scottsboro, AL Micro Area",52839,0.01796,43.0,40.0,5.0,59.0,0.728814,0.677966
42580,"Seaford, DE Micro Area",247799,0.032236,415.0,305.0,26.0,512.0,0.810547,0.595703
42620,"Searcy, AR Micro Area",77395,0.03592,85.0,75.0,10.0,99.0,0.858586,0.757576
42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",163856,0.049067,163.0,137.0,12.0,239.0,0.682008,0.573222
42700,"Sebring, FL Metro Area",103808,0.080196,99.0,69.0,14.0,117.0,0.846154,0.589744
42820,"Selma, AL Micro Area",37536,0.004582,29.0,24.0,1.0,38.0,0.763158,0.631579
42900,"Seneca Falls, NY Micro Area",33125,0.008755,25.0,17.0,3.0,47.0,0.531915,0.361702
42980,"Seymour, IN Micro Area",46319,0.075304,36.0,31.0,6.0,70.0,0.514286,0.442857
43300,"Sherman-Denison, TX Metro Area",139988,0.132111,162.0,142.0,20.0,173.0,0.936416,0.820809
43320,"Show Low, AZ Micro Area",107744,0.083429,121.0,103.0,25.0,154.0,0.785714,0.668831
43340,"Shreveport-Bossier City, LA Metro Area",389004,0.031121,362.0,320.0,38.0,580.0,0.624138,0.551724
43420,"Sierra Vista-Douglas, AZ Metro Area",125458,0.300898,143.0,111.0,22.0,151.0,0.94702,0.735099
43500,"Silver City, NM Micro Area",27856,0.406519,36.0,30.0,7.0,41.0,0.878049,0.731707
43640,"Slidell-Mandeville-Covington, LA Metro Area",269331,0.020414,250.0,187.0,21.0,469.0,0.533049,0.398721
43660,"Snyder, TX Micro Area",16633,0.389226,22.0,21.0,5.0,32.0,0.6875,0.65625
43700,"Somerset, KY Micro Area",65503,0.018472,68.0,56.0,5.0,85.0,0.8,0.658824
43760,"Sonora, CA Micro Area",54873,0.083812,114.0,79.0,14.0,91.0,1.252747,0.868132
43780,"South Bend-Mishawaka, IN-MI Metro Area",324180,0.070245,335.0,268.0,37.0,470.0,0.712766,0.570213
43980,"Spencer, IA Micro Area",16446,0.039949,12.0,9.0,0.0,29.0,0.413793,0.310345
44020,"Spirit Lake, IA Micro Area",17844,0.019334,52.0,35.0,2.0,56.0,0.928571,0.625
44100,"Springfield, IL Metro Area",207386,0.012701,352.0,313.0,33.0,373.0,0.9437,0.839142
44140,"Springfield, MA Metro Area",462853,0.007953,284.0,240.0,22.0,621.0,0.457327,0.386473
44260,"Starkville, MS Micro Area",61415,0.011007,62.0,54.0,3.0,98.0,0.632653,0.55102
44340,"Statesboro, GA Micro Area",92112,0.031418,86.0,77.0,7.0,135.0,0.637037,0.57037
44460,"Steamboat Springs, CO Micro Area",38248,0.071141,57.0,33.0,9.0,121.0,0.471074,0.272727
44500,"Stephenville, TX Micro Area",43244,0.189136,54.0,50.0,10.0,71.0,0.760563,0.704225
44540,"Sterling, CO Micro Area",21067,0.133289,19.0,12.0,3.0,28.0,0.678571,0.428571
44580,"Sterling, IL Micro Area",55192,0.106918,40.0,35.0,4.0,78.0,0.512821,0.448718
44700,"Stockton-Lodi, CA Metro Area",787416,0.370205,558.0,494.0,69.0,965.0,0.578238,0.511917
44740,"Storm Lake, IA Micro Area",20684,0.209631,10.0,10.0,2.0,18.0,0.555556,0.555556
44780,"Sturgis, MI Micro Area",60870,0.08229,32.0,29.0,3.0,76.0,0.421053,0.381579
44860,"Sulphur Springs, TX Micro Area",37351,0.167465,38.0,31.0,3.0,56.0,0.678571,0.553571
44900,"Summerville, GA Micro Area",24975,0.007007,8.0,8.0,1.0,23.0,0.347826,0.347826
45000,"Susanville, CA Micro Area",31177,0.182186,26.0,23.0,3.0,27.0,0.962963,0.851852
