award,family,qid,person_qid,person,year,ethnic,citizenship,birth_country,given_name,family_name
MacArthur Fellows Program,fellowship,Q1543268,Q5125231,Q5125231,2006,,United States,United Kingdom,Claire,Tomlin
MacArthur Fellows Program,fellowship,Q1543268,Q5125231,Q5125231,2006,,United States,United Kingdom,Jennifer,Tomlin
MacArthur Fellows Program,fellowship,Q1543268,Q7422756,Sarah Ruhl,2006,,United States,United States,Sarah,Ruhl
MacArthur Fellows Program,fellowship,Q1543268,Q7926744,Victoria Hale,2006,,United States,,Victoria,Hale
MacArthur Fellows Program,fellowship,Q1543268,Q6167134,Jay Rubenstein,2007,,United States,United States,Jay,
MacArthur Fellows Program,fellowship,Q1543268,Q6205466,Joan Snyder,2007,,United States,United States,Joan,Snyder
MacArthur Fellows Program,fellowship,Q1543268,Q6557893,Lisa Cooper,2007,,United States,,Lisa,Cooper
MacArthur Fellows Program,fellowship,Q1543268,Q541910,Lynn Nottage,2007,,United States,United States,Lynn,Nottage
MacArthur Fellows Program,fellowship,Q1543268,Q6755529,Marc A. Edwards,2007,,United States,United States,Marc,Edwards
MacArthur Fellows Program,fellowship,Q1543268,Q6769512,Mark Roth,2007,,United States,,Mark,Roth
MacArthur Fellows Program,fellowship,Q1543268,Q6769512,Mark Roth,2007,,United States,,Brantly,Roth
MacArthur Fellows Program,fellowship,Q1543268,Q6818185,Mercedes Doretti,2007,,Argentina,Argentina,Mercedes,
MacArthur Fellows Program,fellowship,Q1543268,Q6830114,Michael Elowitz,2007,,United States,,Michael,
MacArthur Fellows Program,fellowship,Q1543268,Q7154189,Paul W. K. Rothemund,2007,,United States,,Paul,Rothemund
MacArthur Fellows Program,fellowship,Q1543268,Q7382944,Ruth DeFries,2007,,United States,,Ruth,Defries
MacArthur Fellows Program,fellowship,Q1543268,Q7382944,Ruth DeFries,2007,,United States,,Ruth,DeFries
MacArthur Fellows Program,fellowship,Q1543268,Q7494134,Shen Wei,2007,,People's Republic of China,People's Republic of China,Shen,Wei
MacArthur Fellows Program,fellowship,Q1543268,Q7494134,Shen Wei,2007,,United States,People's Republic of China,Shen,Wei
MacArthur Fellows Program,fellowship,Q1543268,Q2743177,Sven Haakanson,2007,,United States,United States,Sven,
MacArthur Fellows Program,fellowship,Q1543268,Q295981,Terence Tao,2007,,Australia,Australia,Terence,Tao
MacArthur Fellows Program,fellowship,Q1543268,Q295981,Terence Tao,2007,,United States,Australia,Terence,Tao
MacArthur Fellows Program,fellowship,Q1543268,Q16221584,Yoky Matsuoka,2007,,United States,Japan,Yōko,Matsuoka
MacArthur Fellows Program,fellowship,Q1543268,Q16221584,Yoky Matsuoka,2007,,Japan,Japan,Yōko,Matsuoka
MacArthur Fellows Program,fellowship,Q1543268,Q106454,Adam Riess,2008,,United States,United States,Adam,Riess
MacArthur Fellows Program,fellowship,Q1543268,Q106454,Adam Riess,2008,,United States,United States,Guy,Riess
MacArthur Fellows Program,fellowship,Q1543268,Q952149,Alex Ross,2008,,United States,United States,Alex,Ross
MacArthur Fellows Program,fellowship,Q1543268,Q2643958,Alexei Kitaev,2008,,Russia,Russia,Alexei,Kitajew
MacArthur Fellows Program,fellowship,Q1543268,Q2643958,Alexei Kitaev,2008,,Russia,Russia,Aleksey,Kitajew
MacArthur Fellows Program,fellowship,Q1543268,Q493956,Andrea M. Ghez,2008,,United States,United States,Mia,Ghez
MacArthur Fellows Program,fellowship,Q1543268,Q493956,Andrea M. Ghez,2008,,United States,United States,Andrea,Ghez
MacArthur Fellows Program,fellowship,Q1543268,Q230141,Chimamanda Ngozi Adichie,2008,Igbo people,Nigeria,Nigeria,Ngozi,Adichie
MacArthur Fellows Program,fellowship,Q1543268,Q230141,Chimamanda Ngozi Adichie,2008,Igbo people,Nigeria,Nigeria,Chimamanda,Adichie
MacArthur Fellows Program,fellowship,Q1543268,Q1176238,David R. Montgomery,2008,,United States,,David,Montgomery
MacArthur Fellows Program,fellowship,Q1543268,Q5271439,Diane E. Meier,2008,,United States,United States,Diane,Meier
MacArthur Fellows Program,fellowship,Q1543268,Q6416066,Kirsten Bomblies,2008,,United States,Germany,Kirsten,Bomblies
MacArthur Fellows Program,fellowship,Q1543268,Q439793,Leila Josefowicz,2008,,Canada,Canada,Leila,Józefowicz
MacArthur Fellows Program,fellowship,Q1543268,Q1326187,Miguel Zenón,2008,,United States,United States,Miguel,Zenón
MacArthur Fellows Program,fellowship,Q1543268,Q1326187,Miguel Zenón,2008,,United States,United States,A.,Zenón
MacArthur Fellows Program,fellowship,Q1543268,Q1964529,Nancy Siraisi,2008,,United States,United Kingdom,Nancy,
MacArthur Fellows Program,fellowship,Q1543268,Q7154297,Paul Wennberg,2008,,,,Paul,Wennberg
MacArthur Fellows Program,fellowship,Q1543268,Q7279454,Rachel Wilson,2008,,United States,United States,Rachel,Wilson
MacArthur Fellows Program,fellowship,Q1543268,Q7648143,Susan Mango,2008,,United States,,Susan,Mango
MacArthur Fellows Program,fellowship,Q1543268,Q3515545,Tara Donovan,2008,,United States,United States,Tara,Donovan
MacArthur Fellows Program,fellowship,Q1543268,Q7959409,Wafaa El-Sadr,2008,,Egypt,Egypt,Wafaa,Sadr
MacArthur Fellows Program,fellowship,Q1543268,Q831152,Beth Shapiro,2009,,United States,United States,Beth,Shapiro
MacArthur Fellows Program,fellowship,Q1543268,Q5026682,Camille Utterback,2009,,United States,United States,Camille,Utterback
MacArthur Fellows Program,fellowship,Q1543268,Q450346,Edwidge Danticat,2009,African Americans,Haiti,Haiti,Edwidge,Danticat
MacArthur Fellows Program,fellowship,Q1543268,Q450346,Edwidge Danticat,2009,African Americans,United States,Haiti,Edwidge,Danticat
MacArthur Fellows Program,fellowship,Q1543268,Q434509,Esther Duflo,2009,,France,France,Esther,Duflo
MacArthur Fellows Program,fellowship,Q1543268,Q434509,Esther Duflo,2009,,United States,France,Esther,Duflo
MacArthur Fellows Program,fellowship,Q1543268,Q3806646,James Longley,2009,,United States,United States,James,Longley
MacArthur Fellows Program,fellowship,Q1543268,Q6184118,Jerry Mitchell,2009,,United States,,Jerry,Mitchell
MacArthur Fellows Program,fellowship,Q1543268,Q6193048,Jill Seaman,2009,,United States,,Jill,Seaman
MacArthur Fellows Program,fellowship,Q1543268,Q1693813,John A. Rogers,2009,,United States,United States,Ashley,Rogers
MacArthur Fellows Program,fellowship,Q1543268,Q1693813,John A. Rogers,2009,,United States,United States,John,Rogers
MacArthur Fellows Program,fellowship,Q1543268,Q11247779,Lin He,2009,,United States,People's Republic of China,Lin,He
MacArthur Fellows Program,fellowship,Q1543268,Q13560889,Lynsey Addario,2009,,United States,United States,Lynsey,Addario
MacArthur Fellows Program,fellowship,Q1543268,Q1850947,Mary Tinetti,2009,,United States,,Mary,Tinetti
MacArthur Fellows Program,fellowship,Q1543268,Q7174809,Peter Huybers,2009,,,,Peter,
MacArthur Fellows Program,fellowship,Q1543268,Q7301850,Rebecca Onie,2009,,United States,,Rebecca,
MacArthur Fellows Program,fellowship,Q1543268,Q4746508,Amir Abo-Shaeer,2010,,United States,Brazil,Amir,
MacArthur Fellows Program,fellowship,Q1543268,Q1247765,Annette Gordon-Reed,2010,African Americans,United States,United States,Annette,Reed
MacArthur Fellows Program,fellowship,Q1543268,Q1247765,Annette Gordon-Reed,2010,African Americans,United States,United States,Annette,Gordon
MacArthur Fellows Program,fellowship,Q1543268,Q5044496,Carol Padden,2010,,United States,United States,Carol,Padden
MacArthur Fellows Program,fellowship,Q1543268,Q720435,David Simon,2010,,United States,United States,David,Simon
MacArthur Fellows Program,fellowship,Q1543268,Q978467,Jason Moran,2010,,United States,United States,Jason,Moran
MacArthur Fellows Program,fellowship,Q1543268,Q6187740,Jessie Little Doe Baird,2010,Wampanoag people,United States,United States,Jessie,Baird
MacArthur Fellows Program,fellowship,Q1543268,Q6228369,John O. Dabiri,2010,,United States,United States,John,Dabiri
MacArthur Fellows Program,fellowship,Q1543268,Q1443521,Jorge Pardo,2010,,Cuba,Cuba,Jorge,Pardo
MacArthur Fellows Program,fellowship,Q1543268,Q1443521,Jorge Pardo,2010,,United States,Cuba,Jorge,Pardo
MacArthur Fellows Program,fellowship,Q1543268,Q17198648,Kelly Benoit-Bird,2010,,United States,,Kelly,
MacArthur Fellows Program,fellowship,Q1543268,Q16751209,Marla Spivak,2010,,United States,United States,Marla,Spivak
MacArthur Fellows Program,fellowship,Q1543268,Q22096058,Sebastian Ruth,2010,,United States,,Sebastian,Ruth
MacArthur Fellows Program,fellowship,Q1543268,Q16980806,Shannon Lee Dawdy,2010,,United States,,Shannon,Dawdy
MacArthur Fellows Program,fellowship,Q1543268,Q460088,Yiyun Li,2010,,People's Republic of China,People's Republic of China,,Li
MacArthur Fellows Program,fellowship,Q1543268,Q4647732,A. E. Stallings,2011,,United States,United States,A.,Stallings
MacArthur Fellows Program,fellowship,Q1543268,Q174810,Alisa Weilerstein,2011,,United States,United States,Alisa,Weilerstein
MacArthur Fellows Program,fellowship,Q1543268,Q1157139,Dafnis Prieto,2011,,Cuba,Cuba,Dafnis,Prieto
MacArthur Fellows Program,fellowship,Q1543268,Q1157139,Dafnis Prieto,2011,,United States,Cuba,Dafnis,Prieto
MacArthur Fellows Program,fellowship,Q1543268,Q5367044,Elodie Ghedin,2011,,Canada,,Élodie,Ghedin
MacArthur Fellows Program,fellowship,Q1543268,Q5367044,Elodie Ghedin,2011,,Canada,,Elodie,Ghedin
MacArthur Fellows Program,fellowship,Q1543268,Q444257,Jeanne Gang,2011,,United States,United States,Jeanne,Gang
MacArthur Fellows Program,fellowship,Q1543268,Q6396414,Kevin Michael Guskiewicz,2011,,United States,United States,Kevin,
MacArthur Fellows Program,fellowship,Q1543268,Q111751,Markus Greiner,2011,,Germany,Germany,Markus,Greiner
MacArthur Fellows Program,fellowship,Q1543268,Q6811347,Melanie S. Sanford,2011,,United States,United States,Melanie,Q16882620
MacArthur Fellows Program,fellowship,Q1543268,Q1070268,Peter Hessler,2011,,United States,United States,Peter,Q16870755
MacArthur Fellows Program,fellowship,Q1543268,Q980406,"Roland G. Fryer, Jr.",2011,African Americans,United States,United States,Roland,Fryer
MacArthur Fellows Program,fellowship,Q1543268,Q7422662,Sarah P. Otto,2011,,United States,,Sarah,Otto
MacArthur Fellows Program,fellowship,Q1543268,Q7422662,Sarah P. Otto,2011,,Canada,,Sarah,Otto
MacArthur Fellows Program,fellowship,Q1543268,Q7810491,Tiya Miles,2011,,United States,United States,Tiya,Miles
MacArthur Fellows Program,fellowship,Q1543268,Q4890113,Benoît Rolland,2012,,France,France,Benoît,Rolland
MacArthur Fellows Program,fellowship,Q1543268,Q3703180,David Finkel,2012,,United States,,David,
MacArthur Fellows Program,fellowship,Q1543268,Q16729584,Elissa Hallem,2012,,United States,,Elissa,Hallem
MacArthur Fellows Program,fellowship,Q1543268,Q402664,Junot Díaz,2012,,Dominican Republic,Dominican Republic,Junot,Díaz
MacArthur Fellows Program,fellowship,Q1543268,Q402664,Junot Díaz,2012,,United States,Dominican Republic,Junot,Díaz
MacArthur Fellows Program,fellowship,Q1543268,Q6499321,Laura Poitras,2012,,United States,United States,Laura,Q37239687
MacArthur Fellows Program,fellowship,Q1543268,Q528763,Maria Chudnovsky,2012,,Israel,Russia,Maria,Chudnovsky
MacArthur Fellows Program,fellowship,Q1543268,Q16976505,Melody Swartz,2012,,United States,,Melody,
MacArthur Fellows Program,fellowship,Q1543268,Q2020835,Q2020835,2012,,France,,Olivier,Guyon
MacArthur Fellows Program,fellowship,Q1543268,Q2834382,Alexei Ratmansky,2013,,Soviet Union,Russia,Alexei,
MacArthur Fellows Program,fellowship,Q1543268,Q2834382,Alexei Ratmansky,2013,,Ukraine,Russia,Alexei,
MacArthur Fellows Program,fellowship,Q1543268,Q2834382,Alexei Ratmansky,2013,,Russia,Russia,Alexei,
MacArthur Fellows Program,fellowship,Q1543268,Q2834382,Alexei Ratmansky,2013,,United States,Russia,Alexei,
MacArthur Fellows Program,fellowship,Q1543268,Q16442074,Ana María Rey,2013,,Colombia,Colombia,Ana,Rey
MacArthur Fellows Program,fellowship,Q1543268,Q16198258,Angela Duckworth,2013,,United States,,Lee,Duckworth
MacArthur Fellows Program,fellowship,Q1543268,Q16198258,Angela Duckworth,2013,,United States,,Angela,Duckworth
MacArthur Fellows Program,fellowship,Q1543268,Q5046268,Carrie Mae Weems,2013,African Americans,United States,United States,Mae,Weems
MacArthur Fellows Program,fellowship,Q1543268,Q5046268,Carrie Mae Weems,2013,African Americans,United States,United States,Carrie,Weems
MacArthur Fellows Program,fellowship,Q1543268,Q1108379,Colin Camerer,2013,,United States,,Colin,Camerer
MacArthur Fellows Program,fellowship,Q1543268,Q15995234,Dina Katabi,2013,,United States,Syria,Q905581,
MacArthur Fellows Program,fellowship,Q1543268,Q714153,Donald Antrim,2013,,United States,United States,Donald,Antrim
MacArthur Fellows Program,fellowship,Q1543268,Q19596200,Jeffrey Brenner,2013,,United States,,Jeffrey,Brenner
MacArthur Fellows Program,fellowship,Q1543268,Q3812975,Karen Russell,2013,,United States,United States,Karen,Russell
MacArthur Fellows Program,fellowship,Q1543268,Q15840376,Phil Baran,2013,,United States,United States,Phil,Baran
MacArthur Fellows Program,fellowship,Q1543268,Q7421764,Sara Seager,2013,,United States,Canada,Sara,Seager
MacArthur Fellows Program,fellowship,Q1543268,Q7421764,Sara Seager,2013,,Canada,Canada,Sara,Seager
MacArthur Fellows Program,fellowship,Q1543268,Q16733037,Susan Murphy,2013,,United States,,Susan,Murphy
MacArthur Fellows Program,fellowship,Q1543268,Q2394090,Tarell Alvin McCraney,2013,,United States,United States,Alvin,McCraney
MacArthur Fellows Program,fellowship,Q1543268,Q2394090,Tarell Alvin McCraney,2013,,United States,United States,Tarell,McCraney
MacArthur Fellows Program,fellowship,Q1543268,Q650200,Vijay Iyer,2013,,United States,United States,Vijay,Iyer
MacArthur Fellows Program,fellowship,Q1543268,Q19597281,Craig Gentry,2014,,United States,,Craig,Gentry
MacArthur Fellows Program,fellowship,Q1543268,Q18097511,Danielle Bassett,2014,,United States,,Danielle,Bassett
MacArthur Fellows Program,fellowship,Q1543268,Q6333335,Jacob Lurie,2014,,United States,United States,Alexander,Lurie
MacArthur Fellows Program,fellowship,Q1543268,Q6333335,Jacob Lurie,2014,,United States,United States,Jacob,Lurie
MacArthur Fellows Program,fellowship,Q1543268,Q18098124,Jennifer Eberhardt,2014,,United States,United States,Lynn,Eberhardt
MacArthur Fellows Program,fellowship,Q1543268,Q18098124,Jennifer Eberhardt,2014,,United States,United States,Jennifer,Eberhardt
MacArthur Fellows Program,fellowship,Q1543268,Q19604762,John Henneberger,2014,,United States,,John,Henneberger
MacArthur Fellows Program,fellowship,Q1543268,Q15453138,Khaled Mattawa,2014,,Libya,Libya,Q16277895,
MacArthur Fellows Program,fellowship,Q1543268,Q8448729,Mary Bonauto,2014,,United States,United States,Mary,
MacArthur Fellows Program,fellowship,Q1543268,Q18386330,Pamela O. Long,2014,,United States,,Pamela,Long
MacArthur Fellows Program,fellowship,Q1543268,Q18386330,Pamela O. Long,2014,,United States,,Olivia,Long
MacArthur Fellows Program,fellowship,Q1543268,Q6768013,Q6768013,2014,,United States,United States,Christopher,Hersam
MacArthur Fellows Program,fellowship,Q1543268,Q6768013,Q6768013,2014,,United States,United States,Mark,Hersam
MacArthur Fellows Program,fellowship,Q1543268,Q18201823,Rick Lowe,2014,African Americans,United States,United States,Rick,Lowe
MacArthur Fellows Program,fellowship,Q1543268,Q18097977,Sarah Deer,2014,Muscogee (Creek) Nation,United States,,Sarah,Deer
MacArthur Fellows Program,fellowship,Q1543268,Q18148501,Tami Bond,2014,,United States,,Tami,Q15789303
MacArthur Fellows Program,fellowship,Q1543268,Q9355579,Tara Zahra,2014,,United States,,Elizabeth,Zahra
MacArthur Fellows Program,fellowship,Q1543268,Q9355579,Tara Zahra,2014,,United States,,Tara,Zahra
MacArthur Fellows Program,fellowship,Q1543268,Q7703264,Terrance Hayes,2014,,United States,United States,Terrance,Hayes
MacArthur Fellows Program,fellowship,Q1543268,Q7819128,Tommie Lindsey,2014,African Americans,United States,United States,Tommie,Lindsey
MacArthur Fellows Program,fellowship,Q1543268,Q13360454,Yitang Zhang,2014,,People's Republic of China,People's Republic of China,,Zhang
MacArthur Fellows Program,fellowship,Q1543268,Q13360454,Yitang Zhang,2014,,United States,People's Republic of China,,Zhang
MacArthur Fellows Program,fellowship,Q1543268,Q21036736,Beth Stevens,2015,,United States,United States,Beth,Stevens
MacArthur Fellows Program,fellowship,Q1543268,Q5364772,Ellen Bryant Voigt,2015,,United States,United States,Ellen,Bryant
MacArthur Fellows Program,fellowship,Q1543268,Q5364772,Ellen Bryant Voigt,2015,,United States,United States,Ellen,Voigt
MacArthur Fellows Program,fellowship,Q1543268,Q21036680,Heidi Williams,2015,,United States,United States,Heidi,Williams
MacArthur Fellows Program,fellowship,Q1543268,Q96384795,Juan Salgado,2015,,,,Juan,Salgado
MacArthur Fellows Program,fellowship,Q1543268,Q19667999,LaToya Ruby Frazier,2015,African Americans,United States,United States,Ruby,Frazier
MacArthur Fellows Program,fellowship,Q1543268,Q19667999,LaToya Ruby Frazier,2015,African Americans,United States,United States,LaToya,Frazier
MacArthur Fellows Program,fellowship,Q1543268,Q21175259,Lorenz Studer,2015,,Switzerland,,Lorenz,Studer
MacArthur Fellows Program,fellowship,Q1543268,Q22088393,Marina Rustow,2015,,United States,United States,Marina,
MacArthur Fellows Program,fellowship,Q1543268,Q22096471,Matthew Desmond,2015,,United States,,Matthew,Desmond
MacArthur Fellows Program,fellowship,Q1543268,Q1986987,Nicole Eisenman,2015,,France,France,Nicole,Eisenman
MacArthur Fellows Program,fellowship,Q1543268,Q1986987,Nicole Eisenman,2015,,United States,France,Nicole,Eisenman
MacArthur Fellows Program,fellowship,Q1543268,Q30323723,Q30323723,2015,,United States,United States,Mimi,Lien
MacArthur Fellows Program,fellowship,Q1543268,Q15452495,Ta-Nehisi Coates,2015,African Americans,United States,United States,Ta-Nehisi,Coates
MacArthur Fellows Program,fellowship,Q1543268,Q21062332,William Dichtel,2015,,United States,United States,William,
MacArthur Fellows Program,fellowship,Q1543268,Q19560839,Branden Jacobs-Jenkins,2016,,United States,United States,Branden,Q170455
MacArthur Fellows Program,fellowship,Q1543268,Q19560839,Branden Jacobs-Jenkins,2016,,United States,United States,Branden,Jacobs
MacArthur Fellows Program,fellowship,Q1543268,Q2978433,Claudia Rankine,2016,,United States,Jamaica,Claudia,Rankine
MacArthur Fellows Program,fellowship,Q1543268,Q5531537,Gene Luen Yang,2016,Chinese Americans,People's Republic of China,United States,Gene,Yang
MacArthur Fellows Program,fellowship,Q1543268,Q5531537,Gene Luen Yang,2016,Asian Americans,People's Republic of China,United States,Gene,Yang
MacArthur Fellows Program,fellowship,Q1543268,Q5531537,Gene Luen Yang,2016,Chinese Americans,People's Republic of China,United States,Luen,Yang
MacArthur Fellows Program,fellowship,Q1543268,Q5531537,Gene Luen Yang,2016,Asian Americans,People's Republic of China,United States,Luen,Yang
MacArthur Fellows Program,fellowship,Q1543268,Q30531943,José A. Quiñonez,2016,,,,José,Quiñonez
MacArthur Fellows Program,fellowship,Q1543268,Q30531943,José A. Quiñonez,2016,,,,A.,Quiñonez
MacArthur Fellows Program,fellowship,Q1543268,Q23014998,Kellie Jones,2016,African Americans,United States,,Kellie,Jones
MacArthur Fellows Program,fellowship,Q1543268,Q6730288,Maggie Nelson,2016,,United States,United States,Maggie,Nelson
MacArthur Fellows Program,fellowship,Q1543268,Q6730288,Maggie Nelson,2016,,United States,United States,Margaret,Nelson
MacArthur Fellows Program,fellowship,Q1543268,Q20203713,Rebecca R. Richards-Kortum,2016,,United States,United States,Rebecca,Richards
MacArthur Fellows Program,fellowship,Q1543268,Q20203713,Rebecca R. Richards-Kortum,2016,,United States,United States,Rebecca,Kortum
MacArthur Fellows Program,fellowship,Q1543268,Q7422805,Sarah Stillman,2016,,United States,,Sarah,Stillman
MacArthur Fellows Program,fellowship,Q1543268,Q27457147,Victoria Orphan,2016,,United States,,Victoria,Orphan
MacArthur Fellows Program,fellowship,Q1543268,Q4769239,Annie Baker,2017,,United States,United States,Annie,Baker
MacArthur Fellows Program,fellowship,Q1543268,Q54861491,Betsy Levy Paluck,2017,,United States,,Betsy,Paluck
MacArthur Fellows Program,fellowship,Q1543268,Q56043435,Cristina Jiménez Moreta,2017,,Ecuador,Ecuador,Cristina,Jiménez
MacArthur Fellows Program,fellowship,Q1543268,Q56043435,Cristina Jiménez Moreta,2017,,Ecuador,Ecuador,Cristina,Q37058415
MacArthur Fellows Program,fellowship,Q1543268,Q46479437,Derek R. Peterson,2017,,United States,,Raymond,Peterson
MacArthur Fellows Program,fellowship,Q1543268,Q46479437,Derek R. Peterson,2017,,United States,,Derek,Peterson
MacArthur Fellows Program,fellowship,Q1543268,Q93329008,Jason De León,2017,Filipinos,United States,,Jason,de Leon
MacArthur Fellows Program,fellowship,Q1543268,Q93329008,Jason De León,2017,Mexicans,United States,,Jason,de Leon
MacArthur Fellows Program,fellowship,Q1543268,Q93329008,Jason De León,2017,Filipinos,United States,,Patrick,de Leon
MacArthur Fellows Program,fellowship,Q1543268,Q93329008,Jason De León,2017,Mexicans,United States,,Patrick,de Leon
MacArthur Fellows Program,fellowship,Q1543268,Q3177574,Jesmyn Ward,2017,African Americans,United States,United States,Jesmyn,Ward
MacArthur Fellows Program,fellowship,Q1543268,Q21284874,Njideka Akunyili Crosby,2017,Igbo people,Nigeria,Nigeria,Njideka,Crosby
MacArthur Fellows Program,fellowship,Q1543268,Q21284874,Njideka Akunyili Crosby,2017,African Americans,Nigeria,Nigeria,Njideka,Crosby
MacArthur Fellows Program,fellowship,Q1543268,Q21284874,Njideka Akunyili Crosby,2017,Igbo people,United States,Nigeria,Njideka,Crosby
MacArthur Fellows Program,fellowship,Q1543268,Q21284874,Njideka Akunyili Crosby,2017,African Americans,United States,Nigeria,Njideka,Crosby
MacArthur Fellows Program,fellowship,Q1543268,Q7839361,Q7839361,2017,,United States,United States,Trevor,Paglen
MacArthur Fellows Program,fellowship,Q1543268,Q24698362,Regina Barzilay,2017,,Israel,Moldova,Regina,Barzilay
MacArthur Fellows Program,fellowship,Q1543268,Q7320514,Rhiannon Giddens,2017,,United States,United States,Rhiannon,Giddens
MacArthur Fellows Program,fellowship,Q1543268,Q19668094,Taylor Mac,2017,,United States,United States,Taylor,Bowyer
MacArthur Fellows Program,fellowship,Q1543268,Q19668094,Taylor Mac,2017,,United States,United States,Mac,Bowyer
MacArthur Fellows Program,fellowship,Q1543268,Q23887092,Viet Thanh Nguyen,2017,,United States,Vietnam,Viet,Nguyen
MacArthur Fellows Program,fellowship,Q1543268,Q59773554,Allan Sly,2018,,,,Allan,Sly
MacArthur Fellows Program,fellowship,Q1543268,Q7526,Deborah Estrin,2018,,United States,United States,Deborah,Estrin
MacArthur Fellows Program,fellowship,Q1543268,Q30135012,Doris Tsao,2018,,People's Republic of China,People's Republic of China,Doris,Q37054389
MacArthur Fellows Program,fellowship,Q1543268,Q30135012,Doris Tsao,2018,,United States,People's Republic of China,Doris,Q37054389
MacArthur Fellows Program,fellowship,Q1543268,Q6308028,Julie Ault,2018,,United States,,Julie,Ault
MacArthur Fellows Program,fellowship,Q1543268,Q1190926,Kelly Link,2018,,United States,United States,Kelly,Link
MacArthur Fellows Program,fellowship,Q1543268,Q56878279,Lisa Parks,2018,,United States,,Lisa,Parks
MacArthur Fellows Program,fellowship,Q1543268,Q100178541,Raj Jayadev,2018,,,,Raj,
MacArthur Fellows Program,fellowship,Q1543268,Q56878105,Rebecca Sandefur,2018,,United States,,Rebecca,Sandefur
MacArthur Fellows Program,fellowship,Q1543268,Q24890253,Sarah T. Stewart-Mukhopadhyay,2018,,United States,Taiwan,Sarah,Stewart
MacArthur Fellows Program,fellowship,Q1543268,Q60734327,Vijay Gupta,2018,,United States,,Vijay,Gupta
MacArthur Fellows Program,fellowship,Q1543268,Q17402946,William Barber II,2018,,United States,United States,Joseph,Barber
MacArthur Fellows Program,fellowship,Q1543268,Q17402946,William Barber II,2018,,United States,United States,William,Barber
MacArthur Fellows Program,fellowship,Q1543268,Q17581477,Wu Tsang,2018,,United States,United States,Wu,Tsang
MacArthur Fellows Program,fellowship,Q1543268,Q56966188,Andrea Dutton,2019,,United States,,Andrea,Dutton
MacArthur Fellows Program,fellowship,Q1543268,Q68571662,Annie Dorsen,2019,,United States,United States,Annie,Dorsen
MacArthur Fellows Program,fellowship,Q1543268,Q68572593,Cameron Rowland,2019,,United States,United States,Cameron,Rowland
MacArthur Fellows Program,fellowship,Q1543268,Q19867132,Danielle K. Citron,2019,,United States,,Danielle,Citron
MacArthur Fellows Program,fellowship,Q1543268,Q1331312,Elizabeth S. Anderson,2019,,United States,United States,Elizabeth,Anderson
MacArthur Fellows Program,fellowship,Q1543268,Q5372429,Emily Wilson,2019,,United Kingdom,United Kingdom,Emily,Wilson
MacArthur Fellows Program,fellowship,Q1543268,Q5372429,Emily Wilson,2019,,United States,United Kingdom,Emily,Wilson
MacArthur Fellows Program,fellowship,Q1543268,Q68572527,Emmanuel Pratt,2019,,,,Emmanuel,Pratt
MacArthur Fellows Program,fellowship,Q1543268,Q68572398,Jeffrey Alan Miller,2019,,,,Alan,Miller
MacArthur Fellows Program,fellowship,Q1543268,Q68572398,Jeffrey Alan Miller,2019,,,,Jeffrey,Miller
MacArthur Fellows Program,fellowship,Q1543268,Q6176002,Jeffrey Gibson,2019,Choctaw,United States,United States,Jeffrey,Gibson
MacArthur Fellows Program,fellowship,Q1543268,Q6176002,Jeffrey Gibson,2019,Cherokee,United States,United States,Jeffrey,Gibson
MacArthur Fellows Program,fellowship,Q1543268,Q6176002,Jeffrey Gibson,2019,Indigenous peoples of the United States in North America,United States,United States,Jeffrey,Gibson
MacArthur Fellows Program,fellowship,Q1543268,Q57412873,Jenny Tung,2019,,United States,,Jenny,Tung
MacArthur Fellows Program,fellowship,Q1543268,Q16976397,Joshua B. Tenenbaum,2019,,United States,,Joshua,Tenenbaum
MacArthur Fellows Program,fellowship,Q1543268,Q16976397,Joshua B. Tenenbaum,2019,,United States,,Brett,Tenenbaum
MacArthur Fellows Program,fellowship,Q1543268,Q55760494,Kelly Lytle Hernández,2019,,United States,United States,Kelly,Hernández
MacArthur Fellows Program,fellowship,Q1543268,Q55760494,Kelly Lytle Hernández,2019,,United States,United States,Kelly,Lytle
MacArthur Fellows Program,fellowship,Q1543268,Q68571561,Lisa Daugaard,2019,,United States,,Lisa,Daugaard
MacArthur Fellows Program,fellowship,Q1543268,Q3269500,Lynda Barry,2019,,United States,United States,Lynda,Barry
MacArthur Fellows Program,fellowship,Q1543268,Q518063,Mary Halvorson,2019,,United States,United States,Mary,Halvorson
MacArthur Fellows Program,fellowship,Q1543268,Q6810674,Mel Chin,2019,,United States,United States,Q4563684,Chin
MacArthur Fellows Program,fellowship,Q1543268,Q18355929,Ocean Vuong,2019,Vietnamese Americans,United States,Vietnam,Ocean,Vương
MacArthur Fellows Program,fellowship,Q1543268,Q18355929,Ocean Vuong,2019,Vietnamese Americans,United States,Vietnam,Vinh,Vương
MacArthur Fellows Program,fellowship,Q1543268,Q18355929,Ocean Vuong,2019,Vietnamese Americans,United States,Vietnam,Ocean,Q112749869
MacArthur Fellows Program,fellowship,Q1543268,Q18355929,Ocean Vuong,2019,Vietnamese Americans,United States,Vietnam,Vinh,Q112749869
MacArthur Fellows Program,fellowship,Q1543268,Q7399969,Saidiya Hartman,2019,African Americans,United States,,,Hartman
MacArthur Fellows Program,fellowship,Q1543268,Q23013744,Sarah Michelson,2019,,United Kingdom,United Kingdom,Sarah,Michelson
