measure,eta,convention,group,most_costly_weighted,most_costly_variant,most_costly_unweighted,least_costly_weighted,least_costly_variant,least_costly_unweighted,most_costly_equal_split,least_costly_equal_split
money,1.0,a,unreimbursed_care,-7.994649380414461,high,-5.5581,-4.665379404000343,low,-3.2435000000000005,-3.931400323540996,-2.294218698728922
money,1.0,a,TOTAL,-465.34570326098526,,-297.4568059618681,-264.3869000669783,,-225.86796599856635,-228.8355825635728,-130.0132995212648
money,1.0,b,fiscal_b,-506.0961664095226,A=-258.43,-248.87478333191217,-420.88881430163616,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324905
money,1.0,b,wages_b,-62.87485346690405,below_ba_s1.5,1.237962106794952,-39.28566920379419,hs_or_less_s2.5,-2.5418155720324775,-30.918956854811384,-19.318882576225512
money,1.0,b,housing,-89.02234695941998,national_uniform_high_intp,1.0805152632490687,-33.343441458864014,metro_local_low_scf,2.3009818767151486,-43.77708977407319,-16.396768676370947
money,1.0,b,crime,-122.49938234371595,envelope_high,-45.34239999999999,-41.63218603290582,envelope_low,-15.4099,-60.23955378949841,-20.47279146981174
money,1.0,b,unreimbursed_care,-7.994649380414461,high,-5.5581,-4.665379404000343,low,-3.2435000000000005,-3.931400323540996,-2.294218698728922
money,1.0,b,TOTAL,-788.4873985599771,,-297.45680596186816,-539.8154904012005,,-225.86796599856635,-387.7417840738362,-265.45639372438615
money,1.3,a,fiscal_a,-188.06093897477666,A=-258.43,-248.87478333191214,-156.3986271286974,A=-216.53,-206.97373230324902,-65.57320361786616,-54.53316929168533
money,1.3,a,wages_a,-95.245493979493,below_ba_s1.5,1.2379621067949513,-52.16864735408778,hs_or_less_s2.5,-2.5418155720324775,-33.21025729452097,-18.190195976194023
money,1.3,a,housing,-144.24191672319697,national_uniform_high_intp,1.0805152632490687,-54.152356173443515,metro_local_low_scf,2.3009818767151486,-50.294360046719106,-18.881876784762234
money,1.3,a,crime,-186.3278007566568,envelope_high,-45.34239999999999,-63.32467573132446,envelope_low,-15.4099,-64.96889192031624,-22.080086797409958
