year,crimeType,victim_race,rate,rateSE,rateLB,rateUB,count,countSE,countLB,countUB,sampleSizeUnwt,countFlag,rateFlag
1997,Aggravated assault,Black,17.3,2.54,12.28,22.24,453390,69050.0,318054.0,588725.0,91,0,0
1997,Aggravated assault,Hispanic,14.6,2.45,9.78,19.38,308600,53488.0,203765.0,413435.0,87,0,0
1997,Aggravated assault,Other,5.9,1.97,2.07,9.79,49366,16658.0,16717.0,82015.0,18,0,0
1997,Aggravated assault,White,12.7,1.18,10.39,15.01,2084026,194110.0,1703578.0,2464473.0,481,0,0
1997,Personal theft/Larceny,Black,3.3,0.89,1.57,5.07,87203,23694.0,40765.0,133642.0,29,0,0
1997,Personal theft/Larceny,Hispanic,2.4,0.8,0.86,4.0,51416,17078.0,17944.0,84888.0,22,0,0
1997,Personal theft/Larceny,Other,0.8,0.61,0.0,1.97,6474,5097.0,0.0,16463.0,2,1,1
1997,Personal theft/Larceny,White,1.4,0.26,0.85,1.89,224767,43443.0,139620.0,309913.0,80,0,0
1997,Rape/sexual assault,Black,2.2,0.69,0.82,3.51,56791,18152.0,21214.0,92369.0,13,0,0
1997,Rape/sexual assault,Hispanic,2.2,0.75,0.72,3.68,46624,16087.0,15094.0,78154.0,12,0,0
1997,Rape/sexual assault,Other,1.1,0.76,0.0,2.63,9507,6325.0,0.0,21904.0,4,1,1
1997,Rape/sexual assault,White,2.7,0.41,1.88,3.49,440600,67744.0,307824.0,573376.0,99,0,0
1997,Robbery,Black,8.2,1.57,5.1,11.27,215093,42215.0,132354.0,297833.0,52,0,0
1997,Robbery,Hispanic,8.4,1.72,4.98,11.72,176761,37165.0,103918.0,249604.0,62,0,0
1997,Robbery,Other,4.6,1.69,1.28,7.91,38248,14267.0,10286.0,66210.0,14,0,0
1997,Robbery,White,4.6,0.59,3.46,5.79,758777,97597.0,567490.0,950064.0,208,0,0
1997,Simple assault,Black,45.1,4.71,35.9,54.35,1185375,132092.0,926480.0,1444269.0,229,0,0
1997,Simple assault,Hispanic,31.1,3.97,23.31,38.88,658051,88653.0,484294.0,831808.0,197,0,0
1997,Simple assault,Other,27.3,5.0,17.49,37.07,227065,43732.0,141351.0,312779.0,52,0,0
1997,Simple assault,White,40.9,2.59,35.86,46.02,6717132,429749.0,5874839.0,7559425.0,1572,0,0
1997,Violent crime excluding simple assault,Black,27.6,3.44,20.87,34.35,725274,94665.0,539735.0,910814.0,156,0,0
1997,Violent crime excluding simple assault,Hispanic,25.1,3.47,18.34,31.94,531985,76845.0,381373.0,682598.0,161,0,0
1997,Violent crime excluding simple assault,Other,11.7,2.97,5.86,17.48,97121,25354.0,47427.0,146814.0,36,0,0
1997,Violent crime excluding simple assault,White,20.0,1.6,16.87,23.15,3283403,264722.0,2764557.0,3802249.0,788,0,0
1997,Violent victimization,Black,72.7,6.35,60.28,85.18,1910649,182929.0,1552115.0,2269183.0,385,0,0
1997,Violent victimization,Hispanic,56.2,5.78,44.91,67.56,1190036,132445.0,930449.0,1449624.0,358,0,0
1997,Violent victimization,Other,38.9,6.22,26.76,51.14,324186,55257.0,215884.0,432488.0,88,0,0
1997,Violent victimization,White,60.9,3.37,54.35,67.55,10000535,559889.0,8903172.0,11097898.0,2360,0,0
1998,Aggravated assault,Black,15.6,2.19,11.32,19.89,415012,60314.0,296799.0,533225.0,90,0,0
1998,Aggravated assault,Hispanic,10.0,1.73,6.62,13.38,217000,38552.0,141439.0,292560.0,51,0,0
1998,Aggravated assault,Other,16.1,3.15,9.95,22.31,141336,28787.0,84915.0,197758.0,24,0,0
1998,Aggravated assault,White,9.4,0.91,7.58,11.16,1545076,151259.0,1248613.0,1841539.0,415,0,0
1998,Personal theft/Larceny,Black,2.1,0.58,0.98,3.25,56257,15580.0,25721.0,86793.0,20,0,0
1998,Personal theft/Larceny,Hispanic,1.7,0.54,0.62,2.73,36344,11733.0,13347.0,59341.0,15,0,0
1998,Personal theft/Larceny,Other,1.5,0.69,0.11,2.82,12835,6106.0,868.0,24803.0,5,1,1
1998,Personal theft/Larceny,White,1.2,0.21,0.74,1.57,190186,35226.0,121144.0,259228.0,72,0,0
1998,Rape/sexual assault,Black,2.5,0.65,1.26,3.83,67696,17596.0,33209.0,102183.0,16,0,0
