DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,SEX,AGE,CITIZENSHIP,COUNTRY_CITIZEN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_COUNTRY_CITIZEN,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,TOTAL,WORLD,2023,312,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,TOTAL,WORLD,2024,296,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,FRG,WORLD,2022,74,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,FRG,WORLD,2023,87,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,FRG,WORLD,2024,93,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,ITL,WORLD,2022,201,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,ITL,WORLD,2023,169,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,ITL,WORLD,2024,175,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,TOTAL,WORLD,2022,275,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,TOTAL,WORLD,2023,256,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y35-44,TOTAL,WORLD,2024,268,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,FRG,WORLD,2022,35,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,FRG,WORLD,2023,29,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,FRG,WORLD,2024,21,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,ITL,WORLD,2022,212,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,ITL,WORLD,2023,218,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,ITL,WORLD,2024,181,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,TOTAL,WORLD,2022,247,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,TOTAL,WORLD,2023,247,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y45-54,TOTAL,WORLD,2024,202,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,FRG,WORLD,2022,18,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,FRG,WORLD,2023,17,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,FRG,WORLD,2024,19,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,ITL,WORLD,2022,200,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,ITL,WORLD,2023,135,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,ITL,WORLD,2024,191,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,TOTAL,WORLD,2022,218,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,TOTAL,WORLD,2023,152,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y55-64,TOTAL,WORLD,2024,210,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,2,Y_GE65,FRG,WORLD,2022,8,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
